id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
104,5,0,3,1,0,1,1,0,0,0,255,255,255,60,3318.197,"신과함께1",R,26,92,140,0.479,-0.691,0.645,1.945,0.302,0.99,-36.429,0,0,-85.903,-200,0,0,0,1,1,4,R,"Ayu_Yua",190,88.98,0.483,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536,-37.076,0,"NABIMan",-0.158,-17.66,0,"Dοpi",-21.285,-44.883,0,"소솨소솨",-14.788,-62.716,0,"-라후이-",20.788,-47.318,0,"Pugeuk",7.103,-59.957,0,"즉석카레",29.346,-94.828,0,"ByeolBam",0.015,-112.675,0,"별이__",-46.062,-90.146,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
105,5,0,3,1,0,2,1,0,0,0,255,255,255,61,3334.305,"신과함께1",R,10,84,126,-0.406,-0.52,0.539,2.163,-0.19,1.696,-36.53,2,0,0,400,0,0,0,1,1,4,R,"Ayu_Yua",190,88.98,0.483,2,60,3335.397,90,13,41,79,28,108,67,-30,-11.069,0.98,-0.037,0.004,0,0.166,0.71,-36.961,0,"NABIMan",-0.347,-17.411,0,"Dοpi",-21.217,-44.875,0,"소솨소솨",-13.961,-63.859,0,"-라후이-",19.499,-47.643,0,"Pugeuk",7.163,-59.911,0,"즉석카레",31.181,-98.849,0,"ByeolBam",0.095,-112.617,85,"별이__",-46.053,-90.15,90,3335.093,0.086,-20.414,3338.048,5,"Pugeuk",4.995,-50.988,1,0,0,0,0,0,0,2
106,5,0,3,1,0,0,1,1,0,0,14,255,255,62,3371.165,"신과함께1",R,27,87,140,-1.069,-1.281,0.5,1.917,-0.373,0.757,-36.375,1,0,-80.221,-138.449,0,0,0,0,2,3,R,"crani",160,103.133,0.504,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,-36.951,0,"NABIMan",0.04,-17.879,0,"Dοpi",-20.716,-43.67,0,"소솨소솨",-14.366,-62.1,0,"-라후이-",19.039,-46.617,0,"Pugeuk",8.347,-57.54,0,"즉석카레",31.843,-100.05,0,"ByeolBam",-0.807,-107.386,0,"별이__",-43.642,-86.238,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
107,5,0,3,1,1,0,1,1,0,0,14,255,255,63,3389.391,"신과함께1",R,10,77,118,0.894,0.057,0.66,2.284,0.372,2.168,-36.57,0,0,0,400,0,0,0,0,2,3,R,"crani",160,103.133,0.504,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,-37.02,0,"NABIMan",0.032,-17.291,0,"Dοpi",-20.284,-43.684,0,"소솨소솨",-14.306,-62.465,0,"-라후이-",18.999,-47.162,0,"Pugeuk",8.523,-59.019,0,"즉석카레",32.161,-100.232,0,"ByeolBam",-0.203,-107.026,0,"별이__",-44.836,-87.226,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
108,5,0,3,1,1,1,1,1,0,0,14,255,255,64,3409.906,"신과함께1",R,26,72,125,0.357,1.932,0.626,2.335,0.215,2.365,-36.7,4,0,-48.628,-189.529,0,0,0,1,2,3,R,"crani",160,103.133,0.504,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,-37.152,0,"NABIMan",-0.085,-17.432,0,"Dοpi",-20.293,-43.942,0,"소솨소솨",-14.744,-61.802,0,"-라후이-",19.637,-47.817,0,"Pugeuk",6.386,-59.098,0,"즉석카레",32.308,-100.209,0,"ByeolBam",0.302,-109.49,0,"별이__",-45.399,-87.161,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
109,5,0,3,1,1,2,1,1,0,0,14,255,255,65,3430.631,"신과함께1",R,27,88,140,-1.21,-0.397,0.476,2.047,-0.481,1.259,-36.445,2,0,-45.32,-100.972,0,0,0,1,2,3,R,"crani",160,103.133,0.504,2,60,3431.741,111,11,119,88,57,140,122,-5.166,5.155,0.47,-0.006,-0.009,0,0.35,1.093,-36.824,0,"NABIMan",-0.094,-17.491,0,"Dοpi",-20.174,-43.62,0,"소솨소솨",-14.605,-60.764,0,"-라후이-",20.693,-49.498,0,"Pugeuk",7.595,-58.979,0,"즉석카레",32.557,-100.729,0,"ByeolBam",0.08,-110.669,104,"별이__",-45.413,-87.189,0,3431.448,-0.756,-24.182,3434.726,7,"ByeolBam",-6.92,-97.55,1,0,0,0,0,0,0,2
110,5,0,3,1,0,0,2,1,0,0,13,255,255,66,3473.128,"신과함께1",R,28,90,140,-0.261,-2.148,0.561,1.757,-0.088,0.269,-36.368,1,0,-32.348,-84.594,0,-0.109,-18.911,0,3,5,R,"버블붐_Bubbleboom",174.5,86,0.5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033,-36.847,0,"NABIMan",0.255,-17.572,0,"Dοpi",-20.3,-41.545,0,"소솨소솨",-12.119,-64.771,0,"-라후이-",18.885,-46.432,0,"Pugeuk",8.135,-59.505,0,"즉석카레",29.163,-93.537,0,"ByeolBam",-0.676,-105.917,0,"별이__",-49.336,-91.878,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
111,5,0,3,1,1,0,2,1,0,0,13,255,255,67,3494.02,"신과함께1",R,26,84,137,-0.47,-0.701,0.557,1.971,-0.106,1.024,-36.293,0,0,-85.839,-165.769,0,0,0,0,3,5,R,"버블붐_Bubbleboom",174.5,86,0.5,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,-36.716,0,"NABIMan",-0.193,-18.33,0,"Dοpi",-19.96,-43.205,0,"소솨소솨",-11.894,-63.723,0,"-라후이-",19.736,-47.411,0,"Pugeuk",6.654,-59.468,0,"즉석카레",28.93,-93.795,0,"ByeolBam",-0.595,-106.207,0,"별이__",-49.333,-91.88,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
112,5,0,3,1,1,1,2,1,0,0,13,255,255,68,3516.316,"신과함께1",R,27,92,140,-1.789,-2.126,0.424,1.745,-0.725,0.227,-36.247,4,0,-51.304,-148.359,0,0,0,1,3,5,R,"버블붐_Bubbleboom",174.5,86,0.5,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.145,-36.904,0,"NABIMan",0.05,-18.273,0,"Dοpi",-19.975,-42.927,90,"소솨소솨",-12.119,-62.461,0,"-라후이-",19.757,-47.648,0,"Pugeuk",6.863,-59.398,0,"즉석카레",29.045,-94.72,0,"ByeolBam",-0.625,-106.363,0,"별이__",-49.341,-91.431,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
113,5,0,3,1,1,2,2,1,0,0,13,255,255,69,3537.519,"신과함께1",R,26,86,140,-36.001,1.059,0.545,2.107,-0.163,1.501,-36.537,2,0,-83.724,-200,0,0,0,1,3,5,R,"버블붐_Bubbleboom",174.5,86,0.5,2,85,3538.407,142,13,106,87,75,150,101,14.586,14.514,0,-0.025,-0.111,0,0.512,1.117,-36.952,0,"NABIMan",0.151,-17.437,0,"Dοpi",-19.931,-44.013,85,"소솨소솨",-11.991,-64.696,0,"-라후이-",19.316,-46.832,0,"Pugeuk",7.263,-60.841,0,"즉석카레",29.02,-95.067,0,"ByeolBam",-0.027,-106.493,0,"별이__",-49.25,-91.365,86,3541.604,-27.143,-91.076,3547.17,8,"별이__",-41.829,-117.256,1,0,0,0,0,0,0,2
