id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
77,4,0,0,1,2,1,2,0,0,0,255,255,255,39,2200.041,encounter v,R,6,132,1.318,-0.965,2,258.398,0,0,0,1,4,5,L,vovopo 보보포,164.7,94,0.45,45,2201.008,172,151,79,145,85,-23.6,-42.18,0.95,0.096,-0.177,0.261,-0.114,-36.922,-0.04,-16.807,-12.114,-44.518,-8.72,-61.791,23.661,-49.766,13.729,-63.461,38.397,-83.481,4.163,-106.719,-34.947,-88.393,2201.118,1.393,-21.953,2203.051,4,NABIMan,21.563,-44.33,0,0,0,0,0,0,0,2
78,5,1,0,1,0,0,0,0,0,0,255,255,255,37,2254.947,인생최패망자,R,0,140,0.246,1.487,2,0,0,0,0,1,6,4,L,NABIMan,190,99,0.53,35,2255.9,199,128,44,148,92,88.977,81.405,-0.54,0.047,0.029,0.489,-0.396,-36.868,-0.199,-17.289,-23.386,-52.437,-13.485,-64.755,18.665,-44.19,17.418,-61.919,38.579,-85.306,3.435,-107.127,-36.856,-90.811,2264.418,-11.98,-15.735,2264.584,1,Pring__,-12.043,-15.734,0,0,0,0,0,0,0,2
79,5,1,0,1,0,1,0,0,0,0,255,255,255,38,2286.716,인생최패망자,R,0,140,-0.733,-0.744,2,0,0,0,0,1,6,4,L,NABIMan,190,99,0.53,38,2287.693,127,85,87,137,87,47.041,-47.512,-0.22,-0.003,-0.182,0.198,-0.269,-36.751,-0.068,-16.683,-22.403,-49.662,-13.098,-64.738,19.176,-44.984,15.351,-63.614,40.141,-88.313,8.501,-106.481,-35.414,-84.382,2292.534,54.559,-58.412,0,0,,0,0,0,0,0,0,0,0,0,3
80,5,1,0,1,0,2,0,0,0,0,255,255,255,39,2309.87,인생최패망자,R,0,136,2.427,0.525,2,0,0,0,0,1,6,4,L,NABIMan,190,99,0.53,38,2310.815,207,155,40,150,115,36.745,-24.493,0.11,-0.007,-0.086,0.512,-0.205,-36.858,0.486,-16.976,-22.499,-49.565,-13.099,-64.843,20.572,-45.168,14.438,-63.595,37.301,-87.856,9.087,-104.514,-35.209,-86.176,2316.568,35.364,-111.861,2318.834,6,Eaglebuter,33.86,-117.582,1,64,0,0,0,0,0,2
81,5,1,0,1,0,0,1,0,0,0,255,255,255,40,2378.456,인생최패망자,R,6,117,0.056,-1.577,1,438.375,163.091,0.21,-17.74,0,7,6,R,소솨소솨,169.6,89.643,0.4,45,0,0,0,0,0,0,0,0,0,0,0,0,0.17,-37.393,0.27,-17.525,-23.002,-50.058,-12.772,-64.94,18.998,-45.205,7.899,-66.604,40.867,-88.829,10.926,-108.108,-36.198,-82.47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
82,5,1,0,1,1,0,1,0,0,0,255,255,255,41,2398.15,인생최패망자,R,3,115,1.811,0.708,2,-451.122,215.612,0,0,1,7,6,R,소솨소솨,169.6,89.643,0.4,45,2399.198,101,81,61,132,91,40.1,6.741,0.08,-0.123,-0.148,0.167,-0.025,-37.019,0.176,-16.889,-23.616,-50.888,-12.749,-64.959,19.688,-46.53,7.992,-66.555,40.828,-88.879,0.511,-108.364,-36.735,-83.555,2404.284,-9.712,-89.17,2404.451,7,Pugeuk,-9.476,-87.633,0,0,0,0,0,0,0,1
83,5,1,0,1,0,0,2,0,0,0,255,255,255,42,2434.146,인생최패망자,R,0,134,0.063,1.837,1,0,0,0,0,0,8,9,L,눈꽃,190,100.309,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0.324,-37.346,0.15,-17.035,-22.409,-51.053,-13.077,-65.065,19.468,-45.353,13.447,-64.473,40.274,-89.094,11.485,-115.148,-39.97,-91.887,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
84,5,1,0,1,1,0,2,0,0,0,255,255,255,43,2447.143,인생최패망자,R,3,107,-3.986,-1.182,3,-450.569,0,-0.421,-20.506,0,8,9,L,눈꽃,190,100.309,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.708,-0.14,-17.385,-22.44,-51.125,-13.091,-65.042,20.238,-46.503,14.98,-63.78,39.858,-88.939,11.384,-115.12,-39.98,-91.83,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
85,5,1,0,1,3,0,2,0,0,0,255,255,255,44,2472.963,인생최패망자,R,10,119,-1.552,0.424,4,0,400,0,0,1,8,9,L,눈꽃,190,100.309,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0.163,-37.489,-0.124,-16.975,-22.293,-50.971,-13.114,-65.032,19.885,-47.116,14.982,-63.567,40.006,-88.869,11.472,-114.915,-40.663,-90.899,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
86,5,1,0,1,3,1,2,0,0,0,255,255,255,45,2490.385,인생최패망자,R,6,103,0.113,-0.657,0,400.5,0,0,0,1,8,9,L,눈꽃,190,100.309,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.182,-37.878,0.022,-16.708,-22.175,-51.052,-13.059,-65.018,19.414,-47.205,14.996,-63.524,39.989,-88.829,8.567,-111.44,-40.695,-90.937,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
87,5,1,0,1,3,2,2,0,0,0,255,255,255,46,2509.408,인생최패망자,R,10,118,-1.085,-0.073,2,0,400,0,0,1,8,9,L,눈꽃,190,100.309,0.5,35,2510.563,225,129,28,146,130,29.679,34.6,0.51,0.044,0.045,0.113,-0.435,-36.81,-0.094,-17.09,-22.298,-50.99,-13.13,-65.108,19.984,-47.347,14.779,-63.681,39.993,-88.845,9.805,-110.536,-40.76,-90.899,2516.201,-54.183,-130.371,0,0,,0,0,0,0,0,0,0,0,0,4
88,5,1,1,1,0,0,2,0,0,0,255,255,255,47,2557.713,인생최패망자,R,6,106,3.197,-0.34,4,481.818,0,0,0,1,0,8,L,Sabo_10,184.7,92,0.6,47,0,0,0,0,0,0,0,0,0,0,0,0,0.124,-37.47,0.341,-16.898,-23.593,-50.134,-12.919,-65.24,19.215,-45.347,16.14,-63.502,42.891,-91.766,-2.932,-109.18,-35.884,-90.272,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
89,5,1,1,1,0,1,2,0,0,0,255,255,255,48,2575.588,인생최패망자,R,10,113,-1.758,-2.597,4,0,400,-0.306,-17.781,1,0,8,L,Sabo_10,184.7,92,0.6,47,0,0,0,0,0,0,0,0,0,0,0,0,0.013,-37.586,-0.142,-17.414,-23.528,-50.625,-12.793,-65.285,19.973,-45.869,15.286,-64.37,42.81,-91.811,-3.493,-109.774,-35.926,-90.235,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
90,5,1,1,1,0,2,2,0,0,0,255,255,255,49,2591.287,인생최패망자,R,0,137,0.684,1.475,4,0,0,0,0,1,0,8,L,Sabo_10,184.7,92,0.6,47,0,0,0,0,0,0,0,0,0,0,0,0,0.019,-37.36,-0.025,-17.043,-23.588,-51.85,-12.895,-65.233,19.818,-46.079,14.325,-64.896,42.803,-91.82,-3.409,-109.927,-35.888,-90.198,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
91,5,0,1,1,0,0,0,0,0,0,255,255,255,40,2637.2,encounter v,R,14,126,-1.726,1.071,4,332.654,373.284,0,0,1,5,4,L,mochi_2929,180.4,91.095,0.453,24,0,0,0,0,0,0,0,0,0,0,0,0,0.274,-37.347,0.072,-16.912,-14.408,-45.355,-10.539,-62.118,23.334,-50.626,15.111,-63.236,39.339,-83.852,2.029,-105.904,-38.685,-88.105,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
92,5,0,1,1,0,1,0,0,0,0,255,255,255,41,2655.295,encounter v,R,0,132,-0.211,-1.185,4,0,0,0,0,1,5,4,L,mochi_2929,180.4,91.095,0.453,24,0,0,0,0,0,0,0,0,0,0,0,0,0.352,-37.354,0.055,-16.963,-14.683,-45.569,-10.646,-62.137,22.244,-47.89,14.225,-62.481,39.422,-83.862,1.985,-105.931,-37.912,-90.964,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
93,5,0,1,1,0,2,0,0,0,0,255,255,255,42,2670.612,encounter v,R,14,126,-0.741,0.935,2,359.336,347.675,0,0,1,5,4,L,mochi_2929,180.4,91.095,0.453,35,2671.753,192,145,19,148,111,39.87,36.676,0.11,0.105,-0.11,0.419,-0.317,-36.785,-0.084,-16.994,-14.489,-46.816,-9.602,-61.916,24.476,-49.706,14.8,-62.801,39.299,-83.964,2.224,-105.929,-37.897,-90.03,2677.218,-67.867,-85.535,2680.418,8,Sabo_10,-67.704,-82.26,0,0,0,0,0,0,0,2
94,5,0,1,1,0,2,0,0,0,0,255,255,255,43,2704.962,encounter v,R,0,137,0.152,0.025,0,49.788,-200,0,0,1,5,4,L,mochi_2929,180.4,91.095,0.453,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.305,-37.4,-0.009,-16.744,-15.386,-43.289,-12.016,-60.692,22.577,-49.023,11.497,-64.04,42.24,-85.741,0.141,-104.781,-44.385,-89.571,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
95,5,0,1,1,0,0,1,0,0,0,255,255,255,44,2773.618,encounter v,R,14,126,-0.369,1.95,2,362.783,344.076,0,0,1,6,7,R,Pugeuk,160,107,0.596,71,2774.554,133,62,8,121,80,-31.042,19.635,0.08,0.064,0.034,0.127,-0.211,-36.924,-0.014,-16.998,-15.532,-45.204,-10.367,-61.927,24.873,-51.759,8.355,-62.676,40.111,-85.518,1.758,-102.976,-41.022,-88.348,2774.534,-0.828,-21.201,2777.451,3,schmoneymikey,-12.562,-54.993,0,0,0,0,0,0,0,2
96,5,0,1,1,0,0,2,0,0,0,255,255,255,45,2801.51,encounter v,R,14,119,0.124,-1.281,2,347.045,359.944,0,0,1,7,2,L,_Chun,190,95.143,0.502,89,2802.528,175,107,24,141,78,24.402,-13.197,0.97,0.159,-0.12,0.252,-0.221,-36.813,-0.052,-16.703,-13.855,-47.02,-11.077,-62.744,24.981,-50.072,17.821,-68.045,43.746,-83.558,3.301,-102.294,-40.127,-82.677,0,0,0,2806.384,5,sano jpn,18.826,-73.972,0,0,0,0,0,0,0,1
97,6,1,1,1,0,0,0,0,0,0,255,255,255,50,2933.393,Pring__,R,13,105,1.57,-1.226,1,-339.878,351.026,0,0,0,1,5,L,sano jpn,160,95.023,0.326,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.055,-37.636,0.107,-17.307,-18.529,-48.22,-12.773,-64.988,17.263,-41.053,16.703,-62.382,38.336,-86.303,2.09,-106.368,-34.144,-88.54,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
98,6,1,1,1,1,0,0,0,0,0,255,255,255,51,2950.591,Pring__,R,6,97,-1.227,0.701,0,413.879,77.416,0,0,0,1,5,L,sano jpn,160,95.023,0.326,46,0,0,0,0,0,0,0,0,0,0,0,0,-0.122,-37.682,-0.105,-17.566,-18.513,-45.352,-12.839,-65.05,19.879,-43.313,16.244,-62.849,38.49,-86.278,1.329,-106.41,-36.082,-87.386,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
99,6,1,1,1,1,1,0,0,0,0,255,255,255,52,2967.085,Pring__,R,0,135,-2.766,0.09,2,145.465,-200,0,0,1,1,5,L,sano jpn,160,95.023,0.326,35,2968.276,155,26,54,88,62,-4.042,33.897,-0.52,-0.024,-0.059,0.033,-0.312,-36.961,-0.147,-17.35,-20.71,-49.009,-12.773,-64.897,19.04,-42.749,16.386,-62.469,37.907,-86.308,1.158,-106.59,-36.078,-87.389,2968.634,-4.635,-25.472,2970.468,2,인생최패망자,-16.759,-40.91,0,0,0,0,0,0,0,2
