id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
47,3,1,0,0,1,0,0,0,255,255,255,24,1549.131,Slaris,10,116,0.637,0.633,2,0,370.784,-0.01,-8.723,1,0,2,Yaksok~,173.4,55,1549.96,122,192,4,145,72,7.626,-14.156,1,-0.22,-36.967,-0.184,-17.315,-21.75,-47.908,-17.544,-58.285,24.511,-52.121,13.728,-64.344,37.235,-84.902,37.235,-84.902,-41.486,-81.773,1548.254,8.204,-48.51,1552.312,6,_Chun,18.65,-81.729,1,2
48,3,1,0,0,1,1,0,0,2,255,255,25,1580.916,Slaris,13,110,-1.777,-0.163,2,-363.079,343.764,-0.01,-8.723,1,1,1,하루（Haru）,190,55,1582.035,132,115,19,142,67,-42.808,7.08,-0.776,0.024,-36.813,-0.009,-17.29,-19.607,-42.345,-8.552,-58.364,25.422,-51.181,14.002,-63.908,37.366,-80.74,37.366,-80.74,-42.042,-88.514,1578.762,-0.616,-20.273,1583.629,5,CVPileMaki,-2.804,-66.536,1,2
49,3,1,0,0,1,1,1,0,255,2,255,26,1620.53,Slaris,0,128,0.479,0.883,0,-20.639,-192.436,0,0,1,2,4,마렘_Marem,190,55,0,0,0,0,0,0,0,0,0,-0.428,-37.322,-0.085,-17.219,-20.231,-44.077,-3.527,-59.884,20.723,-44.283,9.78,-63.162,37.96,-76.091,37.96,-76.091,-36.578,-82.453,0,0,0,0,0,,0,0,0,0
50,3,1,0,1,1,1,1,0,255,2,255,27,1637.638,Slaris,0,126,-0.008,0.009,0,-30.736,-200,0,0,1,2,4,마렘_Marem,190,55,0,0,0,0,0,0,0,0,0,-0.36,-37.365,-0.372,-17.548,-19.988,-44.875,-3.042,-59.238,24.073,-44.53,15.26,-62.751,41.352,-78.697,41.352,-78.697,-37.969,-85.757,0,0,0,0,0,,0,0,0,0
51,3,1,0,2,1,1,1,0,255,2,255,28,1660.62,Slaris,14,109,2.653,-1.492,4,386.885,312.348,0.859,-18.066,1,2,4,마렘_Marem,190,55,0,0,0,0,0,0,0,0,0,-0.32,-37.038,0.365,-17.073,-19.769,-43.457,-0.505,-59.258,22.64,-43.254,13.748,-60.495,41.018,-79.499,41.018,-79.499,-37.811,-85.853,0,0,0,0,0,,0,0,0,0
52,3,1,0,0,2,0,1,1,255,1,2,29,1704.046,Slaris,0,128,1.961,1.556,2,-2.494,-118.891,0.859,-18.066,1,3,5,coder_,164.8,54,1705.058,106,149,15,142,116,39.727,-11.308,0.164,0.154,-36.79,-0.049,-17.345,-22.114,-48.216,-15.742,-60.738,20.613,-47.595,14.498,-63.728,39.294,-79.999,39.294,-79.999,-44.85,-79.708,1708.062,11.341,-115.628,0,0,,0,0,0,1
53,3,0,0,0,0,0,0,0,255,255,255,22,1787.964,Penguin_iDOL,0,135,1.6,-0.272,1,101.394,-15.075,0,0,0,0,1,encounter v,190,55,0,0,0,0,0,0,0,0,0,0.171,-37.929,0.503,-17.328,-20.903,-48.213,-13.807,-63.573,26.258,-50.853,13.569,-62.144,38.443,-85.196,0.236,-112.328,-57.115,-86.679,0,0,0,0,0,,0,0,0,0
54,3,0,1,0,0,0,0,0,255,255,255,23,1805.628,Penguin_iDOL,3,114,-0.335,-0.75,2,-391.899,94.43,0,0,1,0,1,encounter v,190,55,1806.667,103,176,7,142,141,-21.66,46.353,0.826,0.117,-37.356,0.04,-17.509,-21.451,-48.75,-13.757,-63.486,26.029,-51.192,15.829,-63.22,38.805,-84.668,0.508,-112.51,-55.294,-84.578,1803.404,-1.914,-24.016,1813.429,8,mateo․437408 9690,-50.583,-68.014,1,2
55,3,0,0,0,0,0,0,1,255,255,10,24,1876.628,Penguin_iDOL,3,109,-1.228,0.142,1,-417.908,0,-1.375,-11.453,0,1,2,Sabo_10,185.2,43,0,0,0,0,0,0,0,0,0,-0.211,-37.967,0.146,-17.283,-19.893,-46.479,-14.939,-62.675,19.25,-40.334,13.708,-61.529,41.666,-84.851,5.013,-109.531,-50.167,-75.088,0,0,0,0,0,,0,0,0,0
56,3,0,1,0,0,0,0,1,255,255,10,25,1893.695,Penguin_iDOL,0,138,-0.39,-0.529,2,182.294,-22.614,-1.375,-11.453,1,1,2,Sabo_10,185.2,43,1894.722,101,131,29,142,120,24.159,28.053,0.19,-0.076,-37.159,-0.159,-17.358,-20.381,-46.758,-14.489,-62.303,18.549,-41.528,13.45,-61.367,41.485,-84.834,1.227,-108.354,-49.709,-85.051,1896.187,-44.467,-111.839,1899.779,7,ke ro,-33.574,-106.93,1,2
