id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
111,6,1,0,1,1,1,0,0,255,255,255,59,3473.354,Espressο,1,80,3.934,-0.293,2,0,0,0,0,1,3,2,encounter v,190,53,3474.74,98,165,0,139,87,-79.456,-79.02,0.956,-0.256,-36.724,0.044,-17.487,-16.704,-41.13,-10.321,-58.951,24.426,-48.154,15.181,-63.575,42.472,-83.548,8.979,-106.195,-36.339,-79.257,3474.863,1.53,-20.586,0,0,,0,0,0,3
112,6,1,0,2,1,1,0,0,255,255,255,60,3503.74,Espressο,13,101,25.284,23.675,1,-340.481,335.398,0,0,0,3,2,encounter v,190,53,0,0,0,0,0,0,0,0,0,0.097,-37.153,2.516,-13.098,-19.56,-39.959,-4.959,-58.376,24.12,-48.702,15.319,-63.261,43.665,-85.127,8.569,-104.378,-37.324,-79.359,0,0,0,0,0,,0,0,0,0
113,6,1,1,2,1,0,1,0,255,5,255,61,3521.393,Espressο,10,115,0.209,-1.94,1,-27.142,400,0.018,-19.411,0,3,2,encounter v,190,53,0,0,0,0,0,0,0,0,0,0.031,-37.323,-0.005,-17.34,-18.631,-44.581,-7.722,-60.484,21.543,-46.431,15.482,-63.61,44.459,-85.309,3.297,-109.762,-36.121,-79.88,0,0,0,0,0,,0,0,0,0
114,6,1,2,2,1,0,1,0,255,5,255,62,3536.658,Espressο,0,140,3.731,0.304,1,127.587,-188.511,1.149,-6.009,0,3,2,encounter v,190,53,0,0,0,0,0,0,0,0,0,0.145,-37.287,-0.288,-15.826,-20.372,-45.24,-7.765,-60.344,23.164,-46.671,15.353,-63.552,42.268,-83.131,2.077,-106.408,-36.241,-79.909,0,0,0,0,0,,0,0,0,0
115,6,1,3,2,1,0,0,1,255,255,5,63,3553.883,Espressο,0,94,0.704,1.092,2,0,0,0,0,1,3,2,encounter v,190,53,3555.162,87,72,0,80,80,36.115,2.628,0.504,-0.256,-36.955,0.061,-17.258,-19.471,-45.638,-12.082,-60.229,20.879,-42.34,16.767,-64.058,39.431,-82.287,2.324,-103.527,-35.195,-81.762,3559.846,1.19,-81.421,3560.363,7,하루（Haru）,1.207,-82.318,1,2
116,6,1,0,0,1,0,1,0,255,2,255,64,3586.153,Espressο,13,106,-1.591,-0.322,4,-327.305,366.924,0,0,1,4,6,Slaris,174.6,56,0,0,0,0,0,0,0,0,0,-0.067,-37.559,0.043,-17.392,-19.453,-46.492,-12.423,-61.95,20.642,-46.903,4.779,-63.029,35.534,-81.858,2.73,-108.75,-35.567,-85.584,0,0,0,0,0,,0,0,0,0
117,6,1,0,1,1,0,1,0,255,2,255,65,3605.449,Espressο,14,98,1.555,-1.178,1,347.842,312.348,0,0,0,4,6,Slaris,174.6,56,0,0,0,0,0,0,0,0,0,0.136,-37.229,0.057,-17.363,-20.504,-46.264,-14.583,-61.308,18.79,-42.961,1.051,-60.613,39.993,-84.056,3.372,-113.271,-36.131,-85.599,0,0,0,0,0,,0,0,0,0
118,6,1,1,1,1,0,1,0,255,2,255,66,3621.551,Espressο,0,140,1.394,1.477,4,17.857,-137.325,0.204,-5.897,1,4,6,Slaris,174.6,56,0,0,0,0,0,0,0,0,0,0.298,-37.508,-0.12,-15.625,-20.625,-44.593,-14.9,-61.234,19.806,-45.223,3.007,-61.924,39.567,-84.366,1.769,-112.49,-36.176,-85.663,0,0,0,0,0,,0,0,0,0
119,6,1,1,2,1,0,1,0,255,2,255,67,3655.457,Espressο,1,86,3.495,-0.766,4,0,0,0.73,-20.695,1,4,6,Slaris,174.6,56,0,0,0,0,0,0,0,0,0,0.077,-36.94,0.383,-17.603,-20.11,-45.196,-14.325,-61.437,19.361,-46.375,2.78,-60.62,37.823,-82.886,-1.978,-109.627,-40.722,-87.007,0,0,0,0,0,,0,0,0,0
120,6,1,0,0,2,0,1,0,255,2,255,68,3696.972,Espressο,10,110,1.687,0.471,1,0,400,0,0,0,5,3,Penguin_iDOL,180.2,56,0,0,0,0,0,0,0,0,0,0.4,-37.145,-0.025,-17.344,-19.871,-45.474,-14.789,-59.591,20.505,-50.227,3.776,-61.936,33.342,-79.953,-0.332,-108.715,-39.639,-80.007,0,0,0,0,0,,0,0,0,0
121,6,1,1,0,2,0,1,0,255,2,255,69,3713.072,Espressο,13,126,-1.975,0.238,4,-357.179,349.891,-0.908,-13.811,1,5,3,Penguin_iDOL,180.2,56,0,0,0,0,0,0,0,0,0,-0.087,-37.229,-0.93,-16.426,-20.913,-46.334,-15.47,-60.004,19.608,-49.49,3.403,-61.955,37.733,-85.074,-0.342,-108.752,-39.367,-80.217,0,0,0,0,0,,0,0,0,0
122,6,1,1,1,2,0,1,0,255,2,255,70,3733.134,Espressο,10,122,0.313,-2.253,2,0,400,0,0,1,5,3,Penguin_iDOL,180.2,56,3734.295,97,179,27,144,90,-55.614,21.514,0.959,-0.261,-36.804,0.058,-17.352,-19.295,-47.361,-15.103,-60.414,20.956,-52.459,1.698,-61.02,37.49,-83.341,-0.572,-109.043,-39.71,-79.987,3734.263,0.04,-19.865,3737.379,3,_앰프_,-11.997,-50.402,0,2
123,6,0,0,0,0,0,0,0,255,255,255,51,3897.214,Penguin_iDOL,1,89,-3.042,-2.175,4,0,0,-0.394,-19.019,1,2,9,눈꽃,184.7,56,0,0,0,0,0,0,0,0,0,0.3,-37.708,-0.425,-17.314,-21.709,-46.657,-14.23,-63.73,20.87,-50.757,13.11,-64.124,33.641,-89.54,-6.066,-116.698,-36.742,-91.746,0,0,0,0,0,,0,0,0,0
124,6,0,0,1,0,0,0,0,255,255,255,52,3918.103,Penguin_iDOL,0,139,2.249,-0.454,4,86.33,-41.847,0,0,1,2,9,눈꽃,184.7,56,0,0,0,0,0,0,0,0,0,0.074,-38.005,0.345,-16.672,-21.536,-46.53,-13.391,-62.586,20.305,-49.81,13.777,-64.005,34.668,-90.774,-5.823,-113.896,-36.623,-91.621,0,0,0,0,0,,0,0,0,0
125,6,0,0,2,0,0,0,0,255,255,255,53,3935.602,Penguin_iDOL,13,107,-1.157,-1.227,2,-350.644,346.493,0,0,1,2,9,눈꽃,184.7,56,3936.514,112,254,37,150,99,-36.99,21.869,0.908,0.324,-36.871,-0.248,-16.616,-22.724,-47.181,-13.065,-64.356,19.741,-49.506,13.816,-64.091,39.493,-97.751,-4.926,-113.938,-38.012,-89.841,3936.579,-0.481,-21.751,3938.88,3,Pugeuk,-14.56,-57.032,0,2
126,6,0,0,0,1,0,0,0,255,255,255,54,3970.904,Penguin_iDOL,0,131,0.617,-0.34,0,47.892,-53.633,0,0,0,3,7,하루（Haru）,169.9,56,0,0,0,0,0,0,0,0,0,0.148,-37.985,0.198,-16.701,-22.753,-47.775,-13.708,-63.298,21.38,-49.645,13.233,-64.434,43.325,-83.658,12.185,-109.211,-39.961,-88.134,0,0,0,0,0,,0,0,0,0
