id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,2,1,0,1,0,0,0,0,0,0,255,255,255,10,1063.783,소솨소솨,0,132,2.398,-0.131,1,0,0,0,0,0,4,5,coder_,160,0,0,0,0,0,0,0,0,0,0,0,0,0.015,-37.729,0.047,-16.835,-17.373,-42.848,-11.996,-64.383,22.599,-47.778,8.841,-65.12,35.7,-81.8,-3.961,-106.73,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
2,2,1,0,1,1,0,0,0,0,0,255,255,255,11,1080.239,소솨소솨,0,122,-0.506,-1.896,1,0,0,-0.12,-17.573,0,4,5,coder_,160,0,0,0,0,0,0,0,0,0,0,0,0,-0.131,-37.582,0.083,-17.336,-17.195,-42.879,-11.768,-64.581,22.581,-47.935,8.851,-65.224,35.7,-81.8,-2.813,-106.189,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
3,2,1,0,1,2,0,0,0,0,0,255,255,255,12,1095.662,소솨소솨,0,133,-2.084,1.967,2,0,0,0,0,1,4,5,coder_,160,0,1096.718,107,123,0,124,119,-23.206,-10.161,0.633,-0.032,-0.122,-0.088,-37.465,0.1,-16.782,-17.348,-42.976,-11.785,-64.601,22.595,-47.905,8.844,-65.188,35.703,-81.802,-4.024,-100.9,-35.703,-81.802,1096.739,0.203,-20.835,1098.815,5,ke ro,2.382,-60.965,0,0,2
4,2,1,0,1,0,0,1,0,0,0,255,255,255,13,1126.381,소솨소솨,3,97,-2.422,-1.014,4,-354.054,0,0,0,1,5,0,bdg06213,190,94,0,0,0,0,0,0,0,0,0,0,0,-0.265,-37.955,-0.294,-16.71,-17.143,-42.776,-11.495,-64.416,22.702,-48.198,11.679,-64.436,35.703,-81.803,-8.48,-105.89,-35.703,-81.803,0,0,0,0,0,,0,0,0,0,0
5,2,1,0,1,0,1,1,0,0,0,255,255,255,14,1142.714,소솨소솨,0,140,-1.304,-0.263,2,0,0,0,0,1,5,0,bdg06213,190,94,1143.727,85,120,0,102,77,-40.288,48.622,0.873,-0.001,-0.132,-0.121,-37.45,-0.123,-16.619,-17.219,-42.725,-11.502,-64.444,22.376,-47.463,11.047,-64.53,35.703,-81.802,0.621,-109.183,-35.703,-81.802,1143.843,-1.371,-21.342,1145.746,2,甲斐野柊太,-20.49,-38.078,0,0,2
6,2,1,0,1,0,2,1,0,0,0,255,255,255,15,1164.94,소솨소솨,13,104,-0.775,-0.997,1,-161.089,400,-0.309,-17.371,0,5,0,bdg06213,190,94,0,0,0,0,0,0,0,0,0,0,0,-0.134,-38.358,-0.046,-17.033,-17.619,-42.708,-11.026,-64.725,21.892,-48.241,11.413,-64.589,35.7,-81.8,1.166,-110.704,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
7,2,1,0,1,1,2,1,0,0,0,255,255,255,16,1183.329,소솨소솨,3,104,-3.24,-0.163,4,-416.405,0,0,0,1,5,0,bdg06213,190,94,0,0,0,0,0,0,0,0,0,0,0,-0.348,-38.075,-0.3,-16.792,-17.998,-40.828,-12.25,-64.515,21.972,-48.403,10.03,-64.886,35.703,-81.803,-1.658,-113.112,-35.703,-81.803,0,0,0,0,0,,0,0,0,0,0
8,2,1,0,1,0,0,2,0,0,0,255,255,255,17,1211.181,소솨소솨,0,131,1.12,-0.119,2,0,0,0,0,1,0,3,IbikiKai_JP,170.3,27,1212.276,104,88,0,102,100,-27.76,-16.078,0.404,-0.029,-0.07,-0.047,-37.921,0.232,-16.861,-16.689,-42.58,-11.826,-65.144,22.08,-48.214,10.25,-65.25,35.703,-81.802,-9.904,-115.205,-35.703,-81.802,1212.35,0.596,-20.762,1214.482,5,ke ro,6.159,-58.995,0,0,2
9,2,0,0,1,0,0,0,0,0,0,255,255,255,8,1264.677,bdg06213,0,140,-1.32,-0.596,2,64.65,-105.083,0,0,0,4,4,_Chun,190,87,1265.632,106,112,37,124,123,39.338,-30.725,0.456,0.034,-0.061,-0.442,-36.968,0.018,-17.062,-16.472,-42.181,-16.739,-60.62,18.434,-42.908,15.68,-63.544,35.702,-81.802,0,-100.602,-35.702,-81.802,1271.621,71.939,-100.726,0,0,,0,0,0,0,4
10,2,0,0,2,0,0,0,0,0,0,255,255,255,9,1317.149,bdg06213,0,140,-0.135,-0.198,2,40.506,-42.986,0,0,1,5,7,Sabo_10,184.7,52,1318.168,118,191,32,141,70,35.588,-35.306,1,0.056,-0.091,-0.382,-36.897,-0.034,-16.946,-17.283,-42.874,-16.052,-58.884,23.949,-48.149,16.972,-62.762,35.703,-81.802,0,-100.603,-35.703,-81.802,0,0,0,1322.537,5,coder_,27.751,-63.461,0,0,1
