id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
81,4,0,1,1,0,0,0,0,0,0,255,255,255,41,2832.371,-Alta-,L,0,129,0.491,-0.151,2,20.675,0,0,0,1,3,9,L,SOM_candy,179.9,45,2833.468,103,161,39,135,65,0.685,-2.793,-0.724,-0.087,0.018,0.453,-36.893,0.353,-16.737,-20.472,-47.156,-13.306,-64.238,24.595,-48.697,16.25,-62.198,48.125,-88.65,-4.056,-110.146,-39.009,-91.004,2834.077,0.558,-33.535,2837.793,6,아침땅_,4.041,-62.217,1,0,2
82,4,0,1,1,0,0,0,1,0,0,9,255,255,42,2867.482,-Alta-,L,10,123,1.064,-1.175,4,0,286.219,0,0,1,4,2,R,Gonyong,176.1,44,0,0,0,0,0,0,0,0,0,0,0,0.431,-36.768,0.008,-16.885,-19.727,-45.006,-8.635,-59.769,21.514,-48.054,10.735,-60.636,43.395,-88.696,-3.681,-103.169,-36.587,-74.082,0,0,0,0,0,,0,0,0,0,0
83,4,0,1,1,0,1,0,1,0,0,9,255,255,43,2886.309,-Alta-,L,6,111,-1.883,0.583,4,-325.775,0,0,0,1,4,2,R,Gonyong,176.1,44,0,0,0,0,0,0,0,0,0,0,0,0.207,-36.979,-0.351,-17.017,-19.809,-45.062,-10.349,-60.741,21.504,-48.02,10.721,-60.647,43.416,-88.752,-3.68,-103.176,-38.72,-77.877,0,0,0,0,0,,0,0,0,0,0
84,4,0,1,1,0,2,0,1,0,0,9,255,255,44,2905.311,-Alta-,L,0,140,-1.687,0.63,1,-19.05,-122.312,0,0,0,4,2,R,Gonyong,176.1,44,0,0,0,0,0,0,0,0,0,0,0,0.204,-36.559,-0.591,-16.967,-20.088,-45.671,-12.514,-61.553,21.268,-48.009,6.171,-60.882,43.376,-88.688,-2.883,-103.159,-39.549,-78.123,0,0,0,0,0,,0,0,0,0,0
85,4,0,1,1,1,2,0,1,0,0,9,255,255,45,2925.064,-Alta-,L,0,140,1.612,-0.817,2,-8.199,-47.693,0,0,1,4,2,R,Gonyong,176.1,45,2926.132,153,147,6,137,64,2.146,6.028,-0.944,-0.08,-0.085,0.353,-36.564,0.091,-16.826,-20.217,-45.842,-12.482,-61.639,21.242,-48.042,7.266,-60.284,43.5,-88.802,-3.947,-104.135,-39.589,-76.88,2926.61,-1.104,-30.279,2929.027,3,장덕춘_,-3.18,-56.824,0,0,2
86,4,0,1,1,0,0,2,0,0,0,255,255,255,46,2964.309,-Alta-,L,5,134,1.598,-1.038,2,116.495,0,0,0,1,5,5,R,소솨소솨,174.8,45,2965.241,27,210,89,73,63,-86.38,83.08,1,-0.069,-0.202,0.689,-36.702,0.233,-16.824,-21.425,-50.78,-13.944,-63.749,20.971,-49.344,9.57,-60.62,42.495,-88.885,-3.199,-93.871,-39.932,-76.699,2965.16,-0.014,-20.885,0,0,,0,0,0,0,3
87,4,0,1,1,0,1,2,0,0,0,255,255,255,47,2983.889,-Alta-,L,0,131,-0.278,1.626,2,7.267,-83.988,0,0,1,5,5,R,소솨소솨,174.8,45,2984.792,166,128,11,136,122,27.988,-37.076,0.366,-0.143,-0.131,0.394,-36.737,-0.035,-16.96,-21.23,-49.662,-14.007,-64.305,21.222,-48.067,9.284,-62.193,42.72,-89.16,-3.128,-89.904,-40.072,-76.243,2989.277,44.76,-113.41,2993.81,7,magimari,25.007,-108.6,1,0,2
88,4,0,1,1,0,0,2,0,1,0,255,14,255,48,3028.776,-Alta-,L,4,122,0.286,0.166,2,191.475,0,0,0,1,6,4,L,NABIMan,189.9,58,3029.812,193,196,0,147,130,-14.662,-29.52,0.358,0.08,-0.005,0.325,-36.812,0.676,-16.804,-20.568,-49.743,-4.173,-63.504,21.349,-48.019,10.606,-59.834,51.339,-87.816,-4.975,-104.496,-34.821,-88.106,3029.827,2.137,-23.4,3033.277,6,아침땅_,42.415,-90.566,1,0,2
89,4,0,1,1,0,0,2,0,1,1,255,255,14,49,3070.431,-Alta-,L,0,129,0.049,2.52,1,-4.659,-59.567,0,0,0,7,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0.159,-36.684,-0.112,-17.151,-20.182,-50.356,-3.971,-59.867,21.741,-47.09,9.998,-59.368,46.184,-88.624,3.547,-102.219,-40.661,-78.15,0,0,0,0,0,,0,0,0,0,0
90,4,0,1,1,1,0,2,0,1,1,255,255,14,50,3087.617,-Alta-,L,0,119,0.149,2.038,1,-15.443,-83.355,0,0,0,7,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0.617,-36.909,0.262,-17.316,-20.397,-50.692,-5.877,-61.891,22.367,-47.455,10.219,-60.037,46.114,-88.713,0.133,-100.952,-41.656,-78.531,0,0,0,0,0,,0,0,0,0,0
91,4,0,1,1,2,0,2,0,1,1,255,255,14,51,3104.825,-Alta-,L,0,119,-1.651,3.851,1,-2.273,-30.852,0,0,0,7,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0.092,-36.291,-0.25,-18.853,-20.232,-49.613,-12.844,-64.795,22.465,-47.302,6.181,-63.526,45.706,-89.201,4.629,-102.574,-40.393,-82.548,0,0,0,0,0,,0,0,0,0,0
92,4,0,1,1,3,0,2,0,1,1,255,255,14,52,3125.414,-Alta-,L,0,128,0.591,-0.77,0,0,0,0,0,0,7,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0.488,-36.829,0.123,-17.119,-21.418,-47.896,-13.243,-64.787,20.798,-47.228,8.136,-62.259,45.598,-89.269,1.319,-101.889,-40.379,-82.538,0,0,0,0,0,,0,0,0,0,0
93,4,0,1,1,3,1,2,0,1,1,255,255,14,53,3140.144,-Alta-,L,0,120,-3.929,46.372,1,1.73,-24.422,-3.372,34.261,0,7,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0.168,-36.801,-1.367,-14.604,-20.027,-40.379,-13.052,-65.078,20.49,-41.477,7.317,-63,45.461,-89.578,2.099,-102.564,-41.943,-79.059,0,0,0,0,0,,0,0,0,0,5
94,4,0,1,2,0,0,2,1,0,1,16,255,13,54,3213.516,-Alta-,L,6,93,-2.357,0.45,2,-342.27,0,0,0,1,8,8,L,눈꽃,175.4,89,3214.759,200,172,15,146,64,38.194,40.135,-0.929,0.018,0.009,0.373,-36.913,-0.222,-16.864,-21.099,-50.868,-11.784,-62.932,20.519,-44.475,11.46,-62.223,48.858,-84.803,-3.55,-113.14,-42.23,-89.267,3218.66,-31.278,-55.408,3220.927,8,ゆっち一,-40.452,-64.973,1,0,2
95,4,0,1,3,0,0,2,1,1,0,17,16,255,55,3250.522,-Alta-,L,0,113,1.46,1.439,1,8.194,-50.659,0,0,0,0,3,R,crani,173.5,58,0,0,0,0,0,0,0,0,0,0,0,0.467,-36.918,-0.052,-17.123,-21.292,-44.097,-12.466,-63.629,22.419,-47.81,6.432,-59.834,39.704,-81.643,-1.647,-99.685,-45.75,-78.277,0,0,0,0,0,,0,0,0,0,0
96,4,0,1,3,1,0,2,1,1,0,17,16,255,56,3269.737,-Alta-,L,6,108,-3.04,-0.748,1,-381.664,22.041,-1.132,-16.919,0,0,3,R,crani,173.5,58,0,0,0,0,0,0,0,0,0,0,0,0.05,-36.894,-1.19,-17.518,-21.217,-47.826,-13.089,-63.768,22.27,-47.326,4.271,-58.794,39.034,-81.039,-2.585,-100.217,-41.087,-78.91,0,0,0,0,0,,0,0,0,0,0
97,4,0,1,3,2,0,2,1,1,0,17,16,255,57,3289.706,-Alta-,L,0,119,20.454,-2.752,1,1.042,-19.183,0.542,-34.837,0,0,3,R,crani,173.5,58,0,0,0,0,0,0,0,0,0,0,0,0.474,-36.875,1.213,-17.091,-21.432,-48.952,-13.232,-64.168,21.868,-47.828,6.647,-60.581,39.045,-80.98,-2.589,-100.188,-41.687,-79.44,0,0,0,0,0,,0,0,0,0,0
98,4,0,1,3,3,0,2,0,1,1,255,16,255,58,3324.622,-Alta-,L,0,127,-0.563,1.011,0,-6.85,-24.69,0,0,0,0,3,R,crani,173.5,58,0,0,0,0,0,0,0,0,0,0,0,0.033,-36.527,-0.132,-16.943,-22.93,-49.796,-14.19,-64.27,22.52,-48.975,7.117,-60.847,39.034,-81.008,-2.741,-100.621,-42.004,-79.21,0,0,0,0,0,,0,0,0,0,0
99,4,0,1,3,3,1,2,0,1,1,255,16,255,59,3342.856,-Alta-,L,0,112,185.779,-2.752,1,-7.963,-38.239,0.495,-36.219,0,0,3,R,crani,173.5,58,0,0,0,0,0,0,0,0,0,0,0,0.33,-36.967,1.367,-17.392,-22.472,-50.594,-14.126,-64.271,21.766,-49.488,6.842,-60.632,39.03,-81.006,-3.062,-98.942,-42.095,-78.764,0,0,0,0,0,,0,0,0,0,5
100,4,0,1,3,0,0,2,1,0,1,12,255,255,60,3417.792,-Alta-,L,1,105,3.069,0.82,1,0,0,0,0,0,1,6,R,Roscosmos,174.7,58,0,0,0,0,0,0,0,0,0,0,0,0.291,-37.039,0.407,-16.928,-21.331,-48.185,-13.647,-64.612,21.556,-49.739,7.67,-63.665,37.241,-85.234,-0.539,-103.411,-42.177,-81.538,0,0,0,0,0,,0,0,0,0,0
101,4,0,1,4,1,0,2,1,0,1,12,255,255,61,3433.562,-Alta-,L,0,124,0.402,0.923,2,-5.515,-46.143,0,0,1,1,6,R,Roscosmos,174.7,58,3434.39,81,119,0,95,64,94.804,-5.859,-0.953,-0.088,-0.14,0.523,-36.996,0.147,-16.671,-20.712,-49.903,-13.633,-64.697,22.07,-49.634,5.787,-62.117,37.307,-85.384,-2.209,-103.26,-42.165,-81.558,3439.61,0.38,-14.822,0,0,,0,0,0,0,3
