id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
136,4,0,1,8,1,0,2,0,0,1,255,255,12,27,4018.578,썬써니_,R,0,121,0.65,0.219,0,48.209,-40.022,0,0,1,2,2,L,하루（Haru）,190,107,0.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,-38.283,0.032,-16.955,-20.156,-48.981,-6.168,-66.992,17.82,-45.628,13.448,-63.666,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
137,4,0,1,8,1,1,2,0,0,1,255,255,12,28,4038.167,썬써니_,R,0,111,-0.255,-1.168,2,18.931,-46.848,0,0,1,2,2,L,하루（Haru）,190,107,0.5,45,4039.369,212,188,17,155,107,-28.243,-40.212,0.92,0.112,-0.093,0.238,0,0,0,-0.163,-37.974,-0.036,-16.989,-20.165,-48.968,-6.163,-66.973,19.265,-41.767,12.486,-59.985,35.7,-81.8,0,-100.6,-35.7,-81.8,4046.023,61.342,-96.999,4050.1,5,TaeGeuk_,17.317,-69.198,1,0,0,0,0,0,0,0
138,4,0,1,9,0,0,2,0,1,0,255,11,255,29,4080.382,썬써니_,R,0,98,-0.391,-0.005,2,45.928,-34.9,0,0,1,3,5,R,muyang_,172.9,86,0.5,33,4081.486,29,68,89,64,64,26.625,-1.501,0.33,-0.031,-0.144,0.132,0,0,0,-0.176,-38.006,-0.006,-17.013,-20.175,-48.955,-10.928,-65.333,19.409,-43.601,15.012,-61.291,35.7,-81.8,0,-100.6,-35.7,-81.8,4085.051,0.908,-64.397,4085.294,3,jdw4469,0.884,-63.283,0,0,0,0,0,0,0,1
139,5,1,1,9,0,0,0,0,0,0,255,255,255,51,4156.333,coder_,R,0,137,0.886,-1.042,1,-16.467,-200,0,0,0,1,5,R,TaeGeuk_,176.9,86,0.375,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-37.915,-0.04,-16.9,-20.47,-47.25,-15.065,-60.585,22.686,-50.643,12.066,-64.569,35.7,-81.8,-9.519,-99.207,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
140,5,1,1,9,1,0,0,0,0,0,255,255,255,52,4168.607,coder_,R,0,89,0.934,-1.393,2,-132.723,-133.629,0,0,1,1,5,R,TaeGeuk_,176.9,86,0.375,59,4169.735,168,106,18,145,120,34.544,38.195,0.27,-0.037,0.033,0.13,0,0,0,0.105,-37.402,-0.049,-17.009,-21.516,-48.817,-14.988,-60.533,22.247,-49.943,12.18,-64.511,35.7,-81.8,-9.365,-99.202,-35.7,-81.8,4174.982,-69.588,-98.288,0,0,,0,0,0,0,0,0,0,0,0,4
141,5,1,2,9,0,0,0,0,0,0,255,255,255,53,4221.035,coder_,R,0,131,0.526,-0.726,0,-62.077,-200,0,0,0,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-37.871,0.048,-16.848,-19.899,-46.48,-14.724,-59.482,23.051,-50.139,10.86,-65.43,35.7,-81.8,-11.652,-100.55,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
142,5,1,2,9,0,1,0,0,0,0,255,255,255,54,4232.517,coder_,R,0,107,-3.994,-0.327,4,-189.001,-52.889,0,0,1,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.271,-37.645,0.009,-16.815,-21.061,-45.454,-14.402,-60.411,23.167,-51.203,11.44,-65.092,35.7,-81.8,-12.178,-100.018,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
143,5,1,2,9,0,2,0,0,0,0,255,255,255,55,4244.158,coder_,R,0,118,-0.807,-1.687,1,69.242,-200,0,0,0,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251,-37.802,-0.075,-16.9,-20.402,-45.145,-15.222,-61.639,23.189,-51.277,11.373,-64.715,35.7,-81.8,-12.274,-100.211,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
144,5,1,2,9,0,0,1,0,0,0,255,255,255,56,4274.921,coder_,R,0,123,-0.029,0.013,2,-13.65,-144.327,0,0,1,3,3,R,jdw4469,173.2,92.883,0.353,59,4276.078,138,118,61,146,88,30.684,27.303,0,-0.053,-0.099,0.145,0,0,0,-0.112,-37.043,-0.051,-16.918,-22.032,-49.988,-14.424,-61.529,23.245,-50.725,11.893,-64.745,35.708,-81.807,-11.02,-100.178,-35.708,-81.807,4280.781,-42.805,-79.526,4285.197,5,muyang_,-1.928,-60.608,0,0,0,0,0,0,0,1
145,5,1,2,9,0,0,2,0,0,0,255,255,255,57,4412.099,coder_,R,0,126,-0.573,-1.393,2,-59.752,-125.55,0,0,1,4,1,L,눈꽃,190,100.309,0.5,91,4413.271,191,102,29,148,130,-25.292,36.649,0.28,0.091,-0.091,0.102,0,0,0,0.018,-37.044,0.02,-16.959,-21.698,-49.598,-15.296,-62.41,23.8,-50.592,13.1,-64.222,35.7,-81.8,-6.132,-107.391,-35.7,-81.8,4413.281,-0.655,-20.344,4414.676,2,하루（Haru）,-20.217,-46.547,0,0,0,0,0,0,0,2
146,5,0,2,9,0,0,0,0,0,0,255,255,255,30,4529.003,눈꽃,R,13,111,-2.32,0.361,4,-348.125,358.9,-0.428,-21.094,1,4,4,L,schmoneymikey,190,100,0.6,53,4531.521,17,1,4,0,2,-58.626,51.465,0.63,0.037,-0.038,0,0,0,0,0.147,-37.036,-0.096,-16.961,-21.769,-50.262,-10.626,-64.093,18.92,-45.03,11.82,-59.235,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,4538.538,0,눈꽃,0.196,-38.019,0,0,0,0,0,0,0,0
147,5,0,2,9,0,1,0,0,0,0,255,255,255,31,4548.398,눈꽃,R,0,140,-0.022,0.1,0,77.055,-182.823,0,0,0,4,4,L,schmoneymikey,190,100,0.6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-36.912,-0.019,-17.135,-21.763,-50.223,-10.625,-64.213,19.352,-45.211,12.967,-48.749,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
148,5,0,2,9,0,2,0,0,0,0,255,255,255,32,4564.223,눈꽃,R,0,140,-0.801,0.018,0,60.888,-126.658,-0.282,-18.134,1,4,4,L,schmoneymikey,190,100,0.6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,-36.91,-0.055,-17.183,-21.728,-50.251,-8.955,-65.319,18.051,-44.388,12.155,-50.624,35.7,-81.8,0,-100.61,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
149,5,0,2,9,0,0,1,0,0,0,255,255,255,33,4593.617,눈꽃,R,14,119,1.679,-0.705,1,252.679,369.614,0.698,-17.764,0,5,8,R,coder_,190,99.563,0.25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,-37.308,0.193,-17.29,-21.151,-50.217,-12.067,-62.066,19.507,-46.009,11.254,-56.586,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
150,5,0,2,9,1,0,1,0,0,0,255,255,255,34,4618.195,눈꽃,R,14,114,0.044,0.177,0,288.855,400,0.231,-17.967,0,5,8,R,coder_,190,99.563,0.25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,-37.251,0.009,-17.035,-22.352,-51.986,-12.467,-64.18,19.202,-45.694,11.735,-59.659,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
151,5,0,2,9,1,1,1,0,0,0,255,255,255,35,4647.332,눈꽃,R,0,140,0.835,0.59,0,43.04,-117.708,0,0,0,5,8,R,coder_,190,99.563,0.25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,-37.152,-0.011,-17.119,-22.413,-51.988,-11.881,-63.346,20.498,-44.769,9.172,-55.014,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
152,5,0,2,9,1,2,1,0,0,0,255,255,255,36,4661.538,눈꽃,R,7,115,-0.407,0.328,2,181.493,137.5,0,0,1,5,8,R,coder_,190,99.563,0.25,59,4662.643,139,63,41,135,124,-12.059,-11.538,0.71,-0.08,-0.109,0.17,0,0,0,0.155,-36.967,-0.039,-17.009,-22.401,-51.99,-10.176,-65.746,19.896,-44.33,14.204,-56.508,35.7,-81.8,0,-100.6,-35.7,-81.8,4670.017,10.615,-132.566,4674.468,3,jdw4469,2.081,-74.446,1,0,0,0,0,0,0,0
153,5,0,2,9,0,0,1,0,1,0,255,17,255,37,4696.768,눈꽃,R,1,120,-1.658,1.441,1,0,0,0,0,0,6,5,R,Pugeuk,160,97.373,0.596,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,-37.308,-0.072,-16.902,-20.537,-49.273,-11.003,-64.216,19.409,-45.909,11.071,-62.768,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
154,5,0,2,9,1,0,1,0,1,0,255,17,255,38,4713.06,눈꽃,R,0,140,1.508,0.585,4,29.282,-133.909,0,0,1,6,5,R,Pugeuk,160,97.373,0.596,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,-37.398,0.017,-16.935,-20.867,-49.972,-12.258,-64.745,19.703,-44.56,9.919,-60.836,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
155,5,0,2,9,1,1,1,0,1,0,255,17,255,39,4728.423,눈꽃,R,0,140,0.593,-0.411,0,157.31,-200,0.234,-17.917,0,6,5,R,Pugeuk,160,97.373,0.596,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-37.617,0.148,-17.581,-20.861,-49.949,-11.693,-65.292,19.679,-43.903,7.42,-63.552,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
156,5,0,2,9,1,2,1,0,1,0,255,17,255,40,4746.645,눈꽃,R,0,140,1.584,0.937,2,88.948,-200,0,0,1,6,5,R,Pugeuk,160,97.373,0.596,72,4747.699,78,78,51,116,76,107.378,-31.755,0.07,-0.019,-0.128,0.118,0,0,0,0.143,-36.955,0.004,-17.245,-20.914,-49.985,-14.486,-62.778,19.89,-43.13,8.751,-62.879,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
