id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
48,3,0,0,2,1,1,0,0,0,0,255,255,255,28,1685.393,"CVPileMaki",R,10,73,116,-1.041,-2.97,-0.097,1.36,-0.451,0.167,-36.512,1,0,0,400,-12.27,-0.184,-21.869,0,2,3,R,"아침땅_",160,95.405,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139,-37.713,0,"HANA_ARASHI",-0.05,-17.964,0,"Pring__",-20.107,-44.87,0,"-라후이-",-13.445,-63.329,0,"encounter v",20.421,-45.651,0,"Kr_Luna",11.153,-63.115,0,"Ayu_Yua",46.388,-93.736,0,"_Chun",-7.185,-97.475,0,"ゆっち一",-42.634,-88.209,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
49,3,0,0,2,2,1,0,0,0,0,255,255,255,29,1696.208,"CVPileMaki",R,27,79,130,-0.047,0.736,-0.027,1.796,-0.125,1.845,-36.602,0,0,70.124,-116.812,6.119,0,0,0,2,3,R,"아침땅_",160,95.405,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.353,-37.217,0,"HANA_ARASHI",-0.074,-17.998,0,"Pring__",-20.289,-43.176,0,"-라후이-",-12.619,-64.023,0,"encounter v",20.268,-45.798,0,"Kr_Luna",11.155,-63.125,0,"Ayu_Yua",46.571,-93.467,0,"_Chun",-8.056,-97.64,0,"ゆっち一",-42.585,-88.246,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
50,3,0,0,2,2,2,0,0,0,0,255,255,255,30,1712.578,"CVPileMaki",R,10,78,119,1.033,0.786,0.096,1.978,0.447,2.544,-36.663,2,0,0,400,4.479,0,0,1,2,3,R,"아침땅_",160,95.405,0.5,2,68,1713.503,148,10,94,81,53,150,82,25.924,9.722,-0.69,-0.015,-0.021,0.048,0.317,-0.284,-36.912,0,"HANA_ARASHI",-0.049,-17.853,0,"Pring__",-21.261,-46.548,0,"-라후이-",-13.579,-64.065,0,"encounter v",20.266,-45.799,0,"Kr_Luna",11.152,-63.127,0,"Ayu_Yua",46.595,-93.445,0,"_Chun",-7.865,-98.938,85,"ゆっち一",-42.229,-87.947,0,1717.494,-10.884,-84.885,1717.861,7,"_Chun",-10.492,-82.606,0,0,0,0,0,0,0,1
51,3,0,0,2,0,0,1,0,0,0,255,255,255,31,1741.848,"CVPileMaki",R,10,61,108,-1.24,0.063,-0.115,1.903,-0.536,2.234,-36.555,0,0,0,400,-24.131,0,0,0,3,7,R,"ke ro",166.4,83.267,0.345,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382,-37.92,0,"HANA_ARASHI",-0.027,-17.539,0,"Pring__",-20.823,-47.42,0,"-라후이-",-12.051,-63.916,0,"encounter v",18.157,-48.891,0,"Kr_Luna",9.579,-62.55,0,"Ayu_Yua",41.861,-99.396,0,"_Chun",-3.34,-106.71,0,"ゆっち一",-45.162,-91.056,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
52,3,0,0,2,0,1,1,0,0,0,255,255,255,32,1755.452,"CVPileMaki",R,3,89,132,-0.452,-0.874,0.038,1.609,0.178,1.148,-36.499,2,0,-275.012,0,0.79,0,0,1,3,7,R,"ke ro",166.4,83.267,0.345,2,67,1756.45,213,11,55,62,49,139,85,106.619,-54.446,0.93,-0.043,-0.074,0,0.373,-0.177,-37.031,0,"HANA_ARASHI",-0.022,-17.632,0,"Pring__",-20.878,-47.406,0,"-라후이-",-12.885,-64.077,0,"encounter v",16.659,-51.366,0,"Kr_Luna",9.58,-62.565,0,"Ayu_Yua",42.073,-98.976,0,"_Chun",-5.977,-104.51,0,"ゆっち一",-44.478,-90.851,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
53,3,0,0,2,0,2,1,0,0,0,255,255,255,33,1776.394,"CVPileMaki",R,5,74,123,1.007,0.761,0.145,1.844,0.673,2.013,-36.665,0,0,-146.688,7.105,-0.495,0.672,-16.641,0,3,7,R,"ke ro",166.4,83.267,0.345,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-37.176,0,"HANA_ARASHI",0.188,-16.821,0,"Pring__",-21.147,-47.881,0,"-라후이-",-12.415,-63.542,0,"encounter v",15.736,-51.096,0,"Kr_Luna",10.582,-64.702,0,"Ayu_Yua",43.126,-98.03,0,"_Chun",-7.062,-104.402,0,"ゆっち一",-45.436,-91.412,0,0,0,0,0,0,"",0,0,0,8,0,0,0,0,0,0
54,3,0,0,2,0,0,2,0,0,0,255,255,255,34,1800.047,"CVPileMaki",R,10,77,118,1.095,-0.452,0.09,1.925,0.419,2.233,-36.752,2,0,-2.876,400,-0.23,0,0,1,4,2,R,"アリアル",190,95,0.5,3,67,1800.929,211,21,142,107,57,150,102,49.346,25.164,-0.25,0,0.014,0,0.253,-0.377,-36.953,0,"HANA_ARASHI",-0.068,-17.35,0,"Pring__",-20.746,-46.938,0,"-라후이-",-13.239,-63.546,0,"encounter v",17.539,-53.004,0,"Kr_Luna",10.37,-64.742,0,"Ayu_Yua",42.973,-98.224,0,"_Chun",-10.277,-105.078,0,"ゆっち一",-45.991,-91.667,0,1806.061,-23.225,-93.762,1806.306,7,"_Chun",-22.783,-92.202,0,0,0,0,0,0,0,1
55,4,1,0,2,0,0,0,0,0,0,255,255,255,19,1850.973,"Sabo_10",L,0,86,139,0.609,-0.781,-0.281,1.752,0.273,1.145,-36.709,2,0,0,14.678,-17.75,0,0,0,1,2,L,"Pring__",180.335,95.172,0.477,3,67,1851.807,164,21,95,109,57,150,120,-6.676,-7.538,0.18,-0.016,-0.059,0,0.359,0.047,-37.159,0,"bdg06213",-0.033,-18.202,0,"アリアル",-22.068,-46.267,0,"아침땅_",-12.54,-65.197,0,"인생최패망자",22.425,-47.67,0,"소솨소솨",16.342,-62.584,0,"Pugeuk",43.038,-107.188,0,"ke ro",-4.307,-126.125,97,"ByeolBam",-45.401,-91.119,0,1851.517,0.934,-24.47,1855.95,7,"ke ro",13.571,-118.689,1,0,0,0,0,0,0,2
56,4,1,0,2,0,0,0,1,0,0,2,255,255,20,1877.235,"Sabo_10",L,26,79,130,-0.556,-0.043,-0.403,1.814,-0.292,1.372,-36.762,2,0,44.172,-200,-27.871,0,0,1,2,4,L,"encounter v",190,92.153,0.447,3,67,1878.292,247,30,138,136,85,150,129,-16.199,-44.577,0.69,0.082,-0.082,0,0.633,-0.285,-37.049,0,"bdg06213",-0.011,-17.635,0,"アリアル",-22.293,-47.237,76,"아침땅_",-12.094,-65.27,95,"인생최패망자",21.883,-47.9,0,"소솨소솨",15.634,-61.814,0,"Pugeuk",40.02,-104.362,0,"ke ro",2.055,-120.575,0,"ByeolBam",-41.687,-93.214,0,1878.083,2.982,-23.669,1879.339,4,"인생최패망자",21.759,-43.18,1,0,0,0,0,0,0,2
57,4,1,0,2,0,0,1,1,0,0,4,255,255,21,1905.531,"Sabo_10",L,10,79,119,0.05,-1.233,-0.516,1.956,0.027,1.334,-36.977,2,0,0,398.832,-16.844,0,0,1,3,1,R,"HANA_ARASHI",190,86,0.254,3,67,1906.608,127,12,97,127,52,142,129,-30,-32.417,0.47,-0.048,-0.101,0,0.489,-0.138,-37.148,0,"bdg06213",-0.024,-17.681,0,"アリアル",-22.748,-45.344,85,"아침땅_",-14.978,-63.346,0,"인생최패망자",19.311,-53.091,0,"소솨소솨",4.1,-65.551,0,"Pugeuk",29.431,-96.935,0,"ke ro",-6.011,-119.502,0,"ByeolBam",-45.266,-89.271,0,1906.339,0.419,-20.703,1907.661,4,"인생최패망자",17.219,-47.077,0,4,0,0,0,0,0,2
