id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
28,2,1,1,0,0,1,0,1,0,0,8,255,255,20,1052.787,白霜らいふ,R,3,109,0.082,0.137,0,-495.455,0,0,0,0,6,3,R,소솨소솨,160,46,0,0,0,0,0,0,0,0,0,0,0,0,0.215,-37.991,-0.621,-18.806,-18.784,-40.224,-11.333,-64.128,23.094,-48.812,11.039,-64.245,41.916,-90.444,-0.644,-106.913,-44.867,-83.43,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
29,2,1,1,0,0,2,0,1,0,0,8,255,255,21,1068.148,白霜らいふ,R,10,104,1.471,-1.113,4,0,400,0.143,-17.623,1,6,3,R,소솨소솨,160,46,0,0,0,0,0,0,0,0,0,0,0,0,0.275,-37.554,-0.114,-17.801,-18.909,-40.233,-11.989,-64.693,21.632,-46.936,7.305,-62.274,45.966,-95.769,0.021,-105.047,-40.981,-85.954,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30,2,1,1,0,0,0,1,1,0,0,8,255,255,22,1093.673,白霜らいふ,R,3,127,0.381,-0.33,2,-453.503,0,0,0,1,7,0,R,Pugeuk,190,73,1094.585,130,148,18,138,128,101.889,-67.16,0.5,-0.068,-0.186,0.213,0.126,-37.1,0.007,-16.291,-18.881,-40.224,-12.43,-65.115,23.223,-49.071,9.562,-64.41,45.777,-95.904,-0.346,-105.517,-46.432,-90.816,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
31,2,1,1,0,0,1,1,1,0,0,8,255,255,23,1111.839,白霜らいふ,R,10,113,1.825,-1.759,2,0,400,0,0,1,7,0,R,Pugeuk,190,73,1112.821,182,196,20,148,111,27.797,-15.89,0.94,-0.093,-0.205,0.46,0.068,-37.201,0.004,-16.292,-18.89,-40.234,-13.428,-64.754,23.714,-49.872,10.705,-63.902,40.561,-95.926,-2.099,-107.919,-46.391,-89.933,0,0,0,1118.385,8,눈꽃,11.914,-111.653,0,0,0,0,0,0,0,1
32,2,1,1,0,0,0,2,1,0,0,8,255,255,24,1148.09,白霜らいふ,R,0,139,0.987,-0.021,0,104.139,-135.831,0,0,1,0,4,R,인생최패망자,190,85,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-37.405,-0.05,-16.146,-18.846,-40.292,-13.432,-62.834,23.846,-46.962,9.372,-64.805,40.708,-94.427,0.215,-107.921,-49.237,-93.434,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
33,2,1,1,0,0,1,2,1,0,0,8,255,255,25,1179.917,白霜らいふ,R,0,136,0.25,0.017,2,73.244,-110.197,0,0,1,0,4,R,인생최패망자,190,65,1181,100,157,30,135,87,64.655,-18.253,-0.56,-0.17,-0.171,0.202,-0.065,-37.249,0.001,-16.47,-18.818,-40.269,-12.486,-64.265,24.263,-49.533,5.991,-62.383,40.519,-94.552,-0.079,-111.598,-49.231,-93.429,0,0,0,1187.641,8,눈꽃,13.432,-55.583,0,0,0,0,0,0,0,1
34,2,0,1,0,0,0,0,0,0,0,255,255,255,7,1240.161,Pugeuk,R,0,128,-0.91,1.488,2,75.353,-108.683,0,0,1,3,4,L,encounter v,190,85,1241.252,187,207,13,150,111,20.66,-6.988,-0.05,-0.006,-0.134,0.568,-0.329,-37.198,0.044,-16.917,-19.362,-44.627,-15.888,-62.65,21.846,-48.354,13.173,-60.47,35.7,-81.8,4.617,-116.546,-42.283,-98.45,1246.363,18.295,-120.352,1251.363,8,눈꽃,12.07,-129.749,1,0,0,0,0,0,0,2
35,2,0,1,0,0,0,0,0,0,1,255,255,13,8,1282.958,Pugeuk,R,10,103,-1.471,0.299,4,0,400,0,0,1,4,5,L,CAT tourniquet,174.5,85,0,0,0,0,0,0,0,0,0,0,0,0,-0.255,-37.967,-0.198,-17.095,-13.303,-35.931,-14.154,-63.824,18.34,-41.253,12.508,-59.388,35.7,-81.8,6.489,-123.678,-38.771,-102.366,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
36,2,0,1,0,0,1,0,0,0,1,255,255,13,9,1301.164,Pugeuk,R,0,126,0.637,2.084,4,123.57,-96.942,0,0,1,4,5,L,CAT tourniquet,174.5,85,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-37.902,-0.076,-17.25,-13.555,-36.572,-10.226,-64.807,15.308,-37.533,11.72,-59.632,35.7,-81.8,7.387,-123.553,-38.752,-102.38,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
37,2,0,1,0,0,2,0,0,0,1,255,255,13,10,1321.049,Pugeuk,R,0,133,4.072,0.013,1,144.736,-48.854,0,0,0,4,5,L,CAT tourniquet,174.5,85,0,0,0,0,0,0,0,0,0,0,0,0,-0.038,-37.999,0.944,-16.989,-18.23,-43.894,-12.204,-61.37,19.379,-43.168,15.081,-58.891,35.7,-81.8,7.406,-123.57,-38.768,-102.357,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
