id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
94,4,0,4,3,0,0,2,0,0,0,255,255,255,44,3449.468,coder_,0,89,0.553,0.224,2,18.953,-6.926,0,0,1,0,3,오띵__,174.6,43,3450.759,95,125,135,126,91,102.546,-68.884,0.904,0.017,-0.099,-0.166,-36.78,-0.094,-17.386,-23.421,-49.756,-13.136,-64.349,18.199,-43.671,13.894,-64.539,31.283,-85.715,0,-100.6,-35.936,-93.249,3456.418,-50.733,-1.076,0,0,,0,0,0,0,3
95,4,0,4,3,0,1,2,0,0,0,255,255,255,45,3471.47,coder_,0,109,-5.929,0.845,1,-244.288,-94.004,0,0,0,0,3,오띵__,174.6,75,0,0,0,0,0,0,0,0,0,0,0,-0.178,-37.06,-1.543,-17.179,-23.803,-50.159,-12.821,-64.856,19.163,-41.827,13.148,-64.573,32.228,-87.598,0,-100.6,-42.434,-93.435,0,0,0,0,0,,0,0,0,0,0
96,4,0,4,3,1,1,2,0,0,0,255,255,255,46,3485.694,coder_,0,136,0.402,2.928,1,31.26,-104.199,0,0,0,0,3,오띵__,174.6,75,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.25,0.015,-17.469,-24.649,-49.922,-12.917,-64.816,19.745,-42.497,12.734,-64.454,32.243,-87.609,0,-100.6,-40.09,-96.332,0,0,0,0,0,,0,0,0,0,0
97,4,0,4,3,2,1,2,0,0,0,255,255,255,47,3505.613,coder_,10,81,-0.901,0.975,0,0,400,0,0,0,0,3,오띵__,174.6,75,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.231,-0.147,-17.222,-25.304,-50.638,-12.91,-64.83,18.058,-43.815,12.84,-64.467,32.19,-87.584,0,-100.6,-40.021,-96.458,0,0,0,0,0,,0,0,0,0,0
98,4,0,4,3,2,2,2,0,0,0,255,255,255,48,3520.254,coder_,13,84,-2.728,-1.286,4,-258.758,287.984,0,0,1,0,3,오띵__,174.6,75,0,0,0,0,0,0,0,0,0,0,0,-0.304,-37.76,-0.454,-17.268,-24.153,-50.114,-12.89,-64.781,17.536,-43.821,12.889,-64.503,32.252,-87.516,0,-100.6,-40.115,-96.405,0,0,0,0,0,,0,0,0,0,0
99,5,1,4,3,0,0,0,0,0,0,255,255,255,49,3574.453,DoYaGee,14,105,1.51,-1.263,2,324.488,366.662,0,0,1,4,5,소솨소솨,170.3,43,3575.523,113,220,52,145,119,-85.437,-73.037,0.553,-0.058,-0.224,-0.26,-36.704,-0.049,-17.422,-20.611,-42.77,-13.862,-64.734,21.243,-50.306,12.406,-63.166,39.736,-87.929,0,-100.6,-36.874,-86.506,3575.324,0.403,-20.682,0,0,,0,0,0,0,0
100,5,1,4,3,0,0,0,0,0,0,255,255,255,50,3598.073,DoYaGee,0,116,0.639,0.231,2,123.279,-200,0,0,1,4,5,소솨소솨,170.3,43,3599.102,104,152,59,139,72,45.328,10.834,-0.85,-0.098,-0.243,-0.43,-36.843,-0.017,-17.323,-18.926,-42.906,-13.361,-64.844,22.714,-51.051,13.539,-63.867,41.633,-84.081,0,-100.6,-32.78,-80.937,0,0,0,3603.764,3,오띵__,-7.986,-66.759,0,0,1
101,5,1,4,3,0,0,1,0,0,0,255,255,255,51,3634.242,DoYaGee,14,106,2.818,-0.605,2,306.185,386.06,0,0,1,5,6,Kr_Luna,166.3,43,3635.28,105,108,71,126,63,-85.169,-82.642,1,-0.021,-0.057,-0.222,-36.327,0.459,-16.957,-17.675,-43.051,-13.432,-65.098,22.975,-51.235,13.937,-63.672,41.644,-84.316,0,-100.6,-32.586,-81.216,3635.124,0.953,-20.545,0,0,,0,0,0,0,3
102,5,1,4,3,0,1,1,0,0,0,255,255,255,52,3655.756,DoYaGee,10,106,-0.753,-1.176,2,0,400,0,0,1,5,6,Kr_Luna,166.3,43,3656.728,111,130,45,136,68,-14.678,3.875,1,-0.002,-0.041,-0.416,-36.509,-0.033,-17.333,-17.783,-44.393,-13.516,-64.844,24.16,-50.791,12.698,-63.479,46.19,-87.429,0,-100.6,-36.177,-85.217,3656.591,-0.284,-23.471,3657.671,0,DoYaGee,-1.068,-35.398,0,0,2
103,5,1,4,3,0,1,1,0,0,0,255,255,255,53,3659.142,DoYaGee,0,85,-12.723,-1.249,4,39.463,50.871,-2.521,-17.79,0,5,6,Kr_Luna,166.3,43,0,0,0,0,0,0,0,0,0,0,0,-0.894,-37.189,-0.341,-15.436,-19.103,-39.841,0.396,-58.873,25.037,-46.697,5.548,-58.398,36.161,-82.035,0,-100.6,-28.277,-78.602,0,0,0,0,0,,0,0,0,0,0
