id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
18,2,1,0,0,0,0,0,0,0,0,255,255,255,7,834.08,Oort__Cloud,R,3,104,2.166,-0.457,0.254,1.383,-36.834,1,0,-412.194,0,-7.2,0,0,0,4,7,L,ʚneul_ɞ,173.8,105,0.53,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-37.175,하루（Haru）,-0.075,-17.019,CAT tourniquet,-19.313,-49.107,IllilliIIIIllil,-11.991,-63.999,_이누_,20.339,-47.613,Yaksok~,14.413,-62.84,즉석카레,43.13,-89.123,Multeinn,0.796,-110.1,NABIMan,-43.573,-89.799,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,2,1,0,0,1,0,0,0,0,0,255,255,255,8,855.613,Oort__Cloud,R,26,140,0.94,0.438,0.033,1.489,-36.387,2,0,86.697,-183.102,9.842,0,0,1,4,7,L,ʚneul_ɞ,173.8,105,0.53,3,55,856.431,255,145,72,17,107,150,98,99.155,-69.933,-0.12,0.031,-0.08,0.159,0,0,0,-0.258,-36.583,하루（Haru）,0.11,-17.21,CAT tourniquet,-19.31,-49.078,IllilliIIIIllil,-12.062,-64.574,_이누_,20.887,-48.007,Yaksok~,14.535,-63.781,즉석카레,43.65,-88.485,Multeinn,-1.619,-108.07,NABIMan,-42.592,-86.839,863.222,-41.285,1.022,0,0,,0,0,0,0,0,0,0,0,0,3
20,2,1,0,0,1,1,0,0,0,0,255,255,255,9,877.385,Oort__Cloud,R,13,107,1.352,-0.907,0.18,1.502,-36.578,0,0,-332.626,364.786,-13.915,0,0,1,4,7,L,ʚneul_ɞ,173.8,105,0.53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-36.988,하루（Haru）,0.178,-17.353,CAT tourniquet,-20.542,-49.912,IllilliIIIIllil,-12.114,-64.659,_이누_,21.821,-48.152,Yaksok~,13.045,-64.311,즉석카레,45.425,-89.263,Multeinn,-3.22,-106.34,NABIMan,-44.972,-89.274,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
21,2,1,0,0,1,2,0,0,0,0,255,255,255,10,894.12,Oort__Cloud,R,41,79,-14.164,-2.749,0.106,1.419,-37.959,4,0,47.972,-72.712,4.316,-0.53,-33.874,1,4,7,L,ʚneul_ɞ,173.8,105,0.53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-36.717,하루（Haru）,0.034,-17.226,CAT tourniquet,-20.965,-50.741,IllilliIIIIllil,-11.888,-64.49,_이누_,21.724,-48.86,Yaksok~,13.039,-64.304,즉석카레,43.296,-86.382,Multeinn,-0.544,-105.67,NABIMan,-44.747,-90.405,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0
22,2,1,0,0,0,0,0,1,0,0,7,255,255,11,929.339,Oort__Cloud,R,28,117,0.966,0.155,0.059,1.483,-36.614,0,0,1.282,-98.143,3.387,0,0,0,5,6,R,소솨소솨,174.8,95.643,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076,-36.933,하루（Haru）,0.191,-17.151,CAT tourniquet,-19.423,-43.951,IllilliIIIIllil,-10.842,-63.89,_이누_,19.626,-52.822,Yaksok~,3.036,-63.306,즉석카레,37.852,-87.735,Multeinn,-2.727,-108.826,NABIMan,-43.593,-85.939,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,2,1,0,0,0,1,0,1,0,0,7,255,255,12,946.953,Oort__Cloud,R,6,97,3.951,-0.265,0.101,1.463,-36.516,2,0,440.909,0,14.551,0,0,1,5,6,R,소솨소솨,174.8,95.643,0.5,2,56,948.01,149,104,109,71,171,150,34,28.794,43.834,-0.04,0.011,-0.093,0.062,0,0,0,-0.283,-36.744,하루（Haru）,0.185,-17.142,CAT tourniquet,-19.562,-39.704,IllilliIIIIllil,-15.195,-61.803,_이누_,19.689,-52.89,Yaksok~,4.967,-63.43,즉석카레,38.514,-87.579,Multeinn,-1.964,-106.295,NABIMan,-43.847,-86.438,949.939,-9.07,-30.989,951.439,2,CAT tourniquet,-12.952,-34.411,1,32,0,0,0,0,0,2
24,2,1,0,0,0,0,0,1,1,0,6,7,255,13,992.398,Oort__Cloud,R,28,123,1.407,-0.629,0.075,1.404,-36.605,0,0,42.763,-65.975,1.236,0,0,0,6,5,L,ʚEveɞ,174.9,95,0.401,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219,-37.089,하루（Haru）,0.123,-17.035,CAT tourniquet,-20.162,-45.254,IllilliIIIIllil,-9.988,-65.593,_이누_,18.531,-44.289,Yaksok~,13.97,-63.294,즉석카레,38.757,-89.83,Multeinn,2.953,-108.244,NABIMan,-44.921,-87.723,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
25,2,1,0,0,0,1,0,1,1,0,6,7,255,14,1010.759,Oort__Cloud,R,3,101,-0.319,-0.37,0.106,1.452,-36.64,0,0,-393.234,0,-6.693,0,0,1,6,5,L,ʚEveɞ,174.9,95,0.401,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-37.14,하루（Haru）,-0.23,-16.986,CAT tourniquet,-20.974,-46.828,IllilliIIIIllil,-7.201,-64.327,_이누_,18.857,-45.975,Yaksok~,12.893,-62.031,즉석카레,38.751,-89.796,Multeinn,3.228,-109.421,NABIMan,-46.777,-87.96,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
26,2,1,0,0,0,2,0,0,1,1,255,6,7,15,1033.545,Oort__Cloud,R,28,117,-2.476,0.656,-0.093,1.52,-36.605,2,0,37.987,-58.906,2.412,0,0,0,6,5,L,ʚEveɞ,174.9,95,0.401,3,56,1034.667,239,76,39,1,13,134,92,-0.562,14.905,-0.52,0.082,-0.057,0.199,0,0,0,-0.323,-36.725,하루（Haru）,-0.045,-17.187,CAT tourniquet,-21.906,-47.528,IllilliIIIIllil,-12.221,-64.403,_이누_,19.083,-43.617,Yaksok~,14.435,-60.746,즉석카레,43.228,-88.058,Multeinn,3.133,-111.073,NABIMan,-44.015,-89.734,1035.339,-3.393,-31.826,1037.039,3,IllilliIIIIllil,-8.759,-58.106,1,0,0,0,0,0,0,2
27,2,1,2,0,0,0,0,0,1,0,255,255,255,16,1074.566,Oort__Cloud,R,0,115,1.346,-1.239,0.084,1.367,-36.425,2,0,-3.45,0,0.693,0,0,1,7,3,R,D_arling,164.9,90.382,0.398,3,56,1075.335,134,114,74,39,61,150,121,3.239,-3.495,0.61,-0.02,-0.061,0.039,0,0,0,-0.474,-36.8,하루（Haru）,0.155,-17.111,CAT tourniquet,-20.666,-46.667,IllilliIIIIllil,-13.237,-64.408,_이누_,18.973,-50.371,Yaksok~,6.802,-62.762,즉석카레,38.014,-91.413,Multeinn,-5.295,-92.814,NABIMan,-45.266,-88.016,1076.139,1.247,-42.08,1078.522,7,Multeinn,3.335,-92.237,1,0,0,0,0,0,0,2
