id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,279.177,하루（Haru）,R,33,132,1.036,0.745,0.035,1.996,-36.296,0,0,110.465,-87.072,6.934,0,0,0,0,7,R,ByeolBam,174.9,88,0.498,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.016,encounter v,-0.029,-16.924,Sabo_10,-21.16,-48.228,소솨소솨,-12.002,-65.142,인생최패망자,16.247,-51.144,CAT tourniquet,9.838,-66.8,아침땅_,31.32,-90.338,NABIMan,6.443,-115.422,HANA_ARASHI,-42.096,-92.554,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,298.261,하루（Haru）,R,3,110,-2.297,-0.117,0.211,1.996,-36.59,2,0,-440.081,0,11.744,0,0,1,0,7,R,ByeolBam,174.9,88,0.498,2,74,299.235,104,117,75,39,72,136,63,20.921,27.747,1,-0.059,-0.123,0.164,0,-0.337,-36.886,encounter v,-0.054,-17.084,Sabo_10,-21.93,-48.949,소솨소솨,-11.937,-65.197,인생최패망자,15.793,-51.359,CAT tourniquet,11.094,-65.219,아침땅_,31.393,-90.447,NABIMan,3.577,-117.348,HANA_ARASHI,-42.599,-92.682,0,0,0,301.976,2,Sabo_10,-16.929,-49.937,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,327.225,하루（Haru）,R,0,126,-0.609,-0.014,-0.037,1.938,-36.383,0,0,0,22.414,11.827,0,0,0,1,8,R,Pugeuk,160,91.02,0.547,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,-37.225,encounter v,-0.097,-17.056,Sabo_10,-21.469,-47.883,소솨소솨,-13.271,-64.777,인생최패망자,15.945,-50.704,CAT tourniquet,11.068,-65.031,아침땅_,30.409,-92.791,NABIMan,-4.805,-115.15,HANA_ARASHI,-38.995,-91.5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,342.039,하루（Haru）,R,1,107,-2.762,0.387,0.007,2.071,-36.722,4,0,0,0,9.023,0,0,1,1,8,R,Pugeuk,160,91.02,0.547,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143,-37.045,encounter v,-0.203,-16.887,Sabo_10,-20.891,-47.475,소솨소솨,-12.824,-65.105,인생최패망자,16.471,-49.68,CAT tourniquet,11.263,-65.479,아침땅_,28.008,-94.698,NABIMan,-3.796,-116.167,HANA_ARASHI,-39.976,-93.424,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,355.839,하루（Haru）,R,28,131,-0.773,-0.629,-0.071,1.855,-36.332,0,0,89.694,-97.213,10.574,0,0,1,1,8,R,Pugeuk,160,91.02,0.547,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,-37.393,encounter v,-0.065,-16.903,Sabo_10,-20.792,-46.365,소솨소솨,-12.827,-65.107,인생최패망자,15.943,-49.542,CAT tourniquet,9.422,-66.164,아침땅_,28.046,-94.881,NABIMan,-3.622,-114.65,HANA_ARASHI,-42.295,-91.901,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,385.096,하루（Haru）,R,7,108,0.16,0.998,-0.039,2.04,-36.526,2,0,169.897,0,22.961,0,0,1,2,4,R,coder_,169.7,95,0.448,3,72,386.293,142,34,29,13,19,102,71,29.033,7.959,0.95,0.015,-0.022,0.117,0,-0.235,-36.933,encounter v,-0.064,-17.084,Sabo_10,-21.362,-48.999,소솨소솨,-12.711,-64.609,인생최패망자,14.802,-48.534,CAT tourniquet,9.353,-66.173,아침땅_,41.205,-89.841,NABIMan,-1.857,-114.598,HANA_ARASHI,-41.663,-92.87,0,0,0,390.632,3,소솨소솨,-7.749,-69.879,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,542.569,눈꽃,R,0,140,-0.989,-0.552,-0.075,1.767,-36.428,0,0,0,0,0,0,0,1,0,6,R,아침땅_,160,95,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,-36.986,Gonyong,0.138,-17.373,Pring__,-22.45,-48.211,IllilliIIIIllil,-12.094,-64.357,coder_,20.047,-49.662,Fresh825,16.048,-60.62,편하비_,42.37,-97.479,ByeolBam,-0.189,-114.564,Pugeuk,-40.835,-90.205,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,554.867,눈꽃,R,0,140,-0.514,-1.099,-0.049,1.769,-36.47,0,0,0,0,0,0,0,0,0,6,R,아침땅_,160,95,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,-37.171,Gonyong,0.125,-17.388,Pring__,-22.73,-48.949,IllilliIIIIllil,-12.112,-64.327,coder_,19.023,-49.637,Fresh825,15.511,-60.49,편하비_,39.886,-95.124,ByeolBam,0.189,-106.008,Pugeuk,-41.714,-92.466,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,2,0,0,0,0,255,255,255,2,571.375,눈꽃,R,3,98,-2.313,-0.57,0.216,1.996,-36.618,1,0,-393.755,194.973,-3.157,0,0,0,0,6,R,아침땅_,160,95,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.279,Gonyong,-0.19,-17.435,Pring__,-21.353,-44.549,IllilliIIIIllil,-12.08,-64.335,coder_,20.517,-48.446,Fresh825,14.885,-60.321,편하비_,41.374,-98.751,ByeolBam,0.301,-106.021,Pugeuk,-40.205,-88.409,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,2,0,0,0,0,255,255,255,3,587.705,눈꽃,R,13,105,-0.81,0.242,0.115,1.895,-36.481,2,0,-372.687,312.348,-30.698,0,0,1,0,6,R,아침땅_,160,95,0.5,2,72,588.772,121,107,48,27,79,137,118,-12.407,13.92,0.77,-0.016,0.018,0.129,0,-0.014,-36.998,Gonyong,0.089,-17.431,Pring__,-23.257,-48.526,IllilliIIIIllil,-12.585,-64.189,coder_,20.048,-48.661,Fresh825,14.917,-60.258,편하비_,40.037,-96.366,ByeolBam,0.201,-105.984,Pugeuk,-39.584,-91.525,588.888,-1.074,-24.038,590.732,3,IllilliIIIIllil,-10.582,-62.407,1,0,0,0,0,0,0,2
