id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
76,4,1,1,3,0,0,1,1,0,0,6,255,255,40,2241.259,encounter v,R,1,90,3.674,-0.372,1,0,0,0,0,0,0,6,0,R,Pugeuk,190,97.373,0.596,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,-37.439,Roscosmos,0.195,-16.895,하루（Haru）,-17.059,-42.943,ʚEveɞ,-14.604,-63.029,Yaksok~,17.64,-47.852,Gonyong,9.154,-66.359,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-40.822,-92.382,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
77,4,1,1,3,1,0,1,1,0,0,6,255,255,41,2251.375,encounter v,R,0,99,3.6,0.511,2,0,0,0,0,0,0,6,0,R,Pugeuk,190,97.373,0.596,3,59,2252.663,203,138,39,155,130,27.496,41.627,0.52,0.066,-0.03,0.405,0,0,0,0.019,-37.062,Roscosmos,0.045,-17.43,하루（Haru）,-17.916,-42.8,ʚEveɞ,-15.098,-63.078,Yaksok~,17.66,-47.861,Gonyong,9.838,-66.091,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-40.029,-91.365,2257.403,-79.166,-99.647,0,0,,0,0,0,64,0,0,0,0,0,4
78,4,1,3,3,0,0,1,0,0,0,255,255,255,42,2309.165,encounter v,R,0,120,-0.349,0.719,0,0,0,0,0,0,1,0,3,L,IllilliIIIIllil,174.5,95.213,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.457,Roscosmos,-0.045,-16.887,하루（Haru）,-21.596,-48.106,ʚEveɞ,-12.37,-64.894,Yaksok~,19.518,-49.2,Gonyong,10.984,-64.34,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-42.345,-92.894,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
79,4,1,3,3,0,1,1,0,0,0,255,255,255,43,2319.535,encounter v,R,10,106,-0.594,0.569,0,0,0,400,0,0,0,0,3,L,IllilliIIIIllil,174.5,95.213,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-37.385,Roscosmos,-0.117,-16.987,하루（Haru）,-21.102,-47.413,ʚEveɞ,-12.725,-64.822,Yaksok~,19.575,-49.203,Gonyong,11.005,-64.419,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-34.357,-98.44,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
80,4,1,3,3,0,2,1,0,0,0,255,255,255,44,2332.088,encounter v,R,13,111,1.392,1.059,0,0,-372.568,333.457,0.021,-17.555,0,0,3,L,IllilliIIIIllil,174.5,95.213,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-37.138,Roscosmos,-0.123,-17.222,하루（Haru）,-21.027,-47.108,ʚEveɞ,-12.708,-64.791,Yaksok~,19.424,-49.394,Gonyong,10.896,-64.251,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-38.108,-95.847,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0
81,4,1,3,3,0,0,2,0,0,0,255,255,255,45,2355.411,encounter v,R,13,107,1.047,0.482,2,0,-305.417,389.123,0,0,1,1,2,R,-라후이-,179.9,99.987,0.502,3,59,2356.456,107,68,50,133,100,-5.111,-5.768,0.11,0.077,-0.004,0.179,0,0,0,0.228,-37.162,Roscosmos,0.122,-17.139,하루（Haru）,-19.157,-45.256,ʚEveɞ,-12.944,-64.772,Yaksok~,19.211,-49.684,Gonyong,11.3,-64.301,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-43.505,-99.006,2356.936,1.211,-30.869,2358.669,5,Gonyong,4.344,-63.058,0,0,0,0,0,0,0,2
82,4,0,3,3,0,0,0,0,0,0,255,255,255,35,2404.431,Pugeuk,R,10,121,2.06,-1.5,1,0,0,400,0,0,0,6,0,L,encounter v,190,100.1,0.447,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229,-37.747,coder_,0.368,-17.388,-라후이-,-17.843,-44.054,IllilliIIIIllil,-11.948,-64.98,별이__,22.873,-50.176,아침땅_,15.74,-62.892,소솨소솨,35.932,-81.572,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
83,4,0,3,3,1,0,0,0,0,0,255,255,255,36,2422.217,Pugeuk,R,0,131,1.18,1.137,2,0,157.418,-38.196,0,0,1,6,0,L,encounter v,190,100.1,0.447,3,59,2423.319,166,131,10,150,127,51.432,-35.982,0.19,0.029,-0.096,0.469,0,0,0,-0.095,-37.359,coder_,-0.074,-17.377,-라후이-,-18.263,-43.28,IllilliIIIIllil,-11.811,-64.936,별이__,22.893,-50.202,아침땅_,15.774,-62.829,소솨소솨,35.906,-81.603,AI,0,-100.6,AI,-35.7,-81.8,2432.302,82.868,-100.791,0,0,,0,0,0,0,0,0,0,0,0,0
84,4,0,3,3,1,1,0,0,0,0,255,255,255,37,2449.582,Pugeuk,R,10,118,1.221,-0.802,0,0,0,400,0,0,1,6,0,L,encounter v,190,100.1,0.447,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-37.776,coder_,0.3,-17.29,-라후이-,-17.566,-42.855,IllilliIIIIllil,-11.611,-64.51,별이__,23.608,-49.32,아침땅_,16.07,-62.927,소솨소솨,42.213,-83.239,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
85,4,0,3,3,1,2,0,0,0,0,255,255,255,38,2468.467,Pugeuk,R,6,118,2.151,-0.069,1,0,409.837,167.141,0,0,0,6,0,L,encounter v,190,100.1,0.447,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225,-36.985,coder_,0.221,-17.549,-라후이-,-18.043,-42.346,IllilliIIIIllil,-11.412,-64.65,별이__,24.12,-50.183,아침땅_,16.084,-62.916,소솨소솨,39.536,-81.303,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
86,4,0,3,3,2,2,0,0,0,0,255,255,255,39,2495.64,Pugeuk,R,0,140,1.052,-0.507,0,0,14.889,-200,0,0,0,6,0,L,encounter v,190,100.1,0.447,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129,-37.992,coder_,-0.236,-18.308,-라후이-,-18.53,-41.429,IllilliIIIIllil,-11.573,-64.978,별이__,23.613,-49.108,아침땅_,16.091,-63.003,소솨소솨,39.913,-80.883,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
87,4,0,3,3,0,0,1,0,0,0,255,255,255,40,2533.376,Pugeuk,R,0,136,5.153,1.595,2,0,135.133,-44.421,0,0,1,0,3,L,ʚEveɞ,175,99.538,0.503,2,59,2534.325,204,106,4,145,78,17.475,-18.791,0.97,0.094,-0.054,0.451,0,0,0,0.084,-37.398,coder_,0.154,-17.496,-라후이-,-19.41,-48.106,IllilliIIIIllil,-10.687,-64.822,별이__,15.12,-40.635,아침땅_,15.682,-63.274,소솨소솨,36.54,-78.252,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,2537.736,1,Roscosmos,15.159,-64.951,0,0,0,0,0,0,0,1
88,4,0,3,3,0,0,2,0,0,0,255,255,255,41,2563.617,Pugeuk,R,0,130,0.908,1.396,4,0,103.143,-92.725,0,0,1,1,5,R,Gonyong,179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,-37.915,coder_,-0.314,-19.09,-라후이-,-20.452,-47.251,IllilliIIIIllil,-11.461,-64.615,별이__,22.06,-51.48,아침땅_,11.19,-64.92,소솨소솨,32.89,-80.381,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
