id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
34,2,0,1,0,0,1,1,0,0,1,255,255,15,11,1254.961,encounter v,R,14,126,2.259,-1.592,0.297,1.632,-36.649,1,0,379.588,325.443,-26.682,0.939,-17.42,0,5,1,L,하루（Haru）,190,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,-37.394,소솨소솨,0.088,-17.047,coder_,-20.112,-48.534,Oort__Cloud,-10.871,-65.213,Kr_Luna,20.412,-46.812,Pugeuk,14.414,-61.726,Yaksok~,38.19,-83.988,mungjungh,0.432,-111.223,HANA_ARASHI,-40.345,-100.858,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
35,2,0,1,0,1,1,1,0,0,1,255,255,15,12,1271.01,encounter v,R,26,131,0.617,-0.296,0.283,1.723,-36.627,0,0,-69.644,-200,-39.055,0.128,-17.689,1,5,1,L,하루（Haru）,190,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071,-37.141,소솨소솨,0.084,-17.447,coder_,-19.055,-46.505,Oort__Cloud,-11.213,-64.775,Kr_Luna,19.845,-46.268,Pugeuk,14.319,-61.725,Yaksok~,38.235,-84.045,mungjungh,0.509,-111.229,HANA_ARASHI,-41.187,-100.311,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
36,2,0,1,0,1,2,1,0,0,1,255,255,15,13,1286.092,encounter v,R,13,126,-2.809,-1.487,0.069,1.653,-36.514,2,0,-384.54,319.577,-16.271,-0.9,-19.798,1,5,1,L,하루（Haru）,190,95,0.5,3,55,1286.965,86,115,84,32,113,131,115,-30,34.536,0.83,0.051,-0.025,0.034,0,0.084,-36.829,소솨소솨,-0.154,-17.308,coder_,-18.474,-47.771,Oort__Cloud,-11.371,-64.784,Kr_Luna,19.868,-46.35,Pugeuk,14.236,-61.801,Yaksok~,40.495,-86.803,mungjungh,0.522,-111.192,HANA_ARASHI,-41.499,-100.086,1288.512,-15.958,-47.722,1291.675,8,HANA_ARASHI,-35.822,-87.408,1,0,0,0,0,0,0,2
37,2,0,1,0,0,0,1,1,0,0,10,255,255,14,1317.455,encounter v,R,26,115,-1.282,4.353,-0.147,2.047,-37.011,1,0,-85.412,-186.806,-19.814,0,0,0,6,3,L,わかなで,160,94.356,0.4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.086,소솨소솨,-0.208,-16.923,coder_,-17.495,-46.949,Oort__Cloud,-9.703,-65.345,Kr_Luna,20.522,-51.215,Pugeuk,9.527,-61.28,Yaksok~,35.76,-81.624,mungjungh,0.185,-106.969,HANA_ARASHI,-39.625,-94.437,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
38,2,0,1,0,1,0,1,1,0,0,10,255,255,15,1332.16,encounter v,R,26,134,0.839,-0.13,0.33,1.762,-36.56,2,0,-175.254,-200,-33.797,0,0,1,6,3,L,わかなで,160,94.356,0.4,3,56,1333.206,215,101,70,0,95,150,88,-31.66,-42.322,-0.37,0.033,-0.022,0.037,0,0.135,-37.009,소솨소솨,-0.036,-17.352,coder_,-19.02,-47.07,Oort__Cloud,-9.167,-64.874,Kr_Luna,19.553,-49.143,Pugeuk,9.978,-61.639,Yaksok~,35.78,-81.633,mungjungh,0.002,-107.191,HANA_ARASHI,-39.526,-94.585,1333.391,1.047,-20.118,1335.524,4,Kr_Luna,21.237,-43.311,0,0,0,0,0,0,0,2
39,2,0,1,1,0,0,1,1,1,0,12,10,255,16,1360.639,encounter v,R,32,131,2.198,1.686,0.337,1.811,-36.644,2,0,218.991,-200,-12.434,0,0,1,7,5,R,아침땅_,160,95,0.5,2,56,1361.646,125,75,75,60,255,135,89,13.78,14.172,0.01,-0.048,0.001,0.046,0,-0.134,-37.037,소솨소솨,-0.018,-17.473,coder_,-18.899,-45.921,Oort__Cloud,-13.17,-64.555,Kr_Luna,20.18,-44.726,Pugeuk,1.136,-61.152,Yaksok~,36.757,-78.19,mungjungh,0.158,-105.551,HANA_ARASHI,-39.494,-96.376,1365.391,-15.444,-85.517,1373.415,7,mungjungh,-25.212,-128.328,1,0,0,0,0,0,0,2
40,2,0,1,3,0,0,1,0,0,1,255,255,14,17,1433.794,encounter v,R,26,139,0.809,0.427,0.238,1.74,-36.635,0,0,59.053,-200,-25.108,0,0,0,8,2,R,それいゆ るな,160,86,0.43,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-36.988,소솨소솨,0.021,-17.123,coder_,-20.424,-49.326,Oort__Cloud,-13.086,-64.474,Kr_Luna,19.694,-42.196,Pugeuk,7.395,-59.326,Yaksok~,34.891,-79.602,mungjungh,0.067,-113.413,HANA_ARASHI,-39.389,-98.666,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
41,2,0,1,3,0,1,1,0,0,1,255,255,14,18,1451.035,encounter v,R,26,137,0.344,-0.628,0.193,1.596,-36.518,0,0,48.177,-199.182,-18.212,0,0,1,8,2,R,それいゆ るな,160,86,0.43,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,-37.19,소솨소솨,0.039,-17.252,coder_,-19.935,-47.091,Oort__Cloud,-12.975,-64.476,Kr_Luna,19.85,-41.191,Pugeuk,8.381,-62.748,Yaksok~,36.731,-80.211,mungjungh,0.045,-113.361,HANA_ARASHI,-42.551,-97.208,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
42,2,0,1,3,0,2,1,0,0,1,255,255,14,19,1464.153,encounter v,R,6,91,4.504,0.408,0.414,1.794,-36.531,4,0,393.877,0,44.108,0.584,-21.289,1,8,2,R,それいゆ るな,160,86,0.43,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,-37.162,소솨소솨,0.106,-17.224,coder_,-20.25,-47.042,Oort__Cloud,-13.007,-64.455,Kr_Luna,19.203,-44.29,Pugeuk,8.639,-62.829,Yaksok~,38.372,-81.383,mungjungh,0.048,-113.371,HANA_ARASHI,-44.143,-96.785,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
43,2,0,1,3,0,0,2,0,0,1,255,255,14,20,1487.703,encounter v,R,26,127,1.392,0.485,0.283,1.774,-36.577,0,0,73.654,-158.902,-37.303,0,0,1,0,8,R,Penguin_iDOL,180,90.011,0.501,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,-37.169,소솨소솨,0.289,-17.32,coder_,-25.946,-50.878,Oort__Cloud,-13.007,-64.456,Kr_Luna,19.056,-44.087,Pugeuk,9.116,-63.057,Yaksok~,36.887,-80.447,mungjungh,-0.607,-107.45,HANA_ARASHI,-44.76,-95.813,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
