id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
155,8,1,1,6,1,0,0,0,0,0,255,255,255,87,4756.933,소솨소솨,R,0,139,-1.154,-1.251,1,0,0,0,0,0,0,0,0,5,R,coder_,165.1,107,0.349,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042,-38.297,ゆっち一,-0.259,-16.484,WhiteMountain,-24.499,-52.491,IllilliIIIIllil,-13.214,-63.941,Yaksok~,20.001,-51.619,Soleil Luna,11.289,-63.805,인생최패망자,32.416,-83.252,눈꽃,-7.638,-114.183,Apple_Sherbet,-44.972,-92.47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
156,8,1,1,6,2,0,0,0,0,0,255,255,255,88,4770.512,소솨소솨,R,12,97,0.393,-0.48,0,0,0,148.681,-1.984,0,0,0,0,5,R,coder_,165.1,107,0.349,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-38.055,ゆっち一,-0.024,-16.307,WhiteMountain,-24.436,-52.233,IllilliIIIIllil,-13.197,-63.98,Yaksok~,19.983,-51.626,Soleil Luna,11.383,-63.936,인생최패망자,27.809,-89.214,눈꽃,-7.641,-114.167,Apple_Sherbet,-45.714,-93.039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
157,8,1,1,6,2,1,0,0,0,0,255,255,255,89,4784.017,소솨소솨,R,10,98,1.153,-0.653,2,0,0,400,-13.309,0,0,1,0,5,R,coder_,165.1,107,0.349,3,49,4785.248,159,89,37,131,112,-30,32.88,0.27,-0.081,-0.168,0.175,0,0,0,0.238,-38.055,ゆっち一,0.019,-16.427,WhiteMountain,-24.448,-52.168,IllilliIIIIllil,-13.147,-64.125,Yaksok~,19.962,-51.69,Soleil Luna,10.731,-64.058,인생최패망자,32.325,-83.841,눈꽃,-7.632,-114.165,Apple_Sherbet,-44.997,-92.427,4784.721,-0.424,-20.329,4786.648,2,WhiteMountain,-19.154,-54.31,1,0,0,0,0,0,0,2
158,8,1,1,6,0,0,0,1,0,0,0,255,255,90,4829.579,소솨소솨,R,0,136,-1.401,0.167,0,0,0,0,0,0,0,0,1,0,R,_이누_,175,90,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236,-37.901,ゆっち一,-0.017,-16.172,WhiteMountain,-19.419,-40.398,IllilliIIIIllil,-12.297,-63.886,Yaksok~,20.054,-52.163,Soleil Luna,4.703,-63.405,인생최패망자,36.316,-92.621,눈꽃,10.457,-116.991,Apple_Sherbet,-44.249,-91.464,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
159,8,1,1,6,0,1,0,1,0,0,0,255,255,91,4850.275,소솨소솨,R,0,133,1.167,0.712,2,0,0,0,0,0,0,1,1,0,R,_이누_,175,90,0.5,3,73,4851.232,208,118,37,144,85,91.444,-86.285,-0.45,-0.079,-0.124,0.366,0,0,0,-0.097,-37.516,ゆっち一,0.014,-16.321,WhiteMountain,-19.406,-40.408,IllilliIIIIllil,-12.765,-64.879,Yaksok~,20.323,-52.51,Soleil Luna,8.327,-66.449,인생최패망자,38.784,-94.347,눈꽃,10.453,-117.001,Apple_Sherbet,-44.188,-91.901,4856.648,-33.159,-11.954,0,0,,0,0,0,0,0,0,0,0,0,3
160,8,1,1,6,0,2,0,1,0,0,0,255,255,92,4893.506,소솨소솨,R,0,132,0.349,0.59,2,0,0,0,0,0,0,1,1,0,R,_이누_,175,90,0.5,3,54,4894.381,118,88,0,118,70,47.178,45.717,-0.38,-0.074,-0.127,0.287,0,0,0,-0.186,-37.506,ゆっち一,-0.036,-16.335,WhiteMountain,-19.679,-40.535,IllilliIIIIllil,-14.171,-63.67,Yaksok~,21.298,-53.347,Soleil Luna,7.656,-64.265,인생최패망자,34.487,-84.55,눈꽃,-5.694,-114.142,Apple_Sherbet,-44.24,-88.893,4898.473,-38.442,-56.189,4899.43,8,Apple_Sherbet,-41.476,-59.09,0,0,0,0,0,0,0,2
161,8,1,1,6,0,2,0,1,0,0,0,255,255,93,4929.014,소솨소솨,R,0,132,-2.792,0.516,4,0,0,0,0,0,0,1,1,0,R,_이누_,175,90,0.5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274,-38.248,ゆっち一,-0.38,-19.848,WhiteMountain,-19.506,-40.268,IllilliIIIIllil,-7.301,-63.323,Yaksok~,21.674,-52.076,Soleil Luna,4.772,-62.152,인생최패망자,34.609,-86.776,눈꽃,-9.307,-108.736,Apple_Sherbet,-43.324,-83.371,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
162,8,1,1,6,0,0,1,0,0,1,255,255,5,94,4955.84,소솨소솨,R,0,132,1.711,0.778,4,0,0,0,0,0,0,1,2,1,L,Sabo_10,184.7,94,0.6,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343,-37.914,ゆっち一,-0.025,-16.04,WhiteMountain,-22.815,-49.694,IllilliIIIIllil,-12.503,-64.53,Yaksok~,20.264,-43.006,Soleil Luna,10.46,-62.97,인생최패망자,55.304,-91.638,눈꽃,9.069,-114.199,Apple_Sherbet,-48.257,-91.213,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
163,8,1,1,6,0,1,1,0,0,1,255,255,5,95,4967.171,소솨소솨,R,0,132,0.532,0.609,2,0,0,0,0,0,0,1,2,1,L,Sabo_10,184.7,94,0.6,3,79,4968.18,179,149,41,145,127,29.42,7.311,0.35,0.091,-0.175,0.393,0,0,0,-0.145,-37.593,ゆっち一,-0.049,-16.338,WhiteMountain,-22.727,-49.003,IllilliIIIIllil,-12.501,-65.171,Yaksok~,20.316,-44.164,Soleil Luna,10.938,-62.883,인생최패망자,55.906,-91.375,눈꽃,9.066,-114.191,Apple_Sherbet,-48.304,-91.298,0,0,0,4973.46,7,눈꽃,1.735,-134.058,0,0,0,0,0,0,0,1
164,8,1,2,6,0,0,2,0,0,0,255,255,255,96,5002.611,소솨소솨,R,3,111,0.744,1.235,1,0,-361.98,0,4.022,0,0,0,3,4,L,Kr_Luna,180,95.588,0.505,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169,-37.856,ゆっち一,-0.099,-16.444,WhiteMountain,-23.548,-50.876,IllilliIIIIllil,-12.045,-65.007,Yaksok~,23.453,-51.81,Soleil Luna,11.147,-65.937,인생최패망자,52.045,-91.535,눈꽃,9.673,-118.344,Apple_Sherbet,-44.403,-89.504,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
165,8,1,2,6,1,0,2,0,0,0,255,255,255,97,5012.195,소솨소솨,R,0,133,-1.089,-0.337,2,0,0,0,0,0,0,1,3,4,L,Kr_Luna,180,95.588,0.505,2,54,5013.041,148,89,33,129,106,28.211,-24.116,0.18,0.03,-0.045,0.331,0,0,0,-0.116,-37.759,ゆっち一,-0.084,-16.461,WhiteMountain,-23.515,-50.835,IllilliIIIIllil,-12.058,-65.031,Yaksok~,23.482,-51.9,Soleil Luna,11.297,-66.133,인생최패망자,52.065,-91.597,눈꽃,9.721,-118.32,Apple_Sherbet,-44.788,-89.245,5017.224,36.303,-103.32,5019.406,7,눈꽃,39.607,-114.779,1,0,0,0,0,0,0,2
166,8,1,2,6,0,0,2,0,1,0,255,4,255,98,5054.927,소솨소솨,R,0,128,3.304,0.474,2,0,0,0,0,0,0,1,4,7,L,마렘_Marem,190,106.815,0.277,3,54,5055.735,228,158,91,145,41,27.816,-20.472,1,0.075,-0.058,0.189,0,0,0,-0.027,-37.683,ゆっち一,0.008,-16.909,WhiteMountain,-21.386,-49.324,IllilliIIIIllil,-5.879,-62.853,Yaksok~,22.206,-48.206,Soleil Luna,10.591,-61.205,인생최패망자,49.974,-78.183,눈꽃,9.037,-116.352,Apple_Sherbet,-44.562,-88.343,0,0,0,5057.643,0,소솨소솨,7.38,-36.94,0,0,0,0,0,0,0,1
