id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
135,7,0,1,0,2,1,0,0,10,255,255,62,5008.729,Roscosmos,3,100,1.911,0.776,2,437.751,0,0,0,1,2,4,なおｐ--,190,45,5009.976,89,128,48,143,67,36.751,38.829,-0.95,0.044,-37.074,0.215,-16.749,-18.995,-41.872,-13.335,-63.116,19.178,-46.669,9.469,-66.34,51.906,-85.326,-1.468,-115.126,-40.602,-92.552,4917.892,-31.152,-58.711,4920.101,8,오띵__,-39.245,-68.312,1,2,0,0,0,0,0
136,7,0,0,0,2,1,1,0,255,10,255,63,5061.751,Roscosmos,0,128,-0.925,-0.086,0,6.427,-51.027,0,0,0,3,8,Sabo_10,185.1,45,0,0,0,0,0,0,0,0,0,-0.346,-37.298,0.177,-17.423,-20.319,-47.316,-4.073,-60.93,20.327,-45.102,15.366,-63.75,53.772,-92.412,12.148,-118.397,-38.829,-94.926,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
137,7,0,0,1,2,1,1,0,255,10,255,64,5083.266,Roscosmos,0,108,-0.622,0.225,0,-2.003,0,0,0,1,3,8,Sabo_10,185.1,45,0,0,0,0,0,0,0,0,0,-0.327,-37.624,0.501,-18.374,-21.346,-46.026,-4.968,-60.681,20.533,-44.028,15.376,-63.645,53.731,-92.46,12.23,-118.431,-38.752,-94.512,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
138,7,0,0,2,2,1,1,0,255,10,255,65,5104.257,Roscosmos,11,127,-2.241,-0.461,2,0,224.504,0,0,1,3,8,Sabo_10,185.1,45,5105.385,115,165,63,151,109,40.899,46.99,0.063,-0.151,-37.156,-0.1,-17.13,-20.24,-46.372,-3.486,-60.953,19.746,-45.394,14.714,-63.87,53.754,-92.472,12.265,-118.275,-38.277,-94.07,5013.426,-54.159,-86.584,5017.259,8,오띵__,-51.823,-96.551,1,2,0,0,0,0,0
139,8,1,0,0,0,0,0,0,255,255,255,72,5169.677,-라후이-,10,128,1.598,-0.387,2,0,400,0,0,1,7,7,mungjungh,171.8,45,5170.633,123,96,12,138,111,-39.702,-30.659,0.833,-0.003,-36.527,0.194,-17.35,-22.486,-47.655,-14.155,-64.666,21.325,-47.608,11.281,-65.554,35.342,-91.13,-7.823,-115.282,-38.093,-81.967,5074.409,0.823,-21.341,5078.234,6,ゆっち一,34.199,-78.742,1,2,0,0,0,0,0
140,8,1,0,0,0,1,0,0,7,255,255,73,5216.092,-라후이-,0,136,1.863,1.917,2,2.334,-137.246,0,0,1,8,3,장덕춘_,169.9,45,5216.916,130,242,75,156,91,49.006,-18.178,-0.14,-0.077,-36.468,0.106,-17.319,-17.794,-42.066,-13.979,-64.36,22.363,-48.494,8.504,-65.08,38.388,-92.376,-7.413,-113.4,-40.709,-80.305,5126.4,20.826,-79.276,5126.617,5,소솨소솨,20.375,-77.994,0,1,0,0,0,0,0
141,8,1,0,0,1,1,0,0,7,255,255,74,5241.464,-라후이-,0,140,-1.014,0.512,2,-13.815,-114.273,0,0,1,0,9,-Alta-,180.4,45,5242.329,101,105,0,135,65,40.394,-40.208,-0.983,-0.184,-36.542,0.007,-17.292,-18.127,-41.437,-11.76,-65.389,22.378,-48.714,12.947,-64.732,42.315,-82.391,9.682,-111.72,-42.516,-87.393,0,0,0,5150.484,4,なおｐ--,30.401,-54.028,0,1,0,0,0,0,0
142,8,1,0,0,2,1,0,0,7,255,255,75,5272.123,-라후이-,10,130,-0.892,-0.825,0,0,341.946,0,0,0,1,4,Dοpi,190,45,0,0,0,0,0,0,0,0,0,0.105,-36.898,0.003,-17.293,-19.415,-41.538,-15.272,-62.556,22.249,-48.756,6.058,-64.433,38.461,-95.451,-7.419,-110.482,-44.402,-82.224,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
143,8,1,0,1,2,1,0,0,7,255,255,76,5290.057,-라후이-,0,138,-2.095,0.127,2,-29.194,-144.99,0,0,1,1,4,Dοpi,190,45,5290.876,110,173,134,157,130,45.939,27.392,0.701,-0.285,-36.715,0.024,-17.311,-17.679,-42.048,-14.03,-64.471,22.598,-48.987,3.781,-63.251,38.502,-95.476,-7.288,-112.595,-45.95,-84.186,5201.676,-56.037,-111.404,0,0,,0,0,0,4,0,0,0,0,0
144,8,1,0,0,2,0,0,0,255,255,255,77,5350.059,-라후이-,0,140,-0.587,0.566,0,-34.12,-137.865,0,0,0,2,2,하루（Haru）,190,45,0,0,0,0,0,0,0,0,0,-0.062,-36.736,0.009,-17.31,-21.039,-47.835,-10.801,-65.841,23.272,-49.62,13.674,-64.641,43.188,-84.911,5.768,-112.109,-41.313,-89.604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
145,8,1,0,1,2,0,0,0,255,255,255,78,5363.548,-라후이-,10,128,-0.247,-2.529,2,0,400,-0.048,-20.449,1,2,2,하루（Haru）,190,45,5364.614,116,119,39,144,123,-37.961,-0.631,0.535,-0.072,-36.569,0.014,-17.338,-21.018,-47.847,-11.626,-65.35,23.301,-49.646,13.668,-64.725,43.219,-84.944,5.748,-112.113,-42.722,-89.793,5270.267,9.512,-64.689,5279.209,7,HalF_HearteD,14.77,-129.071,1,2,0,0,0,0,0
146,8,1,0,0,2,0,0,1,255,255,2,79,5399.734,-라후이-,0,140,-0.766,0.564,0,-41.268,-152.058,0,0,1,3,1,Pring__,180.4,45,0,0,0,0,0,0,0,0,0,0.072,-36.915,0.094,-17.341,-21.526,-46.069,-12.385,-64.973,19.792,-43.224,14.835,-63.961,44.21,-83.208,7.067,-115.397,-42.981,-86.953,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
147,8,1,0,1,2,0,0,1,255,255,2,80,5417.989,-라후이-,0,140,-1.031,1.627,4,-36.408,-149.166,0,0,1,3,1,Pring__,180.4,45,0,0,0,0,0,0,0,0,0,-0.006,-36.764,-0.069,-17.299,-21.47,-46.503,-13.166,-64.568,19.99,-42.434,14.723,-64.268,43.288,-82.027,5.504,-116.793,-44.777,-86.695,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
