id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
11,1,0,0,0,0,1,1,0,0,0,255,255,255,2,728.101,IllilliIIIIllil,R,10,119,-1.617,-2.814,-36.725,1,0,0,400,32.908,0,0,0,1,5,R,HANA_ARASHI,169.5,86,0.248,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262,-37.307,vovopo 보보포,-0.072,-17.129,Pring__,-22.7,-47.179,_앰프_,-15.188,-63.134,magimari,21.008,-48.851,Pugeuk,9.737,-64.963,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,1,1,1,0,0,0,255,255,255,3,745.252,IllilliIIIIllil,R,27,136,0.409,0.302,-36.617,2,0,28.881,-133.397,2.264,0,0,1,1,5,R,HANA_ARASHI,169.5,86,0.248,3,87,746.252,114,105,52,128,74,96.203,82.62,-0.46,-0.062,-0.137,0.205,0,0,0,-0.229,-36.648,vovopo 보보포,0.058,-17.091,Pring__,-22.682,-47.158,_앰프_,-15.268,-62.681,magimari,21.037,-48.87,Pugeuk,9.693,-64.913,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,738.804,46.425,-12.971,0,0,,0,0,0,0,0,0,0,0,0,3
13,1,0,0,0,1,2,1,0,0,0,255,255,255,4,767.913,IllilliIIIIllil,R,10,124,-0.279,-2.814,-36.558,4,0,0,400,35.058,-0.05,-21.153,1,1,5,R,HANA_ARASHI,169.5,86,0.248,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063,-37.624,vovopo 보보포,0.016,-17.274,Pring__,-21.448,-46.095,_앰프_,-15.672,-62.512,magimari,20.408,-48.188,Pugeuk,11.433,-64.897,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,2,0,0,0,255,255,255,5,797.42,IllilliIIIIllil,R,26,132,0.615,0.115,-36.562,2,0,52.719,-200,10.758,0,0,1,2,4,R,coder_,174.4,107,0.302,3,85,798.469,193,85,21,128,76,26.814,-11.716,-0.35,-0.098,-0.144,0.182,0,0,0,-0.256,-36.718,vovopo 보보포,0.082,-17.234,Pring__,-21.976,-46.406,_앰프_,-16.236,-61.331,magimari,21.023,-49.507,Pugeuk,10.409,-65.275,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,789.86,5,Pugeuk,7.879,-72.497,0,0,0,0,0,0,0,1
15,2,1,0,0,0,0,0,0,0,0,255,255,255,8,855.939,_이누_,R,0,131,1.231,0.025,-36.565,0,0,0,0,0,0,0,0,3,5,R,Pugeuk,160,90.918,0.596,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246,-37.254,ʚEveɞ,-0.051,-16.979,하루（Haru）,-20.673,-45.601,Soleil Luna,-13.809,-62.641,coder_,17.215,-48.969,HANA_ARASHI,13.639,-64.531,AI,35.704,-81.804,AI,0,-100.6,AI,-35.704,-81.803,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
16,2,1,0,0,0,1,0,0,0,0,255,255,255,9,874.438,_이누_,R,5,93,1.62,-0.2,-37.351,2,0,-102.824,0,10.615,0,0,1,3,5,R,Pugeuk,160,90.918,0.596,3,83,875.7,174,121,34,147,124,50,-41.83,0.49,-0.025,-0.09,0.435,0,0,0,-0.669,-37.026,ʚEveɞ,-0.075,-16.992,하루（Haru）,-20.116,-46.799,Soleil Luna,-13.642,-62.689,coder_,16.577,-48.458,HANA_ARASHI,14.237,-63.247,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,869.054,55.519,-109.402,0,0,,0,0,0,0,0,0,0,0,0,4
17,2,1,1,0,0,0,0,0,0,0,255,255,255,10,916.502,_이누_,R,0,135,-1.334,-2.204,-36.324,1,0,0,0,0,0,0,0,4,3,R,_앰프_,170.6,90,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138,-37.533,ʚEveɞ,-0.091,-16.989,하루（Haru）,-20.713,-46.821,Soleil Luna,-10.244,-63.13,coder_,17.336,-50.485,HANA_ARASHI,13.259,-64.421,별이__,16.549,-21.717,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,2,1,1,0,1,0,0,0,0,0,255,255,255,11,954.785,_이누_,R,3,92,-1.992,-0.031,-36.55,1,0,-388.714,0,10.637,0,0,0,4,3,R,_앰프_,170.6,90,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291,-37.388,ʚEveɞ,-0.495,-16.917,하루（Haru）,-20.205,-46.701,Soleil Luna,-11.699,-64.136,coder_,16.669,-49.527,HANA_ARASHI,15.221,-60.885,별이__,37.488,-87.58,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,2,1,1,0,2,0,0,0,0,0,255,255,255,12,973.713,_이누_,R,10,98,0.458,0.753,-36.697,0,0,0,400,16.746,0,0,0,4,3,R,_앰프_,170.6,90,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175,-37.271,ʚEveɞ,0.12,-17,하루（Haru）,-20.321,-47.244,Soleil Luna,-11.694,-64.122,coder_,16.678,-49.496,HANA_ARASHI,14.2,-63.193,별이__,36.923,-87.789,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
20,2,1,1,0,2,1,0,0,0,0,255,255,255,13,992.513,_이누_,R,14,110,0.168,0.028,-36.501,0,0,293.311,400,-7.151,0,0,0,4,3,R,_앰프_,170.6,90,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224,-37.148,ʚEveɞ,0.103,-16.869,하루（Haru）,-20.078,-45.675,Soleil Luna,-11.704,-64.153,coder_,16.713,-49.506,HANA_ARASHI,15.491,-61.955,별이__,36.849,-87.666,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
