id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
162,8,1,0,0,2,0,0,0,255,255,255,32,6544.203,IllilliIIIIllil,0,140,-0.651,0.101,0,95.575,-200,0,0,0,5,2,_이누_,190,65,0,0,0,0,0,0,0,0,0,-0.144,-37.536,-0.301,-17.056,-21.95,-52.078,-6.666,-65.554,20.891,-48.562,9.051,-66.663,-9.968,-18.341,-6.666,-65.554,-9.968,-18.341,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
163,8,1,0,1,2,0,0,0,255,255,255,33,6561.693,IllilliIIIIllil,0,123,1.014,6.078,1,111.409,-94.493,1.167,-7.927,0,5,2,_이누_,190,65,0,0,0,0,0,0,0,0,0,0.081,-38.074,0.161,-17.009,-22.231,-52.163,-6.404,-65.619,20.84,-48.606,9.077,-66.739,-9.948,-18.327,-6.404,-65.619,-9.948,-18.327,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
164,8,1,1,1,2,0,0,0,255,255,255,34,6580.972,IllilliIIIIllil,13,99,-1.609,-0.263,1,-351.391,312.348,-0.571,-17.677,0,5,2,_이누_,190,65,0,0,0,0,0,0,0,0,0,-0.136,-37.916,-0.634,-17.717,-22.064,-52.415,-8.218,-65.253,20.249,-49.545,9.054,-66.67,-9.944,-18.356,-8.218,-65.253,-9.944,-18.356,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
165,8,1,2,1,2,0,0,0,255,255,255,35,6601.215,IllilliIIIIllil,10,121,-1.114,-1.861,1,0,400,-0.318,-18.784,0,5,2,_이누_,190,65,0,0,0,0,0,0,0,0,0,-0.143,-37.874,0.106,-17.164,-21.721,-52.325,-8.126,-65.303,19.875,-50.209,9.041,-66.653,-9.979,-18.378,-8.126,-65.303,-9.979,-18.378,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
166,8,1,3,1,2,0,0,0,255,255,255,36,6618.327,IllilliIIIIllil,0,134,-0.387,0.134,0,106.415,-138.668,0,0,0,5,2,_이누_,190,56,0,0,0,0,0,0,0,0,0,-0.112,-37.734,-0.109,-17.331,-21.935,-52.152,-8.181,-65.221,19.865,-50.167,8.706,-65.1,-9.98,-18.338,-8.181,-65.221,-9.98,-18.338,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
167,8,1,3,2,2,0,0,0,255,255,255,37,6635.255,IllilliIIIIllil,0,105,0.027,3.224,1,0,46.32,-0.445,-18.047,0,5,2,_이누_,190,56,0,0,0,0,0,0,0,0,0,-0.181,-37.857,0.251,-17.678,-21.723,-52.285,-8.106,-65.298,19.022,-50.616,8.735,-65.177,-9.954,-18.36,-8.106,-65.298,-9.954,-18.36,0,0,0,0,0,,0,0,0,5,0,0,0,0,0
168,8,1,0,0,2,1,0,0,2,255,255,38,6677.337,IllilliIIIIllil,0,138,-0.378,0.224,2,124.424,-200,0,0,1,0,5,아침땅_,175.3,36,6678.25,81,40,0,15,46,-9.084,42.666,0.522,0.026,-37.48,0.032,-17.364,-19.872,-39.94,-7.471,-64.218,19.991,-49.987,9.253,-65.681,0.901,-19.804,-7.471,-64.218,0.901,-19.804,6638.844,-30.116,-57.079,6638.794,-1,AI,-30.023,-56.957,1,0,0,0,0,0,0
169,8,1,0,0,2,1,1,0,255,2,255,39,6747.636,IllilliIIIIllil,10,118,-0.312,-0.196,0,0,400,0.054,-17.045,0,1,1,Dοpi,190,45,0,0,0,0,0,0,0,0,0,0.061,-38.091,-0.113,-17.212,-22.639,-51.795,-11.434,-63.55,19.356,-43.105,5.044,-59.712,-11.727,-48.325,-11.434,-63.55,-11.727,-48.325,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
170,8,0,0,0,0,0,0,0,255,255,255,75,6889.39,Dοpi,0,133,-1.782,-1.84,4,-2.401,0,-0.528,-17.274,0,2,0,IllilliIIIIllil,174.5,65,0,0,0,0,0,0,0,0,0,-0.043,-37.277,-0.235,-17.45,-19.653,-46.175,-10.024,-61.023,18.101,-47.779,9.802,-65.072,9.802,-65.072,9.802,-65.072,-10.024,-61.023,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
171,8,0,0,1,0,0,0,0,255,255,255,76,6910.775,Dοpi,10,117,-1.169,0.435,2,0,400,0,0,1,2,0,IllilliIIIIllil,174.5,65,6911.845,123,179,71,154,85,35.026,3.899,-0.214,-0.617,-37.08,0.015,-17.098,-21.632,-52.62,-9.575,-61.023,18.158,-49.678,9.809,-65.073,9.809,-65.073,9.809,-65.073,-9.575,-61.023,6870.452,2.175,-86.831,6874.952,0,Dοpi,0.135,-39.273,0,1,0,0,0,0,0
