id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
105,5,0,3,3,0,0,0,0,0,0,255,255,255,47,3950.116,하루（Haru）,R,0,133,0.989,-0.269,0,87.302,-62.678,0,0,0,6,6,R,Apple_Sherbet,190,66,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.657,0.032,-17.209,-22.777,-47.734,-16.383,-62.063,19.703,-48.946,14.015,-64.725,38.295,-97.861,-5.531,-104.91,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
106,5,0,3,3,0,1,0,0,0,0,255,255,255,48,3965.746,하루（Haru）,R,1,116,-1.446,0.764,0,0,0,0,0,1,6,6,R,Apple_Sherbet,190,66,0,0,0,0,0,0,0,0,0,0,0,-0.254,-37.011,-0.078,-17.068,-21.692,-45.466,-16.395,-61.998,19.346,-48.28,14.009,-64.718,38.764,-98.48,-5.244,-105.033,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
107,5,0,3,3,0,2,0,0,0,0,255,255,255,49,3987.147,하루（Haru）,R,0,140,-0.285,0.055,2,155.231,-87.008,0,0,1,6,6,R,Apple_Sherbet,190,66,3988.06,126,74,0,101,67,-8.939,-19.319,-0.726,-0.087,-0.072,-0.569,-36.895,0,-17.069,-21.707,-46.404,-16.3,-62.06,19.122,-47.877,14.221,-64.694,37.812,-98.245,-5.223,-105.073,-35.7,-81.8,3988.229,1.796,-24.948,3990.43,4,Roscosmos,12.084,-47.294,0,0,0,0,0,0,0,2
108,5,0,3,3,0,0,1,0,0,0,255,255,255,50,4018.716,하루（Haru）,R,0,140,-0.126,0.994,0,80.7,-97.601,0,0,1,7,1,R,Dοpi,180.1,66,0,0,0,0,0,0,0,0,0,0,0,0.071,-37.591,-0.037,-17.152,-21.166,-46.089,-15.983,-61.834,17.723,-47.726,14.012,-64.734,38.568,-99.809,-7.206,-100.159,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
109,5,0,3,3,0,1,1,0,0,0,255,255,255,51,4035.008,하루（Haru）,R,0,140,0.703,-0.77,2,69.117,-97.053,0,0,1,7,1,R,Dοpi,180.1,66,4035.969,123,166,20,136,86,9.392,-13.216,-0.773,-0.08,-0.073,-0.409,-36.784,-0.021,-17.064,-22.446,-47.455,-15.928,-61.826,17.753,-47.502,14.046,-64.794,38.577,-99.805,-7.177,-100.148,-35.7,-81.8,4037.463,9.911,-52.832,4038.118,5,오띵__,11.983,-58.543,0,0,0,0,0,0,0,2
110,5,0,3,3,0,0,2,0,0,0,255,255,255,52,4065.541,하루（Haru）,R,10,106,1.444,-0.135,2,0,400,0,0,1,8,8,R,muyang_,170.9,66,4066.62,63,211,54,113,82,-51.943,-50.442,-0.183,-0.074,-0.1,-0.208,-36.884,-0.01,-17.122,-21.8,-46.541,-15.907,-61.48,18.453,-47.89,14.856,-63.895,37.733,-97.848,-7.19,-96.683,-35.7,-81.8,4066.552,1.002,-20.839,0,0,,0,0,0,0,0,0,0,0,0,3
111,5,0,3,3,0,1,2,0,0,0,255,255,255,53,4085.814,하루（Haru）,R,6,107,1.463,1.642,2,337.587,0,0,0,0,8,8,R,muyang_,170.9,66,4086.927,108,84,10,114,81,37.681,42.535,-0.246,-0.041,-0.056,-0.202,-36.895,-0.003,-17.062,-22.457,-47.009,-15.632,-61.401,19.072,-45.991,15.339,-63.841,40.107,-97.411,-5.227,-96.795,-35.706,-81.807,4095.774,-66.558,-84.349,0,0,,0,0,0,0,0,0,0,0,0,3
112,5,0,3,3,0,2,2,0,0,0,255,255,255,54,4112.214,하루（Haru）,R,0,140,-0.053,2.039,4,88.468,-119.669,0,0,1,8,8,R,muyang_,170.9,66,0,0,0,0,0,0,0,0,0,0,0,0.15,-37.457,-0.067,-17.004,-21.659,-45.029,-16.041,-61.237,18.761,-46.993,14.831,-64.005,38.389,-96.755,-6.329,-98.328,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
113,6,1,3,3,0,0,0,0,0,0,255,255,255,57,4247.67,D_arling,R,0,140,-3.165,0.047,2,44.071,-200,0,0,1,2,1,R,Espressο,190,66,4248.597,167,168,10,141,128,26.007,25.971,0.457,-0.152,-0.07,-0.563,-38.914,-0.032,-17.441,-23.19,-50.244,-14.056,-62.946,20.726,-50.281,10.544,-65.849,43.069,-94.246,-0.516,-119.34,-40.581,-78.928,4252.974,-28.048,-121.818,4254.485,7,눈꽃,-21.819,-126.956,1,0,0,0,0,0,0,2
114,6,1,3,3,0,0,0,1,0,0,1,255,255,58,4336.831,D_arling,R,0,127,-1.481,-0.32,4,22.863,-115.565,0,0,1,3,2,L,NABIMan,190,66,0,0,0,0,0,0,0,0,0,0,0,0.29,-37.354,-0.241,-17.411,-20.494,-43.151,-7.144,-63.577,23.6,-45.52,13.755,-64.059,40.781,-92.013,0.267,-116.911,-39.225,-79.842,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
