id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
89,5,1,0,2,0,0,0,0,0,0,255,255,255,35,3817.65,하루（Haru）,R,0,113,-0.539,0.607,0,0,0,0,0,0,6,7,R,紅さかな,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.376,-37.471,0.127,-16.909,-21.635,-46.892,-8.213,-65.09,20.663,-48.823,8.218,-66.158,37.386,-88.286,0.452,-104.123,-43.434,-83.631,0,0,0,0,0,,0,0,0,0,0
90,5,1,0,2,0,1,0,0,0,0,255,255,255,36,3834.557,하루（Haru）,R,6,107,2.964,1.413,1,393.028,0,1.457,-17.258,0,6,7,R,紅さかな,190,47,0,0,0,0,0,0,0,0,0,0,0,0.022,-37.623,0.902,-16.907,-21.861,-51.64,-8.273,-65.206,20.637,-48.875,8.186,-66.167,37.43,-88.319,0.456,-104.118,-43.063,-84.735,0,0,0,0,0,,0,0,0,0,0
91,5,1,0,2,1,1,0,0,0,0,255,255,255,37,3853.712,하루（Haru）,R,0,140,-2.839,-1.124,2,0,0,0,0,1,6,7,R,紅さかな,190,47,3854.769,92,179,44,139,67,-67.675,62.649,-1,0.048,-0.04,-0.433,-36.658,0.127,-16.929,-21.999,-51.627,-8.192,-65.036,20.471,-48.897,9.106,-66.488,37.331,-88.216,0.557,-104.074,-49.878,-79.034,3838.498,-0.902,-19.943,3843.056,2,_Chun,-24.403,-37.109,0,0,2
92,5,1,0,2,1,2,0,0,0,0,255,255,255,38,3872.628,하루（Haru）,R,0,135,-1.17,0.871,0,0,0,0,0,0,6,7,R,紅さかな,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.377,-37.438,-0.333,-16.806,-21.072,-51.728,-7.217,-61.162,20.153,-47.844,7.786,-66.643,39.178,-86.786,-0.189,-103.044,-48.559,-77.545,0,0,0,0,0,,0,0,0,0,0
93,5,1,0,2,0,0,1,0,0,0,255,255,255,39,3900.012,하루（Haru）,R,0,140,-1.73,-1.037,1,0,0,0,0,0,7,1,R,あおいぬ,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.336,-37.57,-0.57,-17.255,-21.755,-52.971,-8.178,-63.446,20.308,-48.054,7.503,-67.481,39.182,-86.788,0.924,-104.051,-49.738,-80.402,0,0,0,0,0,,0,0,0,0,0
94,5,1,0,2,1,0,1,0,0,0,255,255,255,40,3919.118,하루（Haru）,R,0,140,-1.269,0.004,2,0,0,0,0,1,7,1,R,あおいぬ,190,47,3920.185,113,131,8,134,90,93.413,-86.55,0.935,0.02,0.032,-0.219,-36.907,0.145,-16.812,-21.979,-52.512,-8.818,-63.888,20.696,-48.525,7.403,-67.514,39.219,-86.855,0.92,-104.052,-49.689,-81.685,3909.256,-63.547,-8.371,0,0,,0,0,0,0,3
95,5,1,0,2,1,1,1,0,0,0,255,255,255,41,3942.273,하루（Haru）,R,0,96,-1.851,-0.424,2,0,0,0,0,1,7,1,R,あおいぬ,190,56,3943.547,100,148,12,134,72,14.488,35.234,0.988,-0.045,-0.049,-0.185,-36.847,-0.398,-16.848,-22.41,-53.226,-8.787,-64.643,20.911,-48.456,7.025,-67.036,40.068,-84.643,0.152,-104.563,-50.479,-79.444,3929.09,-20.84,-44.614,3932.181,8,Dοpi,-36.395,-66.429,1,0,2
96,5,1,0,2,0,0,1,1,0,0,0,255,255,42,3975.461,하루（Haru）,R,0,140,-0.53,0.745,0,0,0,0,0,1,8,8,R,Nibi-chan,170.1,47,0,0,0,0,0,0,0,0,0,0,0,-0.501,-36.949,-0.259,-17.051,-19.607,-42.481,-9.464,-59.85,19.519,-47.615,1.212,-60.309,41.89,-83.026,0.191,-100.858,-46.861,-75.335,0,0,0,0,0,,0,0,0,0,0
97,5,1,0,2,0,1,1,1,0,0,0,255,255,43,3994.581,하루（Haru）,R,0,132,1.941,1.281,1,0,0,0,0,0,8,8,R,Nibi-chan,170.1,47,0,0,0,0,0,0,0,0,0,0,0,-0.041,-37.52,-0.127,-17.158,-19.67,-40.256,-10.903,-63.523,20.839,-45.764,5.526,-63.583,41.89,-83.072,-0.2,-100.644,-42.12,-83.447,0,0,0,0,0,,0,0,0,0,0
98,5,1,0,2,1,1,1,1,0,0,0,255,255,44,4012.095,하루（Haru）,R,0,116,2.435,0.612,1,0,0,0,0,0,8,8,R,Nibi-chan,170.1,47,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.586,-0.032,-16.976,-20.152,-42.373,-14.433,-61.924,20.644,-46.68,7.019,-65.75,41.886,-83.074,0.407,-101.027,-42.795,-83.592,0,0,0,0,0,,0,0,0,0,0
99,5,1,0,2,2,1,1,1,0,0,0,255,255,45,4029.834,하루（Haru）,R,0,140,-1.571,-0.803,2,0,0,0,0,1,8,8,R,Nibi-chan,170.1,47,4030.887,105,107,14,128,90,-68.663,69.587,0.916,-0.049,-0.034,-0.38,-36.787,0.128,-16.906,-19.968,-41.377,-14.759,-62.175,21.297,-48.92,8.869,-65.921,41.85,-83.01,0.397,-102.557,-46.016,-77.436,4014.573,-0.903,-20.39,0,0,,0,0,0,0,0
100,5,1,0,2,2,2,1,1,0,0,0,255,255,46,4057.289,하루（Haru）,R,0,140,0.555,0.48,0,0,0,0,0,0,8,8,R,Nibi-chan,170.1,47,0,0,0,0,0,0,0,0,0,0,0,-0.091,-37.441,-0.242,-17.178,-19.775,-41.995,-12.234,-62.288,19.75,-48.116,4.468,-63.538,41.214,-84.298,-0.72,-100.379,-45.042,-75.688,0,0,0,0,0,,0,0,0,0,0
101,5,1,0,2,0,0,2,0,1,0,255,1,255,47,4123.364,하루（Haru）,R,5,94,-1.273,0.709,2,-147.352,0,0,0,1,0,5,L,べるちゃそ,174.2,47,4124.501,106,252,47,148,64,29.304,-20.333,-1,0.05,-0.081,-0.164,-37.025,0.23,-16.805,-21.236,-45.178,-1.104,-60.634,21.622,-47.701,14.788,-63.948,41.333,-84.44,0.255,-105.641,-40.065,-83.207,0,0,0,4112.031,5,CAT tourniquet,13.761,-59.984,0,0,1
102,5,0,0,2,0,0,0,0,0,0,255,255,255,15,4168.781,siesta_aves,R,15,93,1.41,1.004,0,0,-381.78,0,0,0,0,6,L,IbikiKai_JP,176.4,47,0,0,0,0,0,0,0,0,0,0,0,0.03,-38.56,0.011,-16.591,-17.279,-43.407,-12.019,-58.791,20.688,-46.577,12.934,-64.709,38.701,-79.151,1.047,-113.081,-37.201,-87.842,0,0,0,0,0,,0,0,0,0,0
103,5,0,0,2,0,1,0,0,0,0,255,255,255,16,4185.161,siesta_aves,R,3,125,1.904,1.037,2,-379.726,0.162,0,0,1,0,6,L,IbikiKai_JP,176.4,47,4186.28,94,170,29,137,125,5.134,-26.209,0.248,-0.095,-0.063,-0.033,-37.158,-0.004,-16.863,-17.254,-43.186,-11.959,-58.679,20.068,-46.614,12.601,-64.419,38.666,-79.142,1.069,-113.075,-37.212,-87.85,4171.698,27.866,-65.126,4172.373,6,Pizzallaris,34.308,-73.953,1,0,2
