id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,0,0,0,0,0,1,0,0,0,255,255,255,4,652.028,인생최패망자,R,14,113,2.199,-1.778,2,0,371.49,334.657,10.771,0,0,1,1,2,R,encounter v,190,99.951,0.447,3,54,653.172,156,162,59,151,126,-30,-26.641,0.32,-0.033,-0.217,0.439,0,0,0,0.191,-36.909,Sabo_10,0.07,-17.33,Pring__,-20.409,-45.592,눈꽃,-14.536,-63.763,CAT tourniquet,22.991,-48.708,소솨소솨,14.027,-64.225,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,656.346,32.782,-86.709,661.471,2,Pring__,-17.189,-40.659,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,1,1,0,0,11,255,255,5,690.085,인생최패망자,R,26,130,-1.687,0.626,4,0,-25.881,-195.044,24.876,0,0,1,2,1,L,하루（Haru）,190,107,0.5,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-37.781,Sabo_10,0.007,-16.918,Pring__,-20.253,-43.127,눈꽃,-14.809,-63.41,CAT tourniquet,20.834,-46.187,소솨소솨,15.625,-63.456,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,1,1,1,0,0,11,255,255,6,710.133,인생최패망자,R,26,129,-1.952,0.74,1,0,-1.763,-200,16.042,0,0,0,2,1,L,하루（Haru）,190,107,0.5,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102,-37.427,Sabo_10,-0.226,-17.167,Pring__,-20.242,-41.086,눈꽃,-0.955,-58.329,CAT tourniquet,20.86,-46.221,소솨소솨,16.443,-63.049,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,1,1,1,0,1,0,255,11,255,7,733.356,인생최패망자,R,26,140,-1.834,0.327,4,0,2.176,-191.265,36.72,0,0,1,2,1,L,하루（Haru）,190,107,0.5,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.498,Sabo_10,0.078,-17.067,Pring__,-20.153,-42.058,눈꽃,-12.869,-62.399,CAT tourniquet,21.584,-45.354,소솨소솨,16.204,-62.745,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,1,2,1,0,0,0,255,255,255,8,803.744,인생최패망자,R,26,140,-1.539,1.537,2,0,-8.352,-200,32.37,0,0,1,2,1,L,하루（Haru）,190,107,0.5,3,97,804.723,196,62,25,136,130,115.56,63.36,0.45,0.039,-0.02,0,0,0,0,-0.389,-37.085,Sabo_10,-0.201,-17.048,Pring__,-20.23,-45.742,눈꽃,-15.1,-62.843,CAT tourniquet,21.246,-45.251,소솨소솨,16.54,-62.416,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
6,1,0,0,1,1,2,1,0,0,0,255,255,255,9,822.382,인생최패망자,R,10,125,-1.878,-2.529,1,0,0,400,25.118,-0.339,-21.191,0,2,1,L,하루（Haru）,190,107,0.5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-37.498,Sabo_10,-0.074,-17.131,Pring__,-20.215,-45.727,눈꽃,-15.749,-62.065,CAT tourniquet,21.29,-45.291,소솨소솨,16.524,-62.434,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,0,0,1,2,2,1,0,0,0,255,255,255,10,862.885,인생최패망자,R,10,121,0.092,-0.461,0,0,-84.178,400,27.036,0.146,-17.47,1,2,1,L,하루（Haru）,190,107,0.5,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-37.232,Sabo_10,0.009,-17.318,Pring__,-19.766,-44.689,눈꽃,-15.755,-63.101,CAT tourniquet,20.899,-44.707,소솨소솨,16.612,-61.746,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,0,0,1,0,0,2,0,0,0,255,255,255,11,893.455,인생최패망자,R,26,116,1.419,0.516,2,0,31.604,-197.972,21.314,0,0,1,3,4,R,Pugeuk,190,96.53,0.596,3,95,894.442,155,160,24,150,97,103.08,-52.368,-0.01,-0.064,-0.179,0.469,0,0,0,-0.124,-36.969,Sabo_10,0.38,-17.402,Pring__,-20.823,-46.164,눈꽃,-16.994,-62.582,CAT tourniquet,21.224,-43.954,소솨소솨,16.227,-64.715,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
9,1,0,0,1,0,1,2,0,0,0,255,255,255,12,912.32,인생최패망자,R,26,117,3.01,0.898,2,0,-42.938,-165.086,12.415,0,0,1,3,4,R,Pugeuk,190,96.53,0.596,3,96,913.327,137,114,18,142,89,-9.63,-28.179,-0.46,-0.089,-0.115,0.213,0,0,0,0.109,-37.03,Sabo_10,0.382,-17.235,Pring__,-21.704,-46.431,눈꽃,-14.155,-64.378,CAT tourniquet,20.764,-45.747,소솨소솨,15.055,-63.926,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,913.45,3.825,-25.095,915.825,5,소솨소솨,22.53,-59.809,1,0,0,0,0,0,0,2
10,1,0,0,1,0,0,2,1,0,0,13,255,255,13,951.118,인생최패망자,R,3,105,0.703,0.717,0,0,-476.347,31.124,2.742,0,0,1,4,5,R,Soleil Luna,160,95,0.5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032,-37.756,Sabo_10,-0.069,-16.973,Pring__,-19.98,-42.483,눈꽃,-8.854,-59.846,CAT tourniquet,21.501,-46.087,소솨소솨,9.842,-63.75,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
