id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
115,5,0,1,2,0,2,2,0,1,0,255,9,255,57,3507.19,NABIMan,R,0,134,0.76,-1.578,4,39.203,-102.663,0,0,1,8,8,R,Yaksok~,166.4,93.281,0.397,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306,-37.711,0.042,-17.099,-20.975,-50.036,-12.517,-58.891,21.438,-43.149,0.364,-58.959,43.756,-94.851,2.222,-107.448,-45.017,-92.503,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
116,6,1,1,2,0,0,0,0,0,0,255,255,255,57,3553.538,인생최패망자,R,10,93,-0.439,0.45,0,-114.714,372.225,0,0,1,2,3,R,_앰프_,170.6,90,0.396,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-37.596,0.058,-16.955,-20.894,-45.681,-10.131,-60.751,21.322,-46.047,10.959,-61.164,36.871,-86.54,-5.072,-97.355,-38.388,-80.557,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
117,6,1,1,2,0,1,0,0,0,0,255,255,255,58,3570.867,인생최패망자,R,4,89,-1.07,1.503,4,-231.649,86.621,0,0,1,2,3,R,_앰프_,170.6,90,0.396,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.405,-0.495,-16.95,-20.553,-44.309,-10.093,-60.752,21.377,-46.31,11.113,-61.023,36.645,-86.602,-5.043,-97.373,-37.75,-79.563,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
118,6,1,1,2,0,2,0,0,0,0,255,255,255,59,3588.785,인생최패망자,R,0,137,-1.583,1.412,4,0,0,-0.513,-17.922,1,2,3,R,_앰프_,170.6,90,0.396,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.92,-0.257,-17.616,-20.208,-42.645,-10.425,-61.056,21.406,-46.394,10.898,-61.35,32.882,-99.441,-5.036,-97.373,-38.339,-80.101,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
119,6,1,1,2,0,0,1,0,0,0,255,255,255,60,3622.7,인생최패망자,R,3,94,-0.676,0.955,0,-345.284,0,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083,-37.438,0.032,-17.003,-18.957,-43.43,-10.385,-61.34,22.9,-47.984,11.132,-61.224,39.56,-102.878,-4.599,-102.534,-36.06,-79.761,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
120,6,1,1,2,0,1,1,0,0,0,255,255,255,61,3640.303,인생최패망자,R,0,109,-0.347,3.467,1,0,0,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,-37.878,-0.025,-17.086,-18.985,-43.432,-10.466,-61.627,22.986,-48.158,11.03,-61.299,39.756,-102.786,-0.541,-110.99,-37.19,-80.247,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
121,6,1,1,2,1,1,1,0,0,0,255,255,255,62,3653.241,인생최패망자,R,10,85,1.069,0.676,0,0,396.105,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,-37.609,0.144,-17.31,-18.968,-43.436,-10.528,-61.589,23.057,-48.068,10.956,-61.177,39.621,-102.92,-0.511,-111.007,-38.631,-82.926,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
122,6,1,1,2,1,2,1,0,0,0,255,255,255,63,3668.017,인생최패망자,R,14,109,1.818,0.557,2,348.781,355.119,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,78,3669.264,202,113,25,150,99,28.96,-41.532,0.04,-0.025,0.028,0.158,0,0,0,0.013,-37.046,0.481,-17.502,-18.983,-43.435,-10.54,-61.604,23.023,-48.105,11.156,-61.365,39.604,-102.832,0.393,-104.615,-38.634,-82.931,3673.258,51.442,-84.345,3676.302,6,Kr_Luna,58.735,-96.35,1,0,0,0,0,0,0,2
123,6,1,1,2,0,0,1,0,1,0,255,8,255,64,3710.295,인생최패망자,R,10,81,1.312,-1.938,2,0,379.335,0,0,1,4,7,R,소솨소솨,160,89.643,0.4,78,3711.475,113,98,71,139,60,28.218,40.119,0.99,-0.07,-0.216,0.242,0,0,0,-0.111,-37.128,0.083,-17.404,-19.556,-43.72,-7.489,-60.186,20.745,-47.412,13.629,-62.605,43.475,-93.409,1.257,-103.03,-36.829,-80.676,3714.069,-22.825,-48.807,3717.125,-1,࿇ Kronos ࿇,-34.099,-63.216,1,16,0,0,0,0,0,2
124,6,1,2,2,0,0,2,0,0,0,255,255,255,65,3811.929,인생최패망자,R,0,139,-1.465,0.962,1,0,0,0,0,0,5,2,R,Roslynn,190,107,0.719,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076,-37.131,-0.278,-17.003,-19.389,-40.049,-7.812,-60.691,20.191,-44.12,10.677,-62.453,37.895,-95.788,0.536,-98.374,-39.243,-72.872,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
125,6,1,2,2,1,0,2,0,0,0,255,255,255,66,3827.508,인생최패망자,R,13,93,-2.452,-1.283,2,-325.428,319.126,0,0,1,5,2,R,Roslynn,190,107,0.719,78,3828.692,219,129,19,154,111,50,48.912,0.9,-0.007,-0.161,0.27,0,0,0,-0.172,-36.962,-0.586,-17.092,-19.292,-41.765,-6.847,-62.371,20.515,-45.602,10.893,-63.018,35.893,-101.115,-11.191,-97.38,-39.238,-73.713,3833.813,-65.719,-83.616,0,0,,0,0,0,0,0,0,0,0,0,3
126,6,1,2,2,1,1,2,0,0,0,255,255,255,67,3852.509,인생최패망자,R,0,139,-2.166,-0.867,1,0,0,0,0,0,5,2,R,Roslynn,190,107,0.719,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.459,-37.219,-0.355,-17.139,-18.156,-41.198,-7.814,-60.789,20.676,-44.501,11.194,-63.091,35.929,-100.998,-14.884,-98.202,-42.324,-72.966,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
127,6,1,2,2,2,1,2,0,0,0,255,255,255,68,3866.204,인생최패망자,R,4,95,2.276,1.642,1,-155.93,0,0,0,0,5,2,R,Roslynn,190,107,0.719,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.569,-0.118,-17.069,-19.168,-42.765,-6.256,-60.896,21.411,-45.213,11.278,-63.226,35.838,-100.969,-15.002,-98.56,-42.381,-73.029,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
128,6,1,2,2,3,1,2,0,0,0,255,255,255,69,3882.521,인생최패망자,R,13,90,0.8,0.311,0,-293.389,348.448,0,0,0,5,2,R,Roslynn,190,107,0.719,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,-37.758,-0.129,-17.092,-20.208,-44.134,-6.187,-60.539,21.597,-46.033,11.246,-63.118,35.8,-100.907,-14.992,-98.571,-43.489,-74.006,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
129,6,1,2,2,3,2,2,0,0,0,255,255,255,70,3893.444,인생최패망자,R,3,92,-1.405,-0.463,2,-335.004,0,0,0,1,5,2,R,Roslynn,190,107,0.719,78,3894.664,184,103,21,146,100,51.95,43.551,0.03,-0.08,-0.058,0.111,0,0,0,-0.158,-37.177,-0.12,-17.162,-19.554,-43.363,-8.887,-60.86,21.523,-45.47,11.308,-63.264,35.295,-100.395,-15.01,-98.554,-43.763,-74.358,3900.213,-54.508,-72.128,3900.369,8,Yaksok~,-53.202,-70.889,0,0,0,0,0,0,0,1
130,6,0,2,2,0,0,0,0,0,0,255,255,255,58,3942.61,NABIMan,R,0,140,-0.833,-2.348,4,69.036,-159.685,-0.14,-18.952,1,0,2,R,Eaglebuter,164.3,95,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316,-37.586,-0.263,-15.957,-21.162,-48.407,-13.234,-59.825,23.137,-48.883,16.055,-63.635,42.636,-90.016,-0.833,-105.374,-44.774,-90.157,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
131,6,0,2,2,0,1,0,0,0,0,255,255,255,59,3954.521,NABIMan,R,0,75,1.604,0.534,2,0,0,0,0,1,0,2,R,Eaglebuter,164.3,95,0.5,78,3955.77,244,106,23,148,83,10.584,-21.085,-0.47,-0.042,-0.048,0.378,0,0,0,0.08,-37.193,-0.19,-15.986,-21.213,-48.483,-13.461,-60.793,23.696,-49.184,15.557,-63.404,42.475,-89.71,-0.927,-105.433,-45.249,-90.466,0,0,0,3957.847,5,mungjungh,16.156,-56.861,0,0,0,0,0,0,0,1
132,6,0,2,2,0,0,1,0,0,0,255,255,255,60,3985.025,NABIMan,R,13,110,-5.119,-2.205,3,-304.624,396.49,-0.751,-22.815,0,1,5,L,신과함께1,190,93,0.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.562,-37.399,-0.617,-16.196,-20.586,-48.547,-11.521,-62.205,24.283,-49.299,14.019,-63.362,44.137,-90.112,-1.03,-106.383,-44.863,-94.702,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
133,6,0,2,2,2,0,1,0,0,0,255,255,255,61,4009.978,NABIMan,R,10,108,-0.519,-2.529,1,0,400,-0.098,-19.997,0,1,5,L,신과함께1,190,93,0.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-37.628,-0.072,-16.259,-20.55,-48.215,-11.522,-62.242,24.11,-50.356,14.26,-63.999,44.143,-90.117,-2.326,-105.592,-44.872,-94.688,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
134,6,0,2,2,3,0,1,0,0,0,255,255,255,62,4022.568,NABIMan,R,0,139,1.748,-0.367,1,66.552,-121.86,0.86,-16.192,0,1,5,L,신과함께1,190,93,0.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.211,-0.077,-16.304,-20.586,-48.273,-11.515,-62.206,24.135,-50.285,14.302,-64.101,44.142,-90.118,-1.722,-105.533,-45.049,-94.632,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5
135,6,0,2,2,0,0,1,1,0,0,14,255,255,63,4043.844,NABIMan,R,0,140,1.115,-0.953,2,80.647,-200,0,0,1,2,1,R,coder_,179.7,99.563,0.25,78,4044.898,163,101,41,147,92,-11.736,-0.146,0.94,-0.168,-0.188,0.211,0,0,0,-0.393,-36.596,-0.118,-16.195,-19.725,-45.791,-10.954,-59.974,24.148,-50.355,14.3,-64.104,44.424,-90.594,-1.979,-104.613,-48.38,-90.511,4044.758,0.274,-19.916,4045.902,0,NABIMan,0.209,-37.141,0,2,0,0,0,0,0,2
136,7,1,2,2,0,0,0,0,0,0,255,255,255,71,4241.461,신과함께1,R,0,140,0.684,0.223,2,14.8,-168.23,0,0,1,5,4,R,bdg06213,190,86,0.604,78,4242.489,155,138,36,150,93,60.464,-0.509,-0.54,0.038,-0.08,0.152,0,0,0,-0.197,-36.9,-0.147,-17.025,-19.834,-43.432,-12.38,-61.188,22.946,-48.911,9.725,-63.848,41.036,-85.388,3.147,-109.339,-37.126,-77.548,4248.158,3.09,-77.341,4248.358,5,인생최패망자,3.042,-76.497,0,0,0,0,0,0,0,1
137,7,1,2,2,0,0,1,0,0,0,255,255,255,72,4270.91,신과함께1,R,10,128,0.351,-0.906,2,0,400,0,0,1,6,1,L,Pring__,180.4,90.045,0.475,78,4271.714,186,144,26,155,128,-25.843,8.472,0.34,0.018,-0.039,0.411,0,0,0,-0.32,-36.836,-0.126,-17.115,-19.691,-44.479,-11.064,-59.487,22.645,-50.387,13.301,-64.428,36.466,-86.38,-1.536,-107.204,-35.853,-76.989,4271.48,-0.089,-20.844,4275.136,7,Gonyong,-12.404,-101.807,1,0,0,0,0,0,0,2
138,7,1,2,2,0,0,1,0,0,1,255,255,0,73,4321.608,신과함께1,R,3,119,-1.228,0.276,2,-500,0,0,0,1,7,5,R,mungjungh,160,100.421,0.551,78,4322.585,13,20,14,3,30,13.695,24.355,0.67,-0.056,-0.019,0.054,0,0,0,-0.128,-36.739,-0.332,-17.182,-19.661,-42.748,-10.411,-59.909,16.133,-41.23,9.501,-65.851,37.62,-97.487,-0.195,-104.693,-34.732,-67.817,4323.469,-3.833,-28.659,4325.48,2,Eaglebuter,-7.097,-34.871,1,0,0,0,0,0,0,2
139,7,1,3,2,0,0,1,1,0,0,5,255,255,74,4356.847,신과함께1,R,13,126,-0.352,-0.026,0,-323.229,381.475,0.053,-17.719,0,8,6,L,SOM_candy,179.9,98.01,0.581,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-36.802,-0.032,-17.241,-19.526,-40.17,-7.535,-59.494,18.784,-42.356,12.929,-60.713,37.623,-97.317,2.831,-108.9,-39.491,-75.849,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
140,7,1,3,2,0,1,1,1,0,0,5,255,255,75,4377.612,신과함께1,R,0,139,-2.056,0.015,2,130.867,-130.217,0,0,1,8,6,L,SOM_candy,179.9,98.01,0.581,40,4378.558,11,10,4,0,43,8.816,19.226,-0.44,0.015,0.004,0.019,0,0,0,-0.12,-36.666,-0.052,-17.031,-19.515,-40.273,-8.362,-59.166,16.29,-41.063,13.62,-62.155,37.618,-97.335,2.68,-108.55,-40.133,-76.254,4379.513,-4.567,-32.487,4382.602,3,schmoneymikey,-11.743,-46.958,0,0,0,0,0,0,0,2
141,7,1,3,2,0,0,2,0,1,0,255,5,255,76,4423.276,신과함께1,R,3,121,-0.089,-0.562,2,-441.714,234.283,0,0,1,0,0,L,NABIMan,190,99,0.53,39,4424.28,189,149,45,155,104,20.29,-38.881,0.02,-0.021,-0.077,0.465,0,0,0,-0.033,-36.593,-0.097,-17.17,-19.445,-41.499,-9.952,-60.382,20.767,-46.659,11.659,-63.351,37.605,-97.329,-2.482,-97.321,-37.681,-76.218,4426.847,38.657,-70.783,4431.347,6,Kr_Luna,54.797,-96.203,1,0,0,0,0,0,0,2
142,7,1,4,2,0,0,2,0,1,0,255,0,255,77,4465.533,신과함께1,R,0,131,0.863,-0.124,2,250,-54.82,0,0,1,1,3,R,_앰프_,170.6,90,0.396,78,4466.592,255,141,41,155,89,-38.983,38.197,-0.55,-0.059,-0.075,0.429,0,0,0,0.036,-36.748,-0.333,-17.349,-19.43,-39.652,-9.825,-60.005,20.863,-45.048,1.74,-60.099,40.831,-95.91,2.798,-106.476,-38.313,-76.799,4466.402,-0.592,-20.836,4471.013,-1,Saƅer,-34.363,-63.787,1,1,0,0,0,0,0,2
143,7,0,4,2,0,0,0,0,0,0,255,255,255,64,4533.115,NABIMan,R,1,90,2.444,-0.527,2,0,0,0,0,1,3,3,L,schmoneymikey,190,100,0.6,78,4534.048,181,133,15,153,130,37.839,0.221,0.2,0.064,-0.129,0.186,0,0,0,-0.22,-36.745,0.046,-16.918,-20.827,-49.241,-13.875,-62.115,23.687,-48.512,15.744,-63.135,46.774,-86.285,1.022,-107.13,-43.272,-90.001,4540.069,1.078,-134.888,4542.98,7,소솨소솨,1.321,-125.064,1,0,0,0,0,0,0,2
144,7,0,4,2,0,0,0,0,1,0,255,12,255,65,4564.811,NABIMan,R,12,115,1.243,-0.454,0,0,73.699,0,0,0,4,5,R,인생최패망자,180.2,90,0.45,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,-37.57,0.049,-17.028,-19.268,-43.906,-10.702,-58.52,20.812,-44.213,11.894,-54.486,37.612,-78.904,0.967,-107.692,-42.266,-89.289,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
