id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,219.942,인생최패망자,R,26,140,-0.579,1.069,-0.052,1.823,-36.221,1,0,-6.037,-200,33.22,0,0,0,1,2,L,CAT tourniquet,190,94.945,0.357,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-38.139,encounter v,-0.044,-16.963,Yaksok~,-21.716,-48.03,Tamari_,-11.098,-63.452,_이누_,22.386,-51.457,소솨소솨,16.393,-62.211,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,234.265,인생최패망자,R,6,112,-1.503,0.775,-0.238,1.841,-36.389,2,0,381.014,0,53.385,0,0,1,1,2,L,CAT tourniquet,190,94.945,0.357,3,122,235.314,119,77,74,33,53,135,91,90.3,-88.063,-0.44,0.043,-0.089,0.083,0,0,0,-0.326,-37.304,encounter v,-0.099,-17.053,Yaksok~,-21.563,-48.47,Tamari_,-12.953,-62.968,_이누_,22.376,-51.467,소솨소솨,16.431,-62.193,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,241.866,1,encounter v,-11.259,-15.399,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,268.273,인생최패망자,R,13,109,1.29,-0.692,0.279,1.691,-36.304,2,0,-405.08,287.899,6.923,0,0,1,1,5,R,coder_,171.1,95,0.448,3,116,269.356,170,68,106,47,21,134,100,8.165,21.54,0.93,0.002,0.004,0.117,0,0,0,0.196,-37.011,encounter v,-0.052,-17.019,Yaksok~,-21.418,-47.454,Tamari_,-12.72,-63.936,_이누_,20.339,-53.23,소솨소솨,16.607,-64.925,AI,35.7,-81.8,AI,0,-100.6,-라후이-,-34.686,-84.178,0,0,0,271.033,3,Tamari_,-11.453,-60.098,0,0,0,0,0,0,0,1
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,297.117,인생최패망자,R,26,137,0.834,0.862,0.083,1.758,-36.217,2,0,-19.996,-200,34.923,0,0,1,2,3,R,Megu3568,174.7,86,0.402,3,112,298.2,182,88,49,17,48,136,118,101.818,-44.914,0.73,0.013,0.033,0.094,0,0,0,0.211,-37.358,encounter v,-0.07,-17.048,Yaksok~,-20.657,-48.112,Tamari_,-14.304,-64.383,_이누_,21.724,-53.589,소솨소솨,14.784,-63.616,AI,35.7,-81.8,AI,0,-100.6,-라후이-,-38.024,-85.21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,0,1,2,0,0,0,255,255,255,4,314.715,인생최패망자,R,10,117,1.013,1.057,0.094,2.042,-36.305,0,0,0,400,11.914,0.009,-17.227,0,2,3,R,Megu3568,174.7,86,0.402,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.778,encounter v,-0.046,-17.019,Yaksok~,-20.671,-48.115,Tamari_,-14.955,-63.837,_이누_,20.871,-51.992,소솨소솨,14.811,-63.596,AI,35.7,-81.8,AI,0,-100.6,-라후이-,-38.92,-86.072,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,2,2,0,0,0,255,255,255,5,328.767,인생최패망자,R,26,140,0.659,-1.963,0.041,1.295,-36.21,1,0,83.131,-200,45.812,0.124,-17.693,0,2,3,R,Megu3568,174.7,86,0.402,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055,-37.894,encounter v,-0.04,-17.016,Yaksok~,-20.828,-47.781,Tamari_,-14.165,-63.542,_이누_,20.945,-52.076,소솨소솨,14.689,-63.695,AI,35.7,-81.8,AI,0,-100.6,-라후이-,-39.056,-86.376,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,2,2,0,0,0,255,255,255,6,342.668,인생최패망자,R,3,95,1.16,-0.369,0.47,1.69,-36.471,0,0,-329.976,53.459,16.101,0,0,1,2,3,R,Megu3568,174.7,86,0.402,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-38.065,encounter v,-0.065,-16.746,Yaksok~,-20.658,-46.091,Tamari_,-13.179,-61.698,_이누_,20.933,-52.07,소솨소솨,14.755,-63.642,AI,35.7,-81.8,AI,0,-100.6,-라후이-,-38.967,-88.385,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,502.176,눈꽃,R,47,87,-31.173,-2.814,0.105,1.131,-37.969,4,0,81.56,16.871,-3.25,-1.747,-32.44,1,0,3,R,Tamari_,169.5,86,0.23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.384,-38.739,ゆっち一,-0.079,-16.378,CAT tourniquet,-21.365,-47.682,Megu3568,-12.513,-57.18,Apple_Sherbet,22.233,-50.263,coder_,12.313,-65.514,AI,35.7,-81.8,ke ro,0.35,-108.287,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,255,255,255,1,517.386,눈꽃,R,28,133,-1.403,0.462,-0.131,1.838,-36.423,0,0,0.993,-57.636,6.638,0,0,0,0,3,R,Tamari_,169.5,86,0.23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046,-37.689,ゆっち一,-0.096,-16.433,CAT tourniquet,-21.4,-47.693,Megu3568,-14.073,-60.126,Apple_Sherbet,22.237,-50.348,coder_,12.345,-65.626,AI,35.7,-81.8,ke ro,1.164,-108.503,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,2,530.484,눈꽃,R,10,109,0.188,-0.42,0.017,1.901,-36.528,0,0,0,400,20.652,0.204,-16.931,0,0,3,R,Tamari_,169.5,86,0.23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,-37.606,ゆっち一,-0.026,-16.891,CAT tourniquet,-21.327,-47.691,Megu3568,-14.044,-60.118,Apple_Sherbet,22.007,-50.026,coder_,12.511,-65.523,AI,35.7,-81.8,ke ro,0.656,-98.288,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,2,0,0,0,0,255,255,255,3,543.59,눈꽃,R,28,140,-0.993,0.408,-0.099,1.828,-36.448,0,0,16.596,-57.741,11.089,0,0,1,0,3,R,Tamari_,169.5,86,0.23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,-37.115,ゆっち一,-0.087,-16.488,CAT tourniquet,-20.405,-46.359,Megu3568,-14.052,-60.101,Apple_Sherbet,22.223,-49.629,coder_,11.255,-66.211,AI,35.7,-81.8,ke ro,1.248,-102.553,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,1,0,0,0,255,255,255,4,567.963,눈꽃,R,14,104,-0.631,0.244,-0.221,1.999,-36.58,2,0,348.131,338.257,3.845,0,0,1,1,1,L,encounter v,190,95,0.447,3,93,569.126,171,164,100,40,104,150,128,111.053,50.083,0.28,0.033,-0.07,0.084,0,0,0,-0.11,-37.182,ゆっち一,-0.104,-16.76,CAT tourniquet,-21.54,-49.3,Megu3568,-10.988,-60.869,Apple_Sherbet,22.449,-49.817,coder_,12.705,-65.342,AI,35.7,-81.8,ke ro,1.123,-107.075,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
13,1,0,0,0,0,1,1,0,0,0,255,255,255,5,584.114,눈꽃,R,0,140,-0.218,-0.199,-0.03,1.738,-36.534,2,0,20.594,-33.443,5.184,0,0,1,1,1,L,encounter v,190,95,0.447,3,49,585.188,133,110,56,31,45,143,97,25.683,-45.082,-0.38,0.039,-0.126,0.129,0,0,0,0.082,-37.347,ゆっち一,-0.079,-16.697,CAT tourniquet,-21.602,-49.479,Megu3568,-12.005,-60.769,Apple_Sherbet,21.793,-49.461,coder_,13.589,-64.872,AI,35.7,-81.8,ke ro,1.508,-107.388,AI,-35.7,-81.8,588.977,62.88,-64.671,0,0,,0,0,0,0,0,0,0,0,0,3
14,1,0,0,0,0,2,1,0,0,0,255,255,255,6,601.583,눈꽃,R,27,140,-1.603,1.301,-0.14,1.998,-36.538,2,0,-22.627,-109.768,12.797,0,0,1,1,1,L,encounter v,190,95,0.447,3,48,602.593,176,129,28,3,83,150,98,21.194,-40.554,-0.44,0.023,-0.064,0.298,0,0,0,0.04,-37.059,ゆっち一,-0.119,-16.71,CAT tourniquet,-21.292,-49.321,Megu3568,-11.392,-60.009,Apple_Sherbet,23.137,-50.87,coder_,14.409,-64.214,AI,35.7,-81.8,ke ro,0.851,-104.622,Sabo_10,-16.117,-21.684,606.248,59.25,-69.395,0,0,,0,0,0,0,0,0,0,0,0,3
15,1,0,0,0,0,2,1,0,0,0,255,255,255,7,628.271,눈꽃,R,0,119,1.409,0.388,0.131,1.864,-36.557,2,0,0.429,0,1.057,0,0,1,1,1,L,encounter v,190,95,0.447,3,48,629.352,212,188,107,42,106,150,112,26.617,-39.326,0.88,0.053,-0.09,0.095,0,0,0,0.185,-37.075,ゆっち一,0.534,-16.493,CAT tourniquet,-22.128,-48.786,Megu3568,-11.134,-59.131,Apple_Sherbet,24.559,-50.628,coder_,15.8,-62.989,AI,34.883,-75.508,ke ro,0.377,-106.816,Sabo_10,-36.675,-86.79,636.192,42.979,-103.415,640.664,3,Megu3568,0.459,-59.578,1,0,0,0,0,0,0,2
16,1,0,0,0,0,0,1,0,1,0,255,10,255,8,667.404,눈꽃,R,26,131,1.209,1.326,0.089,1.934,-36.614,2,0,60.443,-200,14.332,0,0,1,2,5,R,소솨소솨,174.8,95.643,0.5,2,90,668.245,193,81,7,5,129,118,74,-9.468,28.561,-0.53,0.025,-0.087,0.155,0,0,0,0.174,-36.89,ゆっち一,-0.041,-16.686,CAT tourniquet,-20.363,-48.135,Megu3568,-10.919,-57.496,Apple_Sherbet,22.52,-49.295,coder_,14.09,-61.468,AI,35.7,-81.8,ke ro,0.23,-105.495,Sabo_10,-36.505,-82.047,668.282,-2.951,-24.728,670.081,2,CAT tourniquet,-14.817,-45.794,0,0,0,0,0,0,0,2
17,1,0,0,0,0,0,1,0,0,1,255,255,10,9,774.601,눈꽃,R,27,121,0.192,-0.4,0.259,1.977,-36.718,0,0,15.568,-109.156,15.231,0,0,0,3,8,R,-라후이-,180,95,0.502,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,-37.06,ゆっち一,-0.106,-16.327,CAT tourniquet,-20.985,-48.769,Megu3568,-13.493,-63.184,Apple_Sherbet,21.911,-48.155,coder_,13.995,-64.806,AI,35.7,-81.8,ke ro,1.065,-101.763,Sabo_10,-41.235,-88.912,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,1,1,0,0,1,255,255,10,10,788.901,눈꽃,R,1,106,-2.356,1.98,-0.182,2.256,-37.546,1,0,0,0,0.977,0,0,0,3,8,R,-라후이-,180,95,0.502,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-37.351,ゆっち一,-0.188,-16.396,CAT tourniquet,-20.959,-48.749,Megu3568,-13.39,-63.183,Apple_Sherbet,22.822,-47.4,coder_,13.706,-64.717,AI,35.7,-81.8,ke ro,1.049,-106.321,Sabo_10,-40.567,-87.962,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,1,1,1,0,0,1,255,255,10,11,802.764,눈꽃,R,14,113,0.768,-1.387,-0.102,1.872,-36.559,2,0,351.931,355.169,7.565,0,0,1,3,8,R,-라후이-,180,95,0.502,2,87,803.644,230,112,74,46,82,150,126,-30,-31.495,0.33,-0.037,-0.079,0.116,0,0,0,-0.093,-37.087,ゆっち一,-0.074,-16.713,CAT tourniquet,-20.97,-48.716,Megu3568,-13.421,-63.066,Apple_Sherbet,20.159,-44.703,coder_,13.805,-64.972,AI,35.7,-81.8,ke ro,0.937,-106.353,Sabo_10,-41.964,-90.209,803.373,0.612,-21.287,809.56,3,Megu3568,0.898,-60.652,0,0,0,0,0,0,0,2
20,1,0,0,1,0,0,2,0,1,0,255,255,255,12,844.259,눈꽃,R,26,128,-0.209,0.052,0.056,1.92,-36.633,0,0,-40.667,-200,15.193,0,0,1,4,4,R,_이누_,190.4,90,0.5,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,-37.273,ゆっち一,-0.07,-16.31,CAT tourniquet,-19.236,-45.724,Megu3568,-12.285,-58.692,Apple_Sherbet,24.125,-50.46,coder_,9.344,-64.337,AI,35.7,-81.8,ke ro,0.486,-108.565,Sabo_10,-40.038,-85.541,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
21,1,0,0,1,0,1,2,0,1,0,255,255,255,13,859.304,눈꽃,R,14,108,2.182,-1.155,-0.021,1.875,-36.574,2,0,383.336,312.348,0.299,0,0,1,4,4,R,_이누_,190.4,90,0.5,2,85,860.353,117,72,67,42,23,133,41,25.064,17.838,0.31,-0.032,-0.092,0.082,0,0,0,0.098,-37.053,ゆっち一,0.007,-16.532,CAT tourniquet,-22.027,-48.258,Megu3568,-13.401,-62.934,Apple_Sherbet,24.108,-50.434,coder_,10.428,-63.226,AI,35.7,-81.8,ke ro,0.632,-108.601,Sabo_10,-41.142,-88.171,0,0,0,862.088,0,눈꽃,-4.645,-36.17,0,0,0,0,0,0,0,1
22,2,1,0,1,0,0,0,0,0,0,255,255,255,7,903.577,인생최패망자,R,26,139,-0.643,-0.877,-0.082,1.447,-36.247,0,0,82.444,-200,43.387,0,0,0,3,1,R,ゆっち一,190,95.602,0.334,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-38.242,encounter v,-0.071,-16.952,Yaksok~,-22.845,-50.696,Tamari_,-11.213,-64.276,_이누_,21.846,-52.907,소솨소솨,14.585,-63.989,vovopo 보보포,40.642,-86.567,AI,0,-100.6,-라후이-,-36.54,-84.466,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,2,1,0,1,0,1,0,0,0,0,255,255,255,8,914.994,인생최패망자,R,0,118,4.192,0.207,0.39,1.73,-36.414,1,0,0,0,9.084,0,0,0,3,1,R,ゆっち一,190,95.602,0.334,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,-37.619,encounter v,-0.066,-17.004,Yaksok~,-22.929,-50.668,Tamari_,-11.795,-64.181,_이누_,21.078,-52.782,소솨소솨,14.55,-65.259,vovopo 보보포,38.821,-86.433,AI,0,-100.6,-라후이-,-36.317,-84.378,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24,2,1,0,1,1,1,0,0,0,0,255,255,255,9,928.806,인생최패망자,R,13,94,0.539,-1.572,0.308,1.499,-36.31,2,0,-312.272,341.27,6.993,0,0,1,3,1,R,ゆっち一,190,95.602,0.334,3,84,930.014,237,115,68,39,69,150,130,50,-21.375,0.62,-0.054,-0.081,0.162,0,0,0,0.109,-37.205,encounter v,-0.041,-17.192,Yaksok~,-22.917,-50.651,Tamari_,-13.343,-63.604,_이누_,21.1,-52.894,소솨소솨,14.608,-64.527,vovopo 보보포,38.859,-86.442,AI,0,-100.6,-라후이-,-35.574,-84.949,943.671,2.139,-70.252,943.671,5,소솨소솨,3.199,-75.772,1,0,0,0,0,0,0,2
25,2,1,0,1,0,0,0,0,0,1,255,255,1,10,973.591,인생최패망자,R,26,131,1.437,0.69,0.125,1.767,-36.299,0,0,32.938,-164.079,40.33,0,0,0,4,4,R,Apple_Sherbet,190,89.641,0.297,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163,-38.006,encounter v,-0.081,-16.862,Yaksok~,-20.468,-47.906,Tamari_,-12.425,-63.236,_이누_,17.991,-49.08,소솨소솨,14.359,-63.866,vovopo 보보포,36.316,-83.644,AI,0,-100.6,-라후이-,-38.598,-87.407,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
26,2,1,0,1,0,1,0,0,0,1,255,255,1,11,992.927,인생최패망자,R,3,106,-0.286,-0.803,0.131,1.54,-36.297,0,0,-481.818,0,41.954,-0.546,-17.799,0,4,4,R,Apple_Sherbet,190,89.641,0.297,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069,-38.094,encounter v,-0.422,-17.66,Yaksok~,-21.789,-48.935,Tamari_,-13.913,-62.564,_이누_,16.992,-47.566,소솨소솨,14.123,-63.697,vovopo 보보포,37.253,-82.488,AI,0,-100.6,-라후이-,-38.406,-87.114,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
