id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
180,7,0,9,7,3,1,1,0,0,0,255,255,255,83,4639.684,"양_뭉이",R,13,60,105,-0.439,-1.834,0.115,1.867,-36.688,1,0,-372.687,312.348,0,-0.172,-18.705,0,2,7,R,"それいゆ るな",160,92.045,0.46,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.603,-37.239,0,"Pugeuk",-0.119,-17.206,0,"아침땅_",-21.539,-47.04,0,"HANA_ARASHI",-16.41,-60.536,0,"소솨소솨",18.047,-47.473,0,"하루（Haru）",9.841,-62.812,0,"アリアル",52.154,-85.272,0,"ke ro",-0.9,-109.054,0,"인생최패망자",-46.207,-91.737,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,5
181,7,0,9,7,0,0,1,1,0,0,17,255,255,84,4665.86,"양_뭉이",R,26,69,123,-1.014,-0.832,-0.135,1.814,-36.505,0,0,119.542,-156.308,0,0,0,0,3,8,L,"눈꽃",162.8,84.906,0.496,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.379,-37.455,0,"Pugeuk",-0.168,-17.183,0,"아침땅_",-19.677,-47.636,0,"HANA_ARASHI",-15.541,-62.585,0,"소솨소솨",19.075,-47.529,0,"하루（Haru）",11.251,-64.98,0,"アリアル",56.082,-90.918,0,"ke ro",-0.422,-112.484,0,"인생최패망자",-46.21,-91.739,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
182,7,0,9,7,0,1,1,1,0,0,17,255,255,85,4682.75,"양_뭉이",R,13,70,112,-1.816,-1.523,-0.031,1.908,-36.709,2,0,-351.242,355.85,0,0,0,1,3,8,L,"눈꽃",162.8,84.906,0.496,3,68,4683.949,255,12,156,68,85,150,102,31.108,47.702,0.1,0.047,-0.063,0,0.341,-0.775,-36.855,0,"Pugeuk",-0.072,-17.222,0,"아침땅_",-19.549,-48.148,0,"HANA_ARASHI",-15.613,-62.258,0,"소솨소솨",19.298,-47.154,0,"하루（Haru）",11.238,-64.766,0,"アリアル",56.28,-91.936,0,"ke ro",-0.405,-112.507,0,"인생최패망자",-46.206,-91.736,98,4682.347,-48.803,-67.161,4686.613,8,"인생최패망자",-70.33,-89.114,0,0,0,0,0,0,0,2
183,7,0,9,7,0,2,1,1,0,0,17,255,255,86,4710.157,"양_뭉이",R,13,64,108,-1.27,-1.094,0.046,1.966,-36.957,2,0,-383.336,312.348,0,0,0,1,3,8,L,"눈꽃",162.8,84.906,0.496,3,68,4711.439,251,20,64,88,40,143,82,-20.888,13.964,-0.67,0.017,-0.049,0,0.399,-0.801,-37.206,0,"Pugeuk",-0.04,-17.189,0,"아침땅_",-20.838,-47.256,69,"HANA_ARASHI",-13.374,-60.844,0,"소솨소솨",18.669,-47.049,0,"하루（Haru）",12.146,-63.598,94,"アリアル",52.897,-86.757,0,"ke ro",0.112,-109.481,0,"인생최패망자",-41.609,-83.902,0,4706.869,-0.385,-21.181,4709.068,3,"HANA_ARASHI",-8.154,-54.604,1,0,0,0,0,0,0,2
184,7,0,9,7,0,0,2,1,0,0,18,255,255,87,4741.459,"양_뭉이",R,3,66,110,-4.881,-2.136,-0.265,1.642,-36.555,4,0,-462.394,56.433,0,-1,-20.219,0,4,2,L,"Pring__",180.169,95.172,0.477,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.786,-37.582,0,"Pugeuk",-0.639,-17.865,0,"아침땅_",-18.163,-48.247,0,"HANA_ARASHI",-13.413,-60.749,0,"소솨소솨",17.997,-45.672,0,"하루（Haru）",11.703,-63.853,0,"アリアル",49.517,-83.822,0,"ke ro",2.153,-128.415,0,"인생최패망자",-47.314,-104.035,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
185,7,0,9,7,0,1,2,1,0,0,18,255,255,88,4759.905,"양_뭉이",R,32,63,119,1.421,0.204,0.036,1.952,-36.991,2,0,250,-200,0,0,0,0,4,2,L,"Pring__",180.169,95.172,0.477,3,68,4760.895,157,15,99,70,56,150,129,-15.566,-24.137,0.59,-0.017,-0.027,0,0.272,-0.581,-36.93,0,"Pugeuk",-0.088,-17.078,0,"아침땅_",-20.138,-45.873,0,"HANA_ARASHI",-12.058,-63.857,0,"소솨소솨",18.468,-45.862,0,"하루（Haru）",10.984,-63.771,86,"アリアル",52.098,-86.124,97,"ke ro",-3.738,-128.953,0,"인생최패망자",-50.769,-119.128,0,4756.191,1.917,-22.596,4765.491,6,"アリアル",31.479,-112.171,1,0,0,0,0,0,0,2
186,7,0,9,8,0,0,2,0,1,0,255,12,255,89,4800.12,"양_뭉이",R,3,64,108,-0.51,-0.635,0.158,1.894,-37.027,2,0,-490.909,0,0,0,0,1,5,6,R,"Pizzallaris",164.9,88.63,0.302,3,68,4801.382,197,19,136,60,105,150,122,10.889,11.15,0.65,-0.003,-0.001,0.095,0.124,-0.757,-36.935,0,"Pugeuk",-0.011,-17.187,0,"아침땅_",-21.082,-46.669,0,"HANA_ARASHI",-13.051,-62.63,0,"소솨소솨",19.822,-49.779,0,"하루（Haru）",11.961,-60.32,83,"アリアル",55.16,-92.652,0,"ke ro",-2.411,-109.761,0,"인생최패망자",-45.89,-90.789,0,4799.246,-23.41,-90.047,4803.491,8,"인생최패망자",-35.596,-114.878,1,0,0,0,0,0,0,2
187,7,0,9,9,0,0,2,0,1,0,255,255,255,90,4840.37,"양_뭉이",R,32,64,119,2.963,-0.69,0.15,1.902,-37.054,4,0,244.626,-7.403,0,0.039,-20.284,1,6,5,R,"Multeinn",160,95.058,0.501,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637,-37.469,0,"Pugeuk",0.05,-18.179,0,"아침땅_",-21.342,-46.912,0,"HANA_ARASHI",-13.642,-58.672,0,"소솨소솨",18.233,-47.468,0,"하루（Haru）",11.312,-63.304,0,"アリアル",46.639,-84.861,0,"ke ro",0.009,-107.528,0,"인생최패망자",-40.765,-91.353,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
188,7,0,9,9,2,0,2,0,1,0,255,255,255,91,4868.886,"양_뭉이",R,3,62,112,-1.196,-0.59,-0.014,1.902,-36.716,0,0,-252.944,0,0,-0.291,-17.356,0,6,5,R,"Multeinn",160,95.058,0.501,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681,-37.196,0,"Pugeuk",-0.075,-17.249,0,"아침땅_",-21.473,-46.404,0,"HANA_ARASHI",-12.416,-57.755,0,"소솨소솨",19.38,-40.092,0,"하루（Haru）",9.628,-62.646,0,"アリアル",46.397,-82.699,0,"ke ro",-0.047,-108.104,0,"인생최패망자",-42.482,-92.978,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
189,7,0,9,9,2,1,2,0,0,1,255,255,16,92,4894.239,"양_뭉이",R,13,59,104,-1.917,-1.718,-0.02,1.884,-36.78,2,0,-369.138,312.348,0,0,0,1,6,5,R,"Multeinn",160,95.058,0.501,2,31,4895.233,255,22,123,125,86,150,75,-67.377,61.915,-0.97,-0.116,-0.092,0,0.437,-0.654,-36.964,0,"Pugeuk",-0.039,-17,0,"아침땅_",-21.106,-46.66,0,"HANA_ARASHI",-15.506,-59.806,0,"소솨소솨",18.152,-46.759,0,"하루（Haru）",11.65,-63.843,0,"アリアル",43.016,-83.562,0,"ke ro",0.496,-106.591,0,"인생최패망자",-42.227,-92.434,0,4890.558,-0.603,-20.386,0,0,"",0,0,0,0,0,0,0,0,0,3
