id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
163,7,0,4,5,0,2,0,1,0,0,10,255,255,80,4859.923,"소솨소솨",R,33,87,140,-1.472,-0.924,-0.13,1.416,-36.745,4,0,113.015,-111.167,0,0,0,1,4,5,L,"_Chun",160,107,0.452,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259,-37.861,0,"Slaris",-0.288,-17.493,0,"それいゆ るな",-20.005,-40.168,0,"아침땅_",-12.451,-65.355,0,"Kr_Luna",16.789,-44.377,0,"Oort__Cloud",14.754,-63.759,0,"Pugeuk",43.871,-92.608,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
164,7,0,4,5,0,0,1,1,0,0,10,255,255,81,4883.22,"소솨소솨",R,27,80,132,-3.099,-1.405,-0.267,1.262,-36.762,2,0,56.832,-140.44,0,0,0,1,5,0,L,"Yaksok~",190,99.373,0.301,3,76,4884.139,0,0,0,0,0,0,0,50,53.365,59.055,-0.51,0,0,0,0,-0.113,-37.41,0,"Slaris",-0.046,-17.595,0,"それいゆ るな",-19.998,-39.995,0,"아침땅_",-8.832,-66.526,0,"Kr_Luna",19.03,-49.357,0,"Oort__Cloud",14.87,-63.413,0,"Pugeuk",42.611,-91.26,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,1
165,7,0,4,5,0,0,2,1,0,0,10,255,255,82,4915.67,"소솨소솨",R,26,79,130,1.25,-0.316,0.033,1.517,-36.684,2,0,67.8,-173.746,0,0,0,1,6,8,R,"WhiteMountain",190,107,0.398,2,76,4916.844,120,10,126,55,6,240,147,112,22.269,29.605,0.09,-0.06,-0.03,0.252,0,-0.118,-37.468,0,"Slaris",-0.048,-17.656,0,"それいゆ るな",-20.127,-41.57,0,"아침땅_",-14.281,-64.399,0,"Kr_Luna",17.855,-48.044,0,"Oort__Cloud",10.743,-65.576,0,"Pugeuk",41.505,-90.576,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,4917.993,-58.804,-97.57,0,0,"",0,0,1,0,0,0,0,0,0,2
166,7,0,4,5,0,0,2,1,0,1,17,255,10,83,4948.747,"소솨소솨",R,28,82,135,-1.115,-1.632,-0.067,1.278,-36.758,2,0,11.25,-80.933,0,0,0,1,7,7,R,"Riyaj",175.4,80,0.2,3,76,4949.557,220,25,101,54,17,116,148,112,-30,39.015,0.93,-0.05,-0.039,0.054,0,-0.096,-37.486,0,"Slaris",-0.044,-17.69,0,"それいゆ るな",-19.913,-42.229,0,"아침땅_",-14.245,-64.428,0,"Kr_Luna",18.152,-49.683,0,"Oort__Cloud",14.996,-63.614,0,"Pugeuk",41.709,-91.995,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,4945.526,-0.699,-21.083,0,0,"",0,0,0,0,0,0,0,0,0,2
167,8,1,4,5,0,0,0,0,0,0,255,255,255,81,5010.434,"WhiteMountain",R,27,61,118,2.185,1.555,0.2,1.874,-36.722,1,0,80.558,-114.83,-24.893,0,0,0,2,4,L,"Kr_Luna",190,94.523,0.497,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205,-37.056,0,"Pring__",-0.002,-17.073,0,"CAT tourniquet",-20.381,-47.006,0,"버터밀크",-6.776,-66.572,0,"-라후이-",21.696,-51.968,0,"_Chun",10.06,-61.89,0,"AI",35.7,-81.8,0,"Riyaj",12.869,-112.305,0,"Yaksok~",-38.362,-92.689,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
168,8,1,4,5,1,0,0,0,0,0,255,255,255,82,5023.731,"WhiteMountain",R,10,61,108,-0.507,-0.684,0.071,1.721,-36.518,2,0,0,386.703,-20.449,0,0,0,2,4,L,"Kr_Luna",190,94.523,0.497,3,76,5024.561,92,31,96,77,61,79,138,110,8.97,-33.085,0.91,-0.025,-0.017,0.121,0,-0.647,-36.595,0,"Pring__",0.005,-17.101,0,"CAT tourniquet",-20.256,-46.67,0,"버터밀크",-6.747,-66.622,0,"-라후이-",20.958,-51.886,0,"_Chun",9.979,-61.933,0,"AI",35.7,-81.8,0,"Riyaj",14.011,-108.571,0,"Yaksok~",-37.542,-92.653,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,1
169,8,1,4,5,0,0,1,0,0,0,255,255,255,83,5049.549,"WhiteMountain",R,33,84,138,1.269,-0.189,0.157,1.653,-36.398,0,0,143.817,-67.586,-4.411,0,0,0,3,2,R,"それいゆ るな",160,89.534,0.45,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-37.238,0,"Pring__",0.004,-17.087,0,"CAT tourniquet",-19.83,-46.214,0,"버터밀크",-12.07,-60.702,0,"-라후이-",19.061,-48.246,0,"_Chun",9.863,-64.189,0,"AI",35.7,-81.8,0,"Riyaj",11.376,-105.543,0,"Yaksok~",-38.621,-87.782,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
170,8,1,4,5,0,1,1,0,0,0,255,255,255,84,5065.654,"WhiteMountain",R,4,74,121,1.271,-0.196,0.266,1.707,-36.535,2,0,-193.023,0,-3.615,0,0,1,3,2,R,"それいゆ るな",160,89.534,0.45,3,34,5066.764,154,12,63,31,0,75,127,78,23.983,25.56,-0.32,0.058,0.011,0.099,0,0.053,-37.018,0,"Pring__",0.004,-17.12,0,"CAT tourniquet",-20.238,-47.054,0,"버터밀크",-12.103,-60.825,0,"-라후이-",19.735,-50.865,0,"_Chun",10.212,-61.751,0,"AI",35.7,-81.8,0,"Riyaj",-7.223,-101.776,0,"Yaksok~",-38.625,-87.785,0,5066.493,-26.345,-71.658,0,0,"",0,0,1,0,0,0,0,0,0,2
171,8,1,4,5,0,0,1,1,0,0,8,255,255,85,5099.465,"WhiteMountain",R,32,85,139,-0.17,-0.475,0.134,1.671,-36.439,0,0,200.889,-85.766,8.726,0,0,1,4,5,R,"Oort__Cloud",159.6,80,0.2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-36.819,0,"Pring__",-0.015,-17.097,0,"CAT tourniquet",-19.776,-43.68,0,"버터밀크",-9.662,-59.201,0,"-라후이-",18.223,-45.745,0,"_Chun",8.28,-60.945,0,"AI",35.7,-81.8,0,"Riyaj",-10.188,-108.91,0,"Yaksok~",-43.417,-88.654,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
172,8,1,4,5,0,1,1,1,0,0,8,255,255,86,5114.742,"WhiteMountain",R,0,69,122,3.629,2.201,0.205,1.924,-36.877,1,0,-48.135,0,7.282,0,0,0,4,5,R,"Oort__Cloud",159.6,80,0.2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216,-37.096,0,"Pring__",0.006,-17.1,0,"CAT tourniquet",-19.805,-43.937,0,"버터밀크",-13.358,-61.114,0,"-라후이-",18.299,-44.591,0,"_Chun",8.091,-61.031,0,"AI",35.7,-81.8,0,"Riyaj",-11.908,-105.903,0,"Yaksok~",-43.42,-88.654,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
173,8,1,4,5,1,1,1,1,0,0,8,255,255,87,5133.374,"WhiteMountain",R,34,84,138,-2.258,-1.26,-0.105,1.601,-36.445,4,0,88.976,-53.716,3.552,0,0,1,4,5,R,"Oort__Cloud",159.6,80,0.2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.317,-37.33,0,"Pring__",-0.112,-17.196,0,"CAT tourniquet",-19.543,-44.325,0,"버터밀크",-12.113,-61.715,0,"-라후이-",18.092,-44.67,0,"_Chun",7.376,-60.647,0,"AI",35.7,-81.8,0,"Riyaj",-9.277,-104.32,0,"Yaksok~",-43.414,-88.656,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
174,8,1,4,5,1,2,1,1,0,0,8,255,255,88,5146.65,"WhiteMountain",R,33,80,132,-3.373,-1.933,-0.23,1.495,-36.376,4,0,109.595,-107.429,14.382,-0.824,-17.415,1,4,5,R,"Oort__Cloud",159.6,80,0.2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38,-37.88,0,"Pring__",-1.017,-18.265,0,"CAT tourniquet",-19.426,-43.652,0,"버터밀크",-9.991,-61.815,0,"-라후이-",18.25,-45.761,0,"_Chun",8.039,-60.271,0,"AI",35.7,-81.8,0,"Riyaj",-10.792,-106.047,0,"Yaksok~",-43.424,-88.653,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
175,8,1,4,5,0,0,2,0,1,0,255,2,255,89,5168.903,"WhiteMountain",R,10,77,106,-1,-2.969,-0.117,1.411,-36.283,4,0,0,400,45.538,-0.183,-21.015,1,5,3,R,"아침땅_",160,95.405,0.5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237,-37.097,0,"Pring__",-0.012,-16.948,0,"CAT tourniquet",-20.279,-46.102,0,"버터밀크",-13.554,-63.555,0,"-라후이-",17.17,-43.512,0,"_Chun",3.205,-61.881,0,"AI",35.7,-81.8,0,"Riyaj",-12.634,-108.274,0,"Yaksok~",-38.749,-91.493,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
176,8,1,4,5,0,1,2,0,1,0,255,2,255,90,5183.268,"WhiteMountain",R,29,59,101,-2.279,-0.976,-0.111,1.611,-36.266,1,0,-229.546,-4.089,12.151,-0.728,-17.617,0,5,3,R,"아침땅_",160,95.405,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.244,-37.472,0,"Pring__",-0.044,-16.978,0,"CAT tourniquet",-20.475,-46.399,0,"버터밀크",-13.541,-63.565,0,"-라후이-",20.103,-48.099,0,"_Chun",6.549,-61.4,0,"AI",35.7,-81.8,0,"Riyaj",-12.793,-110.226,0,"Yaksok~",-40.974,-90.12,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
177,8,1,4,5,1,1,2,0,1,0,255,2,255,91,5198.009,"WhiteMountain",R,33,76,128,3.759,0.82,0.184,1.768,-36.631,3,0,116.685,-103.371,5.038,0.618,-19.879,0,5,3,R,"아침땅_",160,95.405,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238,-37.031,0,"Pring__",-0.034,-17.023,0,"CAT tourniquet",-19.848,-46.538,0,"버터밀크",-14.429,-64.278,0,"-라후이-",19.491,-47.75,0,"_Chun",5.425,-62.505,0,"AI",35.7,-81.8,0,"Riyaj",-12.581,-109.378,0,"Yaksok~",-40.976,-90.119,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
178,8,1,4,5,3,1,2,0,1,0,255,2,255,92,5220.156,"WhiteMountain",R,12,66,105,-0.039,-0.353,0.091,1.748,-36.437,0,0,0,84.082,29.03,0,0,0,5,3,R,"아침땅_",160,95.405,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-36.748,0,"Pring__",-0.022,-16.855,0,"CAT tourniquet",-19.944,-45.727,0,"버터밀크",-15.025,-63.921,0,"-라후이-",19.494,-45.592,0,"_Chun",5.379,-62.202,0,"AI",35.7,-81.8,0,"Riyaj",-12.559,-109.686,0,"Yaksok~",-40.988,-90.162,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
179,8,1,4,5,3,2,2,0,1,0,255,2,255,93,5231.424,"WhiteMountain",R,33,76,128,1.234,-0.437,0.075,1.628,-36.477,2,0,100.837,-57.142,4.843,0,0,1,5,3,R,"아침땅_",160,95.405,0.5,2,36,5232.323,130,8,91,36,0,180,139,85,-6.683,16.474,0.96,-0.008,-0.04,0.073,0,-0.56,-36.675,0,"Pring__",-0.437,-16.793,0,"CAT tourniquet",-20.293,-46.416,0,"버터밀크",-15.023,-63.914,0,"-라후이-",19.244,-46.533,0,"_Chun",1.459,-62.021,0,"AI",35.7,-81.8,0,"Riyaj",-12.203,-112.072,0,"Yaksok~",-40.972,-90.099,0,5228.315,-0.764,-21.415,0,0,"",0,0,0,0,0,0,0,0,0,3
180,8,1,4,5,3,2,2,0,1,0,255,2,255,94,5248.271,"WhiteMountain",R,3,53,87,-2.687,-0.903,0.067,1.483,-36.236,4,0,-395.455,0,-25.438,0,0,1,5,3,R,"아침땅_",160,95.405,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076,-37.051,0,"Pring__",-0.656,-17.016,0,"CAT tourniquet",-20.02,-42.67,0,"버터밀크",-15.645,-63.45,0,"-라후이-",18.593,-48.842,0,"_Chun",6.825,-61.229,0,"AI",35.7,-81.8,0,"Riyaj",-13.543,-112.322,0,"Yaksok~",-40.685,-89.546,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
