id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
39,2,0,2,1,0,0,1,0,0,0,255,255,255,14,1832.237,D_arling,R,0,135,0.795,-2.697,1,101.479,-105.341,0.096,-17.157,0,5,1,R,TaeGeuk_,177.3,55,0,0,0,0,0,0,0,0,0,0,0,-0.12,-37.009,-0.037,-17.453,-23.09,-48.247,-11.286,-64.151,22.161,-52.229,12.256,-62.341,40.439,-81.058,2.065,-103.007,-37.528,-84.402,0,0,0,0,0,,0,0,0,0,0
40,2,0,2,1,1,0,1,0,0,0,255,255,255,15,1851.977,D_arling,R,0,140,-1.159,1.387,1,44.953,115.532,0,0,0,5,1,R,TaeGeuk_,177.3,55,0,0,0,0,0,0,0,0,0,0,0,-0.167,-36.842,-0.058,-17.226,-22.689,-47.286,-13.118,-64.086,22.283,-52.307,12.44,-62.639,40.353,-81.238,2.025,-102.978,-39.447,-87.514,0,0,0,0,0,,0,0,0,0,0
41,2,0,2,1,2,0,1,0,0,0,255,255,255,16,1876.154,D_arling,R,3,78,1.38,0.112,0,-354.545,0,0,0,0,5,1,R,TaeGeuk_,177.3,55,0,0,0,0,0,0,0,0,0,0,0,0.418,-37.437,-0.076,-17.285,-21.976,-45.21,-13.105,-64.499,22.423,-52.124,12.19,-63.014,40.229,-81.125,1.35,-104.978,-39.538,-89.3,0,0,0,0,0,,0,0,0,0,0
42,2,0,2,1,2,1,1,0,0,0,255,255,255,17,1895.507,D_arling,R,14,94,1.358,-0.229,2,197.424,400,0,0,1,5,1,R,TaeGeuk_,177.3,55,1896.518,99,158,56,141,123,-18.404,-37.081,0.765,-0.107,0.007,-0.168,-37.083,0.073,-17.368,-23.074,-48.538,-13.126,-64.52,22.376,-51.259,12.743,-63.844,40.312,-81.215,1.235,-104.928,-39.531,-89.303,1896.235,2.214,-23.538,1897.576,4,_이누_,21.081,-47.956,0,0,2
43,2,0,2,1,0,0,2,0,0,0,255,255,255,18,1923.963,D_arling,R,0,113,0.875,-1.246,1,22.918,-101.829,0,0,0,6,6,R,소솨소솨,175.2,45,0,0,0,0,0,0,0,0,0,0,0,0.023,-37.294,-0.02,-17.406,-24.571,-49.435,-12.648,-64.55,21.893,-50.646,12.904,-62.729,39.806,-79.648,1.099,-104.073,-41.955,-89.203,0,0,0,0,0,,0,0,0,0,0
44,2,0,2,1,1,0,2,0,0,0,255,255,255,19,1940.043,D_arling,R,0,101,0.996,1.714,2,145.285,-200,0,0,1,6,6,R,소솨소솨,175.2,45,1941.061,110,232,75,152,122,38.645,13.267,0.509,-0.075,-0.182,-0.202,-37.203,0.021,-17.389,-24.611,-49.293,-12.57,-64.647,23.081,-52.366,12.838,-62.645,39.764,-79.719,1.039,-104.281,-41.966,-89.207,1946.932,-21.72,-123.72,1949.799,7,crani,-21.366,-131.258,1,0,2
45,2,0,2,1,0,0,2,0,1,0,255,15,255,20,1986.932,D_arling,R,0,140,0.829,0.138,0,192.009,-200,0.333,-18.105,0,7,4,R,Espressο,190,55,0,0,0,0,0,0,0,0,0,0,0,0.147,-36.914,0.076,-17.505,-23.034,-48.124,-12.349,-65.155,20.199,-48.711,4.89,-59.285,34.523,-81.817,3.818,-104.686,-41.259,-90.004,0,0,0,0,0,,0,0,0,0,0
46,2,0,2,1,0,1,2,0,1,0,255,15,255,21,2005.65,D_arling,R,13,104,-2.606,-0.698,4,-346.973,339.585,-0.985,-17.07,1,7,4,R,Espressο,190,55,0,0,0,0,0,0,0,0,0,0,0,0.075,-37.266,-0.389,-16.994,-22.924,-48.317,-11.494,-64.114,19.869,-47.65,5.77,-60.914,38.453,-80.943,3.839,-104.699,-41.245,-90.001,0,0,0,0,0,,0,0,0,0,0
47,2,0,2,1,0,2,2,0,1,0,255,15,255,22,2027.113,D_arling,R,0,88,0.238,-0.311,0,32.585,-7.062,0,0,1,7,4,R,Espressο,190,55,0,0,0,0,0,0,0,0,0,0,0,-0.119,-36.937,0.064,-17.611,-21.994,-47.072,-12.717,-63.924,21.58,-48.16,5.56,-59.62,39.647,-81.85,2.709,-104.796,-41.27,-89.978,0,0,0,0,0,,0,0,0,0,0
48,3,1,2,1,0,0,0,0,0,0,255,255,255,24,2079.378,CAT tourniquet,L,0,96,1.859,-0.233,2,-98,-68.244,0,0,1,0,6,R,별이__,174.6,55,2080.665,95,127,20,131,65,-36.377,27.706,1,0.012,-0.032,0.308,-37.392,-0.096,-17.444,-23.29,-48.357,-13.48,-62.07,22.018,-50.407,11.988,-59.77,35.559,-89.053,-0.378,-111.332,-38.787,-79.214,2080.327,-0.132,-20.133,2083.094,2,-Alta-,-14.235,-45.542,0,0,2
