id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
170,6,0,4,10,1,2,1,0,0,0,255,255,255,94,3989.183,Pring__,R,32,127,1.217,0.091,0.017,1.428,-36.441,0,0,221.876,-119.522,6.829,0,0,1,3,1,L,Sabo_10,184.8,94,0.6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068,-37.271,눈꽃,0.026,-16.926,coder_,-19.958,-46.624,_Chun,-12.514,-61.672,아침땅_,23.979,-48.527,소솨소솨,17.859,-61.483,それいゆ るな,39.916,-88.798,Oort__Cloud,4.062,-115.552,별이__,-46.869,-96.738,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
171,6,0,4,10,0,0,2,0,0,0,255,255,255,95,4013.83,Pring__,R,13,99,-8.776,-2.738,-0.655,1.088,-36.355,1,0,-351.391,312.348,-20.914,-1.553,-21.056,0,4,0,L,IllilliIIIIllil,174.5,86,0.497,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.662,-37.598,눈꽃,-0.059,-16.984,coder_,-22.93,-54.155,_Chun,-12.628,-61.615,아침땅_,23.94,-48.529,소솨소솨,20.75,-59.34,それいゆ るな,40.561,-88.365,Oort__Cloud,4.091,-115.568,별이__,-46.705,-96.753,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
172,6,0,4,10,1,0,2,0,0,0,255,255,255,96,4044.769,Pring__,R,32,126,-0.88,-0.171,-0.117,1.394,-36.374,0,0,250,-141.081,7.946,0,0,1,4,0,L,IllilliIIIIllil,174.5,86,0.497,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24,-37.782,눈꽃,0.001,-16.851,coder_,-22.778,-53.789,_Chun,-12.458,-61.761,아침땅_,23.923,-48.523,소솨소솨,19.594,-60.516,それいゆ るな,41.585,-89.289,Oort__Cloud,4.194,-115.538,별이__,-46.763,-96.768,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
173,6,0,4,10,1,1,2,0,0,0,255,255,255,97,4061.206,Pring__,R,32,125,0.922,0.468,-0.007,1.461,-36.498,0,0,249.756,-148.39,1.308,0,0,0,4,0,L,IllilliIIIIllil,174.5,86,0.497,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.263,-37.438,눈꽃,-0.027,-16.935,coder_,-22.866,-53.505,_Chun,-12.486,-61.733,아침땅_,23.966,-48.435,소솨소솨,19.614,-60.989,それいゆ るな,41.829,-89.629,Oort__Cloud,4.242,-115.57,별이__,-46.839,-97.064,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
174,6,0,4,10,1,2,2,0,0,0,255,255,255,98,4074.983,Pring__,R,32,127,1.092,-0.939,0.007,1.317,-36.42,2,0,250,-100.227,1.674,0,0,1,4,0,L,IllilliIIIIllil,174.5,86,0.497,3,64,4076.158,68,52,47,60,29,119,95,11.678,-8.884,0.93,0.01,0.014,0.019,0,0,0,0,-0.351,-37.13,눈꽃,-0.043,-16.922,coder_,-22.331,-52.463,_Chun,-12.463,-61.724,아침땅_,23.896,-48.475,소솨소솨,19.679,-60.766,それいゆ るな,41.825,-89.632,Oort__Cloud,4.134,-115.562,별이__,-46.9,-97.153,4078.161,10.923,-66.174,4085.578,7,Oort__Cloud,27.426,-123.798,1,0,0,0,0,0,0,2
175,6,0,4,11,0,0,2,0,0,0,255,255,255,99,4123.833,Pring__,R,32,123,1.652,0.2,0.05,1.441,-36.498,1,0,195.281,-109.491,-1.119,0,0,0,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.537,눈꽃,0.049,-17.044,coder_,-18.199,-50.795,_Chun,-11.167,-60.457,아침땅_,21.797,-45.71,소솨소솨,18.21,-61.074,それいゆ るな,44.884,-91.834,Oort__Cloud,3.774,-115.575,별이__,-41.233,-99.705,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
176,6,0,4,11,1,0,2,0,0,0,255,255,255,100,4136.592,Pring__,R,32,126,1.015,0.017,0.001,1.418,-36.411,0,0,238.927,-124.822,3.737,0,0,0,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075,-37.701,눈꽃,-0.004,-17.026,coder_,-18.228,-50.819,_Chun,-11.094,-60.504,아침땅_,21.774,-45.744,소솨소솨,17.127,-61.183,それいゆ るな,44.611,-91.486,Oort__Cloud,3.81,-115.602,별이__,-44.515,-94.942,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
177,6,0,4,11,1,1,2,0,0,0,255,255,255,101,4151.17,Pring__,R,32,125,0.633,0.719,-0.011,1.5,-36.394,0,0,194.948,-96.248,3.171,0,0,1,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255,-37.505,눈꽃,-0.044,-16.839,coder_,-19.152,-50.731,_Chun,-11.209,-60.394,아침땅_,21.812,-45.733,소솨소솨,17.436,-62.094,それいゆ るな,44.201,-90.408,Oort__Cloud,3.747,-115.602,별이__,-44.149,-94.973,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
178,6,0,4,11,1,2,2,0,0,0,255,255,255,102,4169.105,Pring__,R,32,129,-4.337,-0.741,-0.329,1.337,-36.247,1,0,250,-117.292,11.155,-1.033,-17.137,0,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,-37.799,눈꽃,-0.358,-16.943,coder_,-19.749,-51.283,_Chun,-10.732,-60.676,아침땅_,21.793,-45.754,소솨소솨,17.692,-61.867,それいゆ るな,44.013,-90.418,Oort__Cloud,4.648,-118.169,별이__,-43.656,-95.265,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
179,6,0,4,11,2,2,2,0,0,0,255,255,255,103,4186.241,Pring__,R,33,124,3.089,0.863,0.155,1.512,-36.617,1,0,130.395,-112.486,4.202,0,0,0,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158,-37.602,눈꽃,0.045,-16.763,coder_,-20.2,-49.265,_Chun,-10.665,-60.834,아침땅_,21.798,-45.736,소솨소솨,17.741,-62.598,それいゆ るな,42.865,-86.699,Oort__Cloud,4.8,-118.136,별이__,-43.723,-95.096,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
