id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
41,2,0,0,1,0,0,0,0,0,0,255,255,255,17,1595.059,"3Ducks",R,10,72,102,-0.513,-1.782,-0.052,1.61,-36.999,4,0,0,400,0.225,-0.099,-18.851,1,5,0,R,"Riyaj",190,80,0.2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-38.125,0,"Kr_Luna",0.031,-17.169,0,"ke ro",-20.686,-46.412,0,"ByeolBam",-12.621,-64.18,0,"Pring__",23.522,-50.053,0,"CAT tourniquet",8.189,-66.618,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
42,2,0,0,1,0,1,0,0,0,0,255,255,255,18,1607.447,"3Ducks",R,38,36,98,1.226,1.692,0.123,2.157,-37.83,1,0,20.408,-30.483,5.088,0,0,0,5,0,R,"Riyaj",190,80,0.2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-38.059,0,"Kr_Luna",0.142,-17.158,0,"ke ro",-21.73,-47.8,0,"ByeolBam",-12.139,-63.718,0,"Pring__",23.537,-50.04,0,"CAT tourniquet",8.039,-66.445,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
43,2,0,0,1,1,1,0,0,0,0,255,255,255,19,1619.605,"3Ducks",R,0,48,107,-1.189,-0.734,-0.091,1.703,-37.01,0,0,0,7.934,1.279,0,0,0,5,0,R,"Riyaj",190,80,0.2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-37.793,0,"Kr_Luna",0.036,-17.171,0,"ke ro",-21.615,-48.708,0,"ByeolBam",-12.656,-63.997,0,"Pring__",23.546,-50.054,0,"CAT tourniquet",9,-67.669,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
44,2,0,0,1,1,2,0,0,0,0,255,255,255,20,1631.606,"3Ducks",R,26,76,128,-1.706,-1.353,-0.139,1.526,-36.949,1,0,-0.204,-159.891,0.35,0,0,0,5,0,R,"Riyaj",190,80,0.2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-38.422,0,"Kr_Luna",0.031,-17.173,0,"ke ro",-21.525,-48.688,0,"ByeolBam",-12.71,-64.085,0,"Pring__",23.531,-50.055,0,"CAT tourniquet",8.417,-66.287,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
45,2,0,0,1,2,2,0,0,0,0,255,255,255,21,1643.357,"3Ducks",R,6,50,86,2.144,-0.576,0.045,1.67,-36.959,2,0,336.943,0,-5.082,0,0,1,5,0,R,"Riyaj",190,80,0.2,3,82,1644.483,224,34,0,45,63,150,28,28,99.939,-78.955,0.97,-0.035,-0.014,0.02,0,-0.416,-37.785,0,"Kr_Luna",0.037,-17.174,0,"ke ro",-21.892,-49.188,0,"ByeolBam",-12.669,-64.085,0,"Pring__",23.5,-50.016,0,"CAT tourniquet",8.772,-66.091,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1647.137,-11.022,-18.707,0,0,"",0,0,0,0,0,0,0,0,0,3
46,2,0,0,1,2,2,0,0,0,0,255,255,255,22,1658.498,"3Ducks",R,27,68,109,-0.203,-0.032,-0.034,1.757,-37.036,2,0,41.032,-125.783,5.167,0,0,1,5,0,R,"Riyaj",190,80,0.2,3,48,1659.528,146,15,55,61,19,92,132,90,-1.911,-10.603,-0.42,-0.026,-0.026,0.107,0,-0.181,-37.877,0,"Kr_Luna",0.038,-17.167,0,"ke ro",-21.634,-48.266,0,"ByeolBam",-12.634,-63.796,0,"Pring__",23.29,-49.141,0,"CAT tourniquet",5.316,-67.926,0,"AI",35.7,-81.8,0,"AI",-0.002,-100.607,0,"AI",-35.7,-81.8,0,1660.048,1.912,-32.962,1661.915,5,"CAT tourniquet",6.938,-61.578,0,0,0,0,0,0,0,2
47,2,0,0,1,0,0,1,0,0,0,255,255,255,23,1689.262,"3Ducks",R,26,65,121,1.417,0.812,0.09,2.027,-37.204,0,0,54.318,-150.475,-2.918,0,0,1,0,2,L,"IbikiKai_JP",174.5,89.582,0.5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177,-37.91,0,"Kr_Luna",0.047,-17.182,0,"ke ro",-20.191,-50.54,0,"ByeolBam",-12.521,-63.989,0,"Pring__",24.763,-51.183,0,"CAT tourniquet",13.605,-63.863,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
48,2,0,0,1,0,1,1,0,0,0,255,255,255,24,1701.455,"3Ducks",R,28,76,128,-1.134,-0.804,-0.088,1.673,-36.992,2,0,6.063,-95.162,-0.656,0,0,1,0,2,L,"IbikiKai_JP",174.5,89.582,0.5,3,82,1702.606,207,13,31,48,35,108,97,95,6.303,24.097,0.5,0.026,-0.055,0.057,0,-0.119,-37.753,0,"Kr_Luna",0.037,-17.192,0,"ke ro",-20.22,-50.261,0,"ByeolBam",-12.631,-64.292,0,"Pring__",23.703,-50.252,0,"CAT tourniquet",14.126,-64.175,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1703.681,-10.867,-47.625,1704.604,3,"ByeolBam",-14.752,-57.98,0,0,0,0,0,0,0,2
49,2,0,0,1,0,0,2,0,0,0,255,255,255,25,1724.443,"3Ducks",R,28,85,139,1.826,-1.75,0.095,1.551,-37.057,1,0,15.94,-80.453,-1.012,0,0,0,1,5,R,"sano jpn",170.3,89.798,0.34,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172,-37.734,0,"Kr_Luna",0.118,-17.174,0,"ke ro",-21.494,-49.224,0,"ByeolBam",-12.853,-64.439,0,"Pring__",23.132,-49.333,0,"CAT tourniquet",5.892,-65.802,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
50,2,0,0,1,1,0,2,0,0,0,255,255,255,26,1735.395,"3Ducks",R,14,56,89,1.949,-0.718,0.022,1.875,-36.942,2,0,344.557,262.003,0.1,0,0,1,1,5,R,"sano jpn",170.3,89.798,0.34,0,82,1736.772,132,14,82,59,54,240,139,125,25.198,-14.752,0.58,-0.073,0.001,0.125,0.095,-0.077,-37.256,0,"Kr_Luna",0.032,-17.262,0,"ke ro",-21.353,-49.143,0,"ByeolBam",-12.838,-64.407,0,"Pring__",23.123,-49.285,0,"CAT tourniquet",6.127,-67.062,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1744.015,17.939,-126.636,1747.87,5,"CAT tourniquet",5.164,-80.29,1,0,0,0,0,0,0,2
