id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
19,3,1,0,0,0,0,0,0,255,255,255,10,738.739,_Chun,0,137,0.163,-0.157,2,-69.92,-73.725,0,0,1,7,7,coder_,160,55,739.81,107,134,29,159,79,42.638,8.381,1,0.367,-36.637,0.161,-17.052,-18.952,-47.164,-11.283,-65.532,23.784,-49.263,12.08,-63.643,35.704,-81.804,-6.572,-115.001,-46.517,-86.975,0,0,0,743.577,3,ByeolBam,-12.335,-73.209,0,1,0,0,-0.051,-0.117,0
20,3,1,0,0,1,0,0,0,255,255,255,11,772.809,_Chun,3,116,0.635,0.767,0,480.043,0,0,0,1,8,6,CAT tourniquet,175.3,45,0,0,0,0,0,0,0,0,0,-0.076,-37.459,0.021,-16.96,-20.515,-49.507,-10.889,-65.229,24.995,-49.981,14.051,-64.504,35.7,-81.8,-8.796,-112.238,-47.482,-89.018,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
21,3,1,0,1,1,0,0,0,255,255,255,12,793.129,_Chun,3,122,-5.02,-2.726,2,403.177,0,0,0,1,8,6,CAT tourniquet,175.3,45,794.233,98,118,26,144,126,38.129,-24.347,0.685,0.203,-36.684,0.01,-17.134,-20.462,-49.351,-10.964,-65.248,25.258,-50.754,14.789,-64.156,35.7,-81.8,-8.749,-112.247,-48.322,-88.886,799.477,59.159,-116.047,0,0,,0,0,0,4,0,0,0.136,-0.205,0
22,3,1,0,0,1,0,0,0,255,255,255,13,845.581,_Chun,8,125,-1.224,0.044,2,-141.117,0,0,0,1,0,1,IllilliIIIIllil,174.5,54,846.544,132,226,27,171,102,-73.219,-7.236,-0.118,0.383,-36.741,-0.184,-17.273,-20.479,-47.949,-12.742,-64.02,24.434,-49.197,10.707,-65.617,35.7,-81.8,-13.375,-116.528,-48.826,-89.071,844.894,-0.197,-20.528,848.277,0,_Chun,2.452,-40.683,0,2,1,0,0.08,-0.029,0
23,3,1,0,0,2,0,0,0,255,255,255,14,881.432,_Chun,6,117,-0.66,0.952,0,-450.776,0,0,0,0,1,4,Kr_Luna,190,66,0,0,0,0,0,0,0,0,0,0.42,-37.512,-0.171,-17.146,-20.681,-49.004,-12.392,-65.384,25.031,-50.898,12.998,-65.048,35.7,-81.8,-12.05,-125.837,-47.967,-93.494,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
24,3,1,0,1,2,0,0,0,255,255,255,15,900.501,_Chun,10,109,0.752,0.793,0,0,400,0,0,0,1,4,Kr_Luna,190,66,0,0,0,0,0,0,0,0,0,0.063,-36.907,0.136,-17.147,-20.623,-48.605,-12.026,-65.416,24.104,-49.762,13.044,-65.012,35.7,-81.8,13.529,-125.992,-47.818,-93.616,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
25,3,1,0,2,2,0,0,0,255,255,255,16,918.504,_Chun,6,117,-1.042,-0.496,2,-396.005,0,0,0,1,1,4,Kr_Luna,190,66,919.429,115,123,43,161,84,-5.43,26.477,-0.279,0.248,-36.753,0.108,-17.144,-21.049,-48.487,-12.05,-65.426,24.663,-50.236,12.542,-65.244,35.7,-81.8,13.383,-126.005,-47.298,-92.688,917.794,-3.347,-27.091,920.385,3,ByeolBam,-20.484,-61.485,1,2,1,0,0.056,-0.124,2
26,3,0,0,0,0,0,0,0,255,255,255,8,1018.025,TaeGeuk_,0,110,-0.092,-1.529,1,68.846,155.117,0,0,0,6,0,_Chun,190,52,0,0,0,0,0,0,0,0,0,-0.073,-37.131,0.029,-17.112,-20.373,-45.396,-12.33,-64.343,20.17,-49.316,10.785,-63.308,34.153,-85.905,17.809,-116.368,-37.163,-84.779,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
27,3,0,1,0,0,0,0,0,255,255,255,9,1034.162,TaeGeuk_,15,106,-0.644,-0.193,0,-121.241,-400,0,0,1,6,0,_Chun,190,52,0,0,0,0,0,0,0,0,0,-0.164,-37.201,-0.008,-17.21,-20.386,-45.399,-12.324,-63.667,20.247,-49.344,14.429,-61.656,34.186,-85.806,9.764,-114.564,-36.927,-85.314,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
28,3,0,1,1,0,0,0,0,255,255,255,10,1048.363,TaeGeuk_,0,134,0.633,-0.835,2,116.073,200,0,0,1,6,0,_Chun,190,52,1049.298,69,42,0,16,54,-42.541,-23.749,0.967,0.318,-36.759,0.041,-17.184,-20.18,-45.347,-10.276,-64.45,23.513,-50.126,14.541,-61.583,34.161,-85.798,9.839,-114.538,-37.277,-85.599,1047.36,0.47,-20.365,1051.119,5,Pugeuk,10.196,-46.897,0,2,1,0,0.084,-0.049,0
