id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,502.709,甲斐野柊太,R,0,87,-1.349,0.897,2,0,0,0,0,0,0,2,L,Fresh825,175.4,52,503.994,119,98,38,132,96,109.58,55.636,-0.137,-0.03,-0.046,-0.365,-37.221,-0.111,-16.969,-21.12,-49.655,-9.974,-63.804,21.26,-47.536,10.321,-65.917,35.7,-81.8,0,-100.601,-35.7,-81.8,509.931,41.699,20.849,0,0,,0,0,0,0,0,0,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,524.797,甲斐野柊太,R,1,87,-0.148,-1.586,4,0,0,-0.25,-17.298,1,0,2,L,Fresh825,175.4,52,0,0,0,0,0,0,0,0,0,0,0,-0.198,-37.395,-0.106,-17.072,-20.314,-47.533,-10.051,-63.388,20.842,-44.306,11.177,-65.013,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,542.531,甲斐野柊太,R,0,123,2.515,1.293,4,0,0,0,0,1,0,2,L,Fresh825,175.4,52,0,0,0,0,0,0,0,0,0,0,0,-0.009,-37.184,0.016,-16.685,-20.163,-46.509,-11.102,-63.257,19.954,-44.135,11.197,-65.008,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,574.772,甲斐野柊太,R,0,107,2.96,-1.316,2,0,0,0,0,1,1,4,R,Multeinn,190,51,575.618,176,255,9,151,120,-76.474,-7.431,0.915,-0.118,-0.046,-0.401,-37.016,0.08,-16.861,-21.399,-49.921,-11.559,-63.584,18.73,-47.632,11.266,-65.076,35.702,-81.802,0,-100.6,-35.702,-81.802,575.491,0.56,-20.879,579.385,0,甲斐野柊太,3.295,-42.246,1,2,0,0,0,0,0,2
5,1,1,0,0,0,0,1,1,0,0,4,255,255,4,653.424,甲斐野柊太,R,0,109,-0.198,1.069,4,0,0,0,0,1,2,1,L,Sabo_10,184.5,51,0,0,0,0,0,0,0,0,0,0,0,-0.099,-36.853,-0.14,-16.691,-19.889,-43.123,-6.335,-60.039,21.21,-47.551,8.731,-66.641,35.707,-81.806,1.173,-110.273,-35.707,-81.806,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,1,0,0,4,255,255,5,677.743,甲斐野柊太,R,0,140,-0.44,-1.946,2,0,0,0,0,1,2,1,L,Sabo_10,184.5,51,678.801,140,172,22,139,87,-44.643,0.045,0.968,0.04,-0.205,-0.193,-36.958,-0.18,-17.158,-19.991,-43.616,-9.921,-62.632,21.073,-47.867,8.733,-66.817,35.7,-81.8,0.31,-112.753,-35.7,-81.8,678.638,-0.083,-19.928,679.918,0,甲斐野柊太,-0.095,-35.218,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,1,0,0,4,255,255,6,742.219,甲斐野柊太,R,1,100,0.134,-0.595,0,0,0,0,0,0,3,3,R,ByeolBam,174.5,49,0,0,0,0,0,0,0,0,0,0,0,-0.087,-37.143,-0.15,-16.997,-19.265,-43.469,-8.159,-61.127,16.913,-46.341,8.983,-66.134,35.7,-81.8,-4.571,-108.639,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,1,0,0,4,255,255,7,759.075,甲斐野柊太,R,10,128,-0.449,-2.739,4,0,400,-0.081,-21.233,1,3,3,R,ByeolBam,174.5,49,0,0,0,0,0,0,0,0,0,0,0,0.075,-36.964,-0.194,-17.152,-19.108,-44.927,-10.01,-63.301,16.509,-45.764,9.667,-66.56,35.7,-81.8,-3.614,-108.509,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,2,0,1,0,255,1,255,8,809.362,甲斐野柊太,R,1,94,-1.201,-2.294,2,0,0,0,0,1,3,3,R,ByeolBam,174.5,49,810.427,29,207,48,88,30,-21.976,44.331,0.907,-0.076,-0.288,-0.292,-37.124,0.039,-16.958,-19.803,-45.146,-8.178,-65.078,16.139,-46.531,8.247,-65.38,35.7,-81.8,-3.627,-111.327,-35.7,-81.8,810.358,-0.621,-21.078,813.491,0,甲斐野柊太,-8.495,-32.005,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,963.432,Pring__,R,14,104,-1.091,-0.909,0,351.135,334.764,0,0,1,0,0,R,甲斐野柊太,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.146,-37.976,0.076,-16.901,-25.51,-49.725,-12.931,-64.01,24.758,-50.715,10.738,-60.026,35.7,-81.8,0,-100.6,-44.044,-89.777,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,0,0,255,255,255,1,979.548,Pring__,R,14,97,0.467,-0.138,2,309.178,356.469,0,0,1,0,0,R,甲斐野柊太,190,47,980.892,65,165,53,103,65,-48.053,38.033,1,0.172,-0.053,-0.075,-36.817,0.271,-16.891,-25.716,-49.818,-12.972,-63.989,23.972,-50.548,13.079,-64.225,35.7,-81.8,0,-100.6,-44.049,-89.705,980.811,-0.516,-21.191,983.611,2,Fresh825,-18.021,-43.29,0,0,0,0,0,0,0,2
12,1,0,0,0,0,0,1,0,0,0,255,255,255,2,1036.563,Pring__,R,0,129,1.141,0.518,2,155.168,-108.276,0,0,1,1,5,L,CAT tourniquet,170.3,47,1037.541,159,233,59,148,88,100.38,68.625,0.976,0.021,-0.156,-0.64,-36.882,-0.105,-16.837,-22.435,-46.743,-12.812,-64.285,25.022,-53.244,13.68,-63.943,47.31,-94.388,0,-100.6,-43.263,-91.048,1043.425,40.683,-8.927,0,0,,0,0,0,0,0,0,0,0,0,3
13,1,0,0,0,0,1,1,0,0,0,255,255,255,3,1094.181,Pring__,R,0,139,-4.489,0.508,3,68.152,-200,-0.453,-20.57,0,1,5,L,CAT tourniquet,170.3,47,0,0,0,0,0,0,0,0,0,0,0,-0.391,-37.804,-0.355,-18.279,-22.381,-46.456,-12.579,-64.345,23.217,-48.731,14.397,-63.512,49.107,-79.224,0,-100.6,-42.852,-88.753,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
14,1,0,0,0,0,0,1,1,0,0,14,255,255,4,1153.608,Pring__,R,3,118,-3.93,-0.873,1,-498.429,39.6,0,0,0,2,7,R,じゃがー,163.6,46,0,0,0,0,0,0,0,0,0,0,0,-0.06,-37.738,-0.273,-16.928,-18.705,-39.799,-10.605,-60.08,24.217,-50.633,6.369,-62.139,39.945,-94.834,0,-100.6,-43.628,-86.197,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,1,1,0,0,14,255,255,5,1171.804,Pring__,R,0,119,1.662,1.092,2,250,-149.858,0,0,1,2,7,R,じゃがー,163.6,46,1172.934,148,130,10,135,92,18.635,-6.307,-0.442,-0.06,-0.091,-0.555,-36.967,-0.096,-16.638,-18.698,-39.713,-10.7,-60.085,24.013,-50.377,8.089,-61.647,46.547,-94.798,0,-100.6,-41.898,-88.754,1176.665,12.792,-92.032,1184.305,6,소솨소솨,21.41,-131.72,1,4,0,0,0,0,0,2
16,1,0,0,1,0,0,2,0,0,0,255,255,255,6,1236.585,Pring__,R,14,97,1.469,-0.466,2,341.581,316.153,0,0,1,3,2,R,Pugeuk,190,46,1237.438,191,200,7,148,106,15.147,43.263,0.956,-0.105,-0.129,-0.262,-36.812,0.23,-16.967,-24.932,-48.879,-11.885,-63.566,24.158,-50.279,13.872,-63.825,39.971,-98.014,0,-100.6,-42.002,-87.393,1240.185,-50.954,-67.716,0,0,,0,0,0,0,0,0,0,0,0,3
17,1,0,0,1,0,1,2,0,0,0,255,255,255,7,1258.157,Pring__,R,14,100,1.682,-0.75,1,343.458,327.512,0.597,-17.172,0,3,2,R,Pugeuk,190,74,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.796,0.231,-17.015,-25.675,-48.574,-10.647,-63.48,23.495,-48.694,12.995,-64.052,39.698,-98.294,0,-100.6,-43.48,-86.679,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,1,0,0,1,1,1,2,0,0,0,255,255,255,8,1278.545,Pring__,R,13,126,-0.917,-1.157,4,-322.208,382.338,0,0,1,3,2,R,Pugeuk,190,74,0,0,0,0,0,0,0,0,0,0,0,-0.566,-37.437,-0.015,-16.949,-25.186,-48.085,-10.681,-63.34,24.047,-51.108,11.59,-63.861,37.609,-93.012,0,-100.6,-44.528,-85.9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,1,0,0,1,1,2,2,0,0,0,255,255,255,9,1295.612,Pring__,R,3,117,-3.072,-0.845,4,-499.261,27.167,0,0,1,3,2,R,Pugeuk,190,74,0,0,0,0,0,0,0,0,0,0,0,-0.281,-37.826,-0.182,-16.866,-25.152,-47.283,-11.115,-64.528,23.828,-49.562,9.309,-63.888,36.081,-95.786,0,-100.6,-43.804,-85.558,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
20,2,1,0,1,0,0,0,0,0,0,255,255,255,9,1473.754,甲斐野柊太,R,3,109,0.01,-1.058,4,-396.145,0,-0.491,-17.154,1,4,5,L,눈꽃,174.6,45,0,0,0,0,0,0,0,0,0,0,0,-0.335,-37.243,-0.313,-16.94,-20.573,-49.666,-6.652,-64.193,19.951,-46.014,13.775,-63.59,35.7,-81.8,1.591,-111.549,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
21,2,1,0,1,0,1,0,0,0,0,255,255,255,10,1493.113,甲斐野柊太,R,0,129,0.136,1.962,1,0,0,0,0,0,4,5,L,눈꽃,174.6,45,0,0,0,0,0,0,0,0,0,0,0,-0.202,-37.027,-0.239,-16.09,-20.693,-50.028,-6.622,-64.221,19.722,-46.473,13.837,-63.595,35.7,-81.8,1.052,-113.057,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
22,2,1,0,1,1,1,0,0,0,0,255,255,255,11,1509.098,甲斐野柊太,R,0,138,0.983,0.676,0,0,0,0,0,0,4,5,L,눈꽃,174.6,45,0,0,0,0,0,0,0,0,0,0,0,-0.185,-36.652,-0.207,-16.826,-20.751,-49.957,-5.455,-64.845,20.259,-47.002,13.964,-63.523,35.7,-81.8,1.414,-112.584,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,2,1,0,1,1,2,0,0,0,0,255,255,255,12,1523.014,甲斐野柊太,R,1,96,-0.794,-1.917,1,0,0,0,0,0,4,5,L,눈꽃,174.6,45,0,0,0,0,0,0,0,0,0,0,0,-0.254,-37.245,-0.16,-17.12,-20.398,-46.487,-5.442,-65.126,19.379,-45.62,13.915,-63.57,35.7,-81.8,2.375,-111.918,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24,2,1,0,1,2,2,0,0,0,0,255,255,255,13,1534.442,甲斐野柊太,R,1,89,-0.593,-1.803,2,0,0,0,0,1,4,5,L,눈꽃,174.6,45,1535.784,239,170,7,149,125,28.974,4.369,0.834,0.091,-0.149,-0.334,-36.969,-0.008,-16.704,-19.852,-51.236,-5.633,-65.109,19.592,-45.983,13.91,-63.561,35.7,-81.8,2.367,-111.927,-35.7,-81.8,1541.225,1.56,-134.624,1542.531,7,じゃがー,2.143,-129.254,1,0,0,0,0,0,0,2
25,2,1,0,1,0,0,0,0,1,0,255,5,255,14,1574.522,甲斐野柊太,R,0,122,0.013,-1.03,2,0,0,0,0,1,5,8,R,coder_,160,45,1575.602,147,98,7,130,85,43.286,-30.117,-0.656,-0.113,-0.159,-0.256,-37.075,0.098,-17.224,-21.751,-50.294,-10.921,-64.506,18.145,-47.06,12.053,-63.986,35.7,-81.8,0.78,-114.249,-35.7,-81.8,1580.198,24.993,-79.141,1583.905,3,_이누_,1.172,-59.799,0,0,0,0,0,0,0,1
26,2,1,0,1,0,0,1,0,1,0,255,5,255,15,1609.232,甲斐野柊太,R,0,140,1.721,0.102,2,0,0,0,0,1,6,6,R,소솨소솨,160,45,1610.036,195,147,17,144,116,-59.068,-59.339,0.194,-0.064,-0.196,-0.286,-36.759,0.077,-17.183,-20.147,-46.964,-9.058,-64.596,18.464,-47.02,11.596,-65.692,35.7,-81.8,-2.693,-119.783,-35.7,-81.8,1609.851,1.08,-19.784,0,0,,0,0,0,0,0,0,0,0,0,3
27,2,1,0,1,0,1,1,0,1,0,255,5,255,16,1629.664,甲斐野柊太,R,1,102,1.544,-1.98,2,0,0,0,0,1,6,6,R,소솨소솨,160,45,1630.792,153,182,4,141,115,-41.044,-28.98,0.088,-0.071,-0.191,-0.171,-37.103,0.037,-17.007,-21.28,-49.277,-10.46,-62.963,18.167,-45.978,10.59,-65.829,35.7,-81.8,0.244,-115.828,-35.7,-81.8,1630.571,0.465,-20.796,1637.425,4,인생최패망자,18.978,-41.059,0,16,0,0,0,0,0,0
28,2,1,1,1,0,0,2,0,0,0,255,255,255,17,1694.656,甲斐野柊太,R,0,85,-0.273,1.239,1,0,0,0,0,0,7,0,L,Pring__,180.3,45,0,0,0,0,0,0,0,0,0,0,0,-0.263,-37.276,-0.16,-16.793,-21.074,-46.199,-7.833,-66.052,20.646,-46.844,6.755,-66.923,35.7,-81.8,2.414,-114.701,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
29,2,1,1,1,1,0,2,0,0,0,255,255,255,18,1710.425,甲斐野柊太,R,6,86,2.476,-0.934,4,390.909,0,1.095,-17.174,1,7,0,L,Pring__,180.3,45,0,0,0,0,0,0,0,0,0,0,0,-0.153,-37.176,0.894,-17.094,-20.234,-46.978,-7.813,-65.992,20.415,-45.269,6.821,-66.959,35.7,-81.8,2.415,-114.686,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
