id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
83,5,1,0,1,0,2,0,0,0,0,255,255,255,48,2434.878,Slaris,R,0,129,4.891,0.765,1,56.096,-34.313,0,0,0,7,0,L,눈꽃,190,100.309,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-37.015,-0.041,-16.69,-20.918,-48.002,-14.982,-64.333,23.664,-50.336,14.626,-64.054,37.86,-85.291,0,-100.6,-35.745,-91.544,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
84,5,1,0,1,1,2,0,0,0,0,255,255,255,49,2450.53,Slaris,R,0,139,3.604,0.701,1,94.176,-103.919,0,0,0,7,0,L,눈꽃,190,100.309,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,-37.122,-0.17,-16.743,-20.854,-47.974,-14.903,-64.227,23.672,-50.417,14.625,-63.654,37.845,-85.265,0,-100.6,-33.722,-93.11,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
85,5,1,0,1,2,2,0,0,0,0,255,255,255,50,2470.301,Slaris,R,6,116,-0.632,0.282,2,412.198,1.288,0,0,1,7,0,L,눈꽃,190,100.309,0.5,58,2471.398,150,135,45,142,130,39.182,-37.513,0.42,0.033,0.01,0.044,0,0,0,-0.301,-36.91,-0.22,-16.785,-21.001,-48.375,-15.005,-64.397,23.843,-50.164,14.527,-63.544,37.856,-85.282,0,-100.6,-38.278,-88.545,2476.608,69.23,-106.364,0,0,,0,0,0,0,0,0,0,0,0,4
86,5,1,1,1,0,0,0,0,0,0,255,255,255,51,2516.825,Slaris,R,0,140,0.877,0.798,0,-8.444,-171.435,0,0,0,0,3,R,crani,175.2,100,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234,-37.169,0.057,-16.821,-19.768,-46.611,-12.15,-65.717,24.305,-50.967,14.739,-63.644,39.863,-80.957,0,-100.6,-40.259,-83.371,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
87,5,1,1,1,0,1,0,0,0,0,255,255,255,52,2529.854,Slaris,R,0,128,1.639,0.985,4,55.577,-195.275,0,0,1,0,3,R,crani,175.2,100,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,-37.053,0.09,-16.814,-20.172,-48.926,-12.154,-65.714,24.241,-51.023,14.942,-63.67,39.629,-81.22,0,-100.6,-40.248,-83.367,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
88,5,1,1,1,0,2,0,0,0,0,255,255,255,53,2542.916,Slaris,R,0,140,0.249,0.952,0,5.62,-146.802,0,0,1,0,3,R,crani,175.2,100,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,-36.775,0.145,-16.845,-20.211,-48.918,-12.127,-65.685,24.342,-50.967,14.839,-63.652,39.645,-81.255,0,-100.6,-40.245,-83.379,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
89,5,1,1,1,0,0,1,0,0,0,255,255,255,54,2573.084,Slaris,R,12,134,0.499,1.349,1,0,78.054,0.608,-17.111,0,1,2,L,하루（Haru）,190,107,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,-37.138,0.057,-15.838,-20.179,-48.926,-14.067,-64.871,25.613,-49.637,14.795,-63.614,39.673,-81.196,0,-100.6,-29.2,-93.809,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
90,5,1,1,1,1,0,1,0,0,0,255,255,255,55,2592.708,Slaris,R,14,109,-1.422,0.673,2,386.885,312.348,0,0,1,1,2,L,하루（Haru）,190,107,0.5,58,2594.011,165,73,34,135,130,-30,-48.923,0.52,0.028,-0.025,0,0,0,0,-0.225,-36.56,-0.303,-16.798,-20.155,-48.805,-14.069,-64.876,24.995,-48.037,11.233,-64.704,39.767,-81.257,0,-100.6,-29.198,-93.827,2594.158,2.124,-20.793,2595.675,4,bdg06213,23.405,-43.58,0,0,0,0,0,0,0,2
91,5,1,1,1,0,0,2,0,0,0,255,255,255,56,2650.433,Slaris,R,0,140,0.126,-1.737,1,-47.181,-200,0.039,-17.138,0,2,6,L,schmoneymikey,190,100,0.6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.087,-36.784,0.127,-16.903,-20.939,-47.227,-16.358,-63.309,23.066,-48.806,15.186,-63.8,36.377,-84.164,0,-100.6,-25.219,-90.604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
92,5,1,1,1,1,0,2,0,0,0,255,255,255,57,2669.556,Slaris,R,13,115,0.609,-0.923,2,-358.137,348.91,0,0,1,2,6,L,schmoneymikey,190,100,0.6,58,2670.471,214,139,29,148,95,-30.333,37.399,-0.01,0.118,-0.187,0.284,0,0,0,-0.275,-36.605,0.162,-16.867,-21.358,-47.184,-16.323,-63.342,23.371,-48.494,15.187,-63.854,37.663,-83.406,0,-100.6,-25.235,-90.605,2670.691,-0.664,-21.685,2672.441,2,신과함께1,-20.318,-42.454,0,0,0,0,0,0,0,2
