id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,338.529,Yaksok~,R,0,95,-0.61,0.859,2,0,0,0,0,0,1,0,7,R,Slaris,174.5,90,0.446,3,59,339.615,142,119,52,146,127,114.437,-47.486,0.38,-0.052,-0.023,0.393,0,0,0,0.301,-37.567,ʚEveɞ,-0.055,-16.975,Megu3568,-19.928,-46.298,D_arling,-10.284,-63.806,ゆっち一,22.122,-48.011,Oort__Cloud,14.265,-64.076,소솨소솨,44.217,-86.621,Pugeuk,3.774,-112.355,-yeoro-,-43.121,-98.482,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,357.73,Yaksok~,R,0,94,-0.654,1.846,1,0,0,0,0,0,0,0,7,R,Slaris,174.5,90,0.446,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.349,-37.633,ʚEveɞ,-0.008,-16.904,Megu3568,-19.829,-46.754,D_arling,-11.072,-64.847,ゆっち一,22.472,-48.686,Oort__Cloud,14.168,-64.275,소솨소솨,39.31,-88.106,Pugeuk,3.249,-109.779,-yeoro-,-45.647,-92.332,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,369.966,Yaksok~,R,0,99,-0.96,-0.527,0,0,0,0,0,0,1,0,7,R,Slaris,174.5,90,0.446,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224,-37.897,ʚEveɞ,-0.14,-16.903,Megu3568,-19.768,-45.539,D_arling,-11.121,-64.83,ゆっち一,21.257,-48.888,Oort__Cloud,14.264,-64.272,소솨소솨,39.281,-88.123,Pugeuk,3.262,-109.738,-yeoro-,-45.512,-92.44,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,384.817,Yaksok~,R,0,90,-0.331,2.933,1,0,0,0,0,0,0,0,7,R,Slaris,174.5,90,0.446,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344,-37.629,ʚEveɞ,-0.054,-16.88,Megu3568,-20.054,-46.532,D_arling,-11.055,-64.835,ゆっち一,22.946,-48.616,Oort__Cloud,14.292,-64.201,소솨소솨,39.272,-88.121,Pugeuk,2.293,-109.747,-yeoro-,-45.498,-92.405,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,396.956,Yaksok~,R,14,85,1.456,0.12,2,0,226.33,400,0,0,1,0,7,R,Slaris,174.5,90,0.446,3,62,398.125,203,151,37,155,104,-30,32.153,0.05,-0.04,0.027,0.626,0,0,0,-0.03,-37.447,ʚEveɞ,-0.082,-17.012,Megu3568,-19.927,-46.369,D_arling,-11.099,-64.799,ゆっち一,21.39,-47.585,Oort__Cloud,14.239,-64.123,소솨소솨,39.293,-88.138,Pugeuk,2.284,-109.765,-yeoro-,-45.514,-92.42,398.256,-0.742,-22.165,399.773,2,Megu3568,-16.071,-46.472,0,0,0,0,0,0,0,2
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,449.364,Yaksok~,R,14,86,1.366,-0.101,0,0,286.288,340.457,0,0,0,1,8,L,신과함께1,179.2,93,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275,-37.497,ʚEveɞ,-0.036,-17.051,Megu3568,-20.682,-47.527,D_arling,-9.601,-64.098,ゆっち一,21.144,-46.786,Oort__Cloud,14.595,-63.771,소솨소솨,41.23,-84.291,Pugeuk,0.134,-105.656,-yeoro-,-45.898,-93.766,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,463.43,Yaksok~,R,0,98,0.46,0.324,0,0,0,0,0,0,1,1,8,L,신과함께1,179.2,93,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316,-37.562,ʚEveɞ,0.024,-17.107,Megu3568,-20.69,-47.431,D_arling,-9.623,-64.071,ゆっち一,21.096,-46.857,Oort__Cloud,14.625,-63.766,소솨소솨,41.226,-84.303,Pugeuk,0.134,-105.685,-yeoro-,-45.852,-93.703,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,478.138,Yaksok~,R,10,80,-0.996,1.253,2,0,0,400,0,0,1,1,8,L,신과함께1,179.2,93,0.2,2,59,479.354,105,41,2,68,65,25.666,16.89,-0.53,-0.016,0.026,0.008,0,0,0,0.016,-37.334,ʚEveɞ,-0.02,-17.08,Megu3568,-20.056,-48.007,D_arling,-9.618,-64.043,ゆっち一,21.309,-46.57,Oort__Cloud,14.573,-63.854,소솨소솨,41.224,-84.281,Pugeuk,0.136,-105.684,-yeoro-,-45.841,-93.706,0,0,0,485.473,3,D_arling,-13.543,-60.116,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,511.818,Yaksok~,R,0,86,-0.304,0.24,0,0,0,0,0,0,1,2,4,L,encounter v,190,100.1,0.447,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,-37.841,ʚEveɞ,-0.082,-16.735,Megu3568,-20.044,-46.875,D_arling,-10.188,-64.479,ゆっち一,22.715,-49.582,Oort__Cloud,14.305,-64.024,소솨소솨,42.182,-83.1,Pugeuk,2.578,-109.692,-yeoro-,-47.156,-94.202,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,526.107,Yaksok~,R,10,87,-0.17,-0.426,2,0,0,400,0,0,1,2,4,L,encounter v,190,100.1,0.447,3,59,527.426,155,172,56,150,116,-30,18.673,0.85,0.112,-0.227,0.436,0,0,0,-0.313,-37.173,ʚEveɞ,-0.027,-16.776,Megu3568,-19.83,-46.832,D_arling,-10.128,-64.454,ゆっち一,23.759,-51.568,Oort__Cloud,14.289,-63.978,소솨소솨,42.202,-83.085,Pugeuk,4.024,-112.086,-yeoro-,-47.16,-94.199,527.59,-0.52,-22.321,535.906,7,Pugeuk,-26.828,-119.262,1,0,0,0,0,0,0,2
