id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
77,4,0,0,4,0,0,0,0,0,0,255,255,255,36,2486.101,"WhiteMountain",R,37,75,127,-0.182,0.199,0.183,0.98,-36.536,2,0,80.246,91.879,7.084,0,0,1,0,4,R,"인생최패망자",190,80,0.4,3,67,2487.158,255,21,83,87,63,134,149,97,48.43,-20.585,-0.51,-0.015,-0.047,0.065,0,-0.743,-36.779,0,"Pugeuk",-0.069,-17.1,0,"Sabo_10",-22.047,-49.877,0,"별이__",-14.69,-62.479,0,"-라후이-",17.976,-44.46,0,"ʚneul_ɞ",10.803,-64.769,0,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"AI",-35.702,-81.802,0,2492.676,30.001,-82.034,2494.799,2,"Sabo_10",29.52,-81.14,0,0,0,0,0,0,0,1
78,4,0,0,4,0,0,1,0,0,0,255,255,255,37,2515.285,"WhiteMountain",R,36,87,140,0.243,-1.701,0.185,0.67,-36.673,2,0,112.605,116.028,1.199,0,0,1,1,5,R,"CVPileMaki",170,94.088,0.399,3,67,2516.373,103,14,49,44,26,65,106,103,-15.888,28.195,0.76,-0.028,-0.077,0.09,0,-0.592,-36.608,0,"Pugeuk",-0.065,-17.003,0,"Sabo_10",-21.464,-49.274,0,"별이__",-13.287,-64.044,0,"-라후이-",19.783,-46.236,0,"ʚneul_ɞ",14.731,-65.301,0,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"AI",-35.702,-81.802,0,2519.332,-34.12,-70.448,0,0,"",0,0,1,0,0,0,0,0,0,2
79,4,0,0,4,0,0,1,0,1,0,255,14,255,38,2548.629,"WhiteMountain",R,37,84,137,-5.177,0.99,0.132,1.076,-36.453,2,0,63.754,74.054,4.297,0,0,1,2,2,R,"소솨소솨",184.9,80,0.5,3,67,2549.555,190,12,41,50,28,113,120,80,-9.572,-26.954,-0.43,0,-0.055,0.151,0,0.137,-36.535,0,"Pugeuk",-0.093,-16.925,0,"Sabo_10",-20.86,-47.717,0,"별이__",-14.592,-62.658,0,"-라후이-",18.045,-45.068,0,"ʚneul_ɞ",9.961,-62.775,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,2549.598,2.991,-25.481,0,0,"",0,0,0,0,0,0,0,0,0,2
80,4,0,0,4,0,0,2,0,1,0,255,14,255,39,2586.009,"WhiteMountain",R,32,80,131,1.221,-0.798,0.363,0.744,-36.91,0,0,244.503,178.386,-4.416,0,0,0,3,1,L,"눈꽃",169.654,85,0.496,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306,-37.13,0,"Pugeuk",0.117,-16.95,0,"Sabo_10",-20.794,-46.886,0,"별이__",-1.211,-60.195,0,"-라후이-",19.284,-39.728,0,"ʚneul_ɞ",6.766,-62.177,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
81,4,0,0,4,0,1,2,0,0,1,255,255,14,40,2607.672,"WhiteMountain",R,21,78,125,0.738,-0.685,0.129,0.769,-36.586,0,0,117.815,-104.805,-7.214,0,0,0,3,1,L,"눈꽃",169.654,85,0.496,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-37.117,0,"Pugeuk",-0.1,-16.888,0,"Sabo_10",-19.37,-45.149,0,"별이__",-14.997,-62.821,0,"-라후이-",17.603,-44.035,0,"ʚneul_ɞ",8.06,-63.966,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
82,4,0,0,4,0,2,2,0,0,1,255,255,14,41,2621.933,"WhiteMountain",R,32,73,126,6.987,-2.812,0.54,0.656,-36.949,1,0,169.607,115.915,1.604,1.056,-25.227,0,3,1,L,"눈꽃",169.654,85,0.496,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078,-37.006,0,"Pugeuk",1.46,-16.938,0,"Sabo_10",-19.56,-46.1,0,"별이__",-14.946,-62.715,0,"-라후이-",19.101,-46.259,0,"ʚneul_ɞ",8.464,-63.255,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
83,4,0,0,4,1,2,2,0,0,1,255,255,14,42,2641.515,"WhiteMountain",R,15,67,112,1.131,-2.362,0.245,0.706,-36.833,2,0,0,-383.91,8.397,0,0,0,3,1,L,"눈꽃",169.654,85,0.496,3,67,2642.633,138,32,46,70,60,96,120,112,-30,-17.887,0.71,0.068,-0.103,0.046,0,-0.434,-36.765,0,"Pugeuk",-0.105,-16.832,0,"Sabo_10",-20.671,-50.421,0,"별이__",-14.834,-62.943,0,"-라후이-",17.713,-45.181,0,"ʚneul_ɞ",11.057,-64.814,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,2642.243,0.289,-20.824,0,0,"",0,0,0,0,0,0,0,0,0,2
84,5,1,0,4,0,0,0,0,0,0,255,255,255,40,2685.809,"それいゆ るな",R,34,49,108,-1.45,0.164,-0.155,1.02,-37.103,0,0,98.622,17.125,10.634,0,0,1,1,4,R,"-라후이-",190,84,0.352,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.307,-38.331,0,"눈꽃",-0.591,-17.08,0,"AI",-20.646,-48.464,0,"",-12.406,-58.208,0,"인생최패망자",15.823,-48.82,0,"CVPileMaki",7.458,-66.392,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
85,5,1,0,4,0,1,0,0,0,0,255,255,255,41,2701.621,"それいゆ るな",R,3,51,101,-2.152,-0.798,-0.139,0.952,-37.138,1,0,-330.359,0,28.543,0,0,0,1,4,R,"-라후이-",190,84,0.352,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.452,-38.36,0,"눈꽃",-0.04,-17.453,0,"AI",-20.085,-47.776,0,"",-12.406,-58.208,0,"인생최패망자",17.987,-46.068,0,"CVPileMaki",6.83,-63.498,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
86,5,1,0,4,1,1,0,0,0,0,255,255,255,42,2718.299,"それいゆ るな",R,0,52,110,1.079,-1.139,0.05,0.88,-37.28,1,0,45.16,37.647,6.184,0,0,0,1,4,R,"-라후이-",190,84,0.352,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44,-38.335,0,"눈꽃",-0.007,-17.165,0,"AI",-20.101,-47.812,0,"",-12.406,-58.208,0,"인생최패망자",17.637,-44.795,0,"CVPileMaki",5.428,-64.4,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
