id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
144,5,0,1,5,0,1,1,0,1,0,255,9,255,62,3995.301,눈꽃,R,0,140,1.007,0.34,2,27.572,-125.924,0,0,1,4,4,R,_이누_,190,57,3996.168,139,126,0,138,86,94.897,-85.005,-0.47,-0.009,-0.092,0.385,-0.095,-37.014,0.062,-17.023,-21.202,-45.083,-12.35,-62.674,19.497,-43.319,2.337,-64.268,40.756,-97.867,0.054,-112.296,-46.457,-96.954,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
145,5,0,1,5,0,2,1,0,1,0,255,9,255,63,4010.951,눈꽃,R,0,140,-0.094,0.156,2,14.071,-72.959,0,0,1,4,4,R,_이누_,190,57,4011.843,155,126,0,140,130,103.439,-76.825,0.45,-0.051,-0.089,0.368,-0.075,-37.024,0.051,-17.092,-21.214,-47.11,-11.755,-62.817,19.896,-44.06,2.135,-61.456,41.436,-97.304,-1.119,-110.981,-50.065,-94.113,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
146,5,0,1,5,0,2,1,0,1,0,255,9,255,64,4029.197,눈꽃,R,0,140,1.123,0.006,0,3.142,-110.568,0,0,1,4,4,R,_이누_,190,57,0,0,0,0,0,0,0,0,0,0,0,0,0.052,-37.741,0.357,-16.914,-20.998,-45.143,-12.08,-62.938,19.023,-42.988,3.134,-61.927,40.861,-95.762,-2.046,-110.491,-52.847,-96.474,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
147,5,0,1,6,0,0,2,0,0,0,255,255,255,65,4089.952,눈꽃,R,0,140,1.11,0.519,2,-8.791,-47.165,0,0,0,5,1,R,Dοpi,179.5,42,4090.873,112,84,28,133,125,105.184,-66.533,0.68,-0.062,-0.06,0.062,0.078,-36.989,0.107,-17.226,-21.095,-46.596,-10.809,-64.716,19.933,-43.924,11.778,-65.456,40.335,-92.42,0.383,-108.882,-45.977,-93.256,0,0,0,4091.367,1,하루（Haru）,0.202,-20.651,0,0,0,0,0,0,0,3
148,5,0,1,6,0,1,2,0,0,0,255,255,255,66,4109.886,눈꽃,R,0,140,1.234,-0.281,0,21.528,-95.403,0.387,-17.243,0,5,1,R,Dοpi,179.5,42,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-37.556,0.295,-17.267,-19.952,-44.015,-11.185,-63.87,20.042,-43.885,11.537,-65.317,43.864,-91.973,0.054,-108.227,-47.244,-93.514,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
149,5,0,1,6,0,2,2,0,0,0,255,255,255,67,4124.182,눈꽃,R,0,140,1.356,0.14,2,37.114,-140.096,0,0,1,5,1,R,Dοpi,179.5,42,4125.037,105,97,62,134,80,57.384,-39.537,-0.54,-0.086,-0.062,0.111,-0.069,-36.983,0.06,-17.205,-20.025,-43.689,-10.977,-63.906,20.231,-44.072,11.539,-65.388,45.74,-91.258,0.043,-108.225,-47.218,-93.528,4130.45,33.064,-57.227,4132.783,6,아침땅_,39.371,-64.242,1,0,0,0,0,0,0,2
150,5,0,1,6,0,0,2,1,0,0,10,255,255,68,4165.729,눈꽃,R,0,140,-0.258,-0.669,2,19.198,-120.396,0,0,1,6,3,R,장덕춘_,169.9,57,4166.561,202,106,16,141,91,-15.832,5.237,0.92,-0.088,-0.073,0.16,0.069,-36.906,0.026,-17.114,-19.626,-43.922,-11.392,-63.248,20.873,-45.892,11.265,-64.383,36.999,-93.645,0.314,-106.418,-42.041,-87.596,4166.833,-0.174,-19.632,4167.05,1,하루（Haru）,-0.038,-18.465,0,0,0,0,0,0,0,3
151,5,0,1,6,0,1,2,1,0,0,10,255,255,69,4184.91,눈꽃,R,0,140,1.076,-1.093,1,1.86,-68.675,0.155,-17.149,0,6,3,R,장덕춘_,169.9,57,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-37.491,0.308,-17.13,-19.195,-41.404,-10.168,-62.86,20.241,-46.652,9.553,-65.429,38.406,-91.008,0.83,-106.523,-50.496,-88.387,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
152,5,0,1,6,1,1,2,1,0,0,10,255,255,70,4199.592,눈꽃,R,0,140,1.022,-0.255,2,16.747,-101.963,0,0,1,6,3,R,장덕춘_,169.9,57,4200.459,165,108,27,140,80,-60.032,-60.038,-0.54,-0.118,-0.086,0.155,0.005,-37.03,-0.018,-17.235,-19.336,-42.234,-11.386,-63.783,20.378,-46.324,8.858,-64.962,38.401,-91.455,1.05,-106.51,-50.472,-88.365,4200.65,0.915,-20.159,0,0,,0,0,0,0,0,0,0,0,0,3
153,5,0,1,6,1,2,2,1,0,0,10,255,255,71,4217.818,눈꽃,R,0,140,1.666,1.08,2,-26.209,-109.284,0,0,1,6,3,R,장덕춘_,169.9,57,4218.672,113,124,19,135,77,92.92,85.941,-0.55,-0.09,-0.062,0.171,0.138,-36.875,0.044,-17.194,-19.144,-44.016,-12.833,-63.177,19.682,-43.769,8.754,-65.727,41.186,-91.248,0.543,-105.686,-50.081,-88.668,4224.033,47.208,-19.026,0,0,,0,0,0,0,0,0,0,0,0,0
