id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
20,1,0,0,1,0,0,0,0,255,255,255,1,742.667,_Chun,10,116,1.219,-1.987,1,0,400,0.236,-19.331,0,0,2,甲斐野柊太,190,79,0,0,0,0,0,0,0,0,0,-0.032,-37.691,0.157,-16.841,-21.311,-46.904,-10.83,-62.817,16.231,-44.777,13.441,-65.515,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
21,1,0,1,1,0,0,0,0,255,255,255,2,759.172,_Chun,6,112,-2.319,0.712,4,-500,0,0,0,1,0,2,甲斐野柊太,190,79,0,0,0,0,0,0,0,0,0,-0.24,-37.629,-0.615,-17.108,-21.378,-47.433,-10.695,-63.153,15.886,-46.599,13.523,-65.587,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
22,1,0,1,2,0,0,0,0,255,255,255,3,776.615,_Chun,0,115,0.587,-0.803,2,-38.544,-40.089,0,0,1,0,2,甲斐野柊太,190,34,777.723,108,204,85,148,69,28.04,9.304,1,0.079,-36.715,0.196,-16.886,-22.045,-48.568,-10.348,-61.531,16.67,-47.861,12.394,-64.185,35.7,-81.8,0,-100.6,-35.7,-81.8,783.909,-8.682,-86.196,783.909,-1,AI,-8.643,-86.038,1,0,1,0,0.073,-0.282,0
23,1,0,0,0,0,1,0,0,11,255,255,4,817.968,_Chun,6,115,0.825,-0.797,0,-494.776,0,0,0,0,1,4,CAT tourniquet,179.5,77,0,0,0,0,0,0,0,0,0,0.06,-37.746,0.104,-16.817,-20.035,-43.164,-5.444,-61.289,15.748,-41.21,13.818,-64.587,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
24,1,0,0,1,0,1,0,0,11,255,255,5,863.366,_Chun,0,128,2.774,-0.149,1,3.66,-49.686,0,0,0,1,4,CAT tourniquet,179.5,77,0,0,0,0,0,0,0,0,0,-0.017,-37.739,0.338,-16.758,-19.794,-43.88,-4.263,-61.83,17.131,-42.223,14.582,-63.487,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
25,1,0,1,1,0,1,0,0,11,255,255,6,882.124,_Chun,0,134,-1.309,-0.503,0,-41.399,-90.743,0,0,0,1,4,CAT tourniquet,179.5,77,0,0,0,0,0,0,0,0,0,-0.116,-37.511,-0.174,-17.17,-19.504,-43.684,-3.906,-61.838,17.19,-44.008,15.385,-63.218,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
26,1,0,1,2,0,1,0,0,11,255,255,7,900.19,_Chun,10,120,1.207,-2.667,2,0,400,0.211,-22.157,1,1,4,CAT tourniquet,179.5,77,901.123,96,150,44,134,89,-28.346,-17.881,0.915,0.497,-36.739,-0.031,-17.047,-20.373,-44.732,-4.698,-62.616,17.997,-44.167,14.463,-63.403,35.7,-81.8,0,-100.6,-35.7,-81.8,901.152,0.354,-21.083,903.423,5,소솨소솨,11.074,-55.239,1,2,1,0,0.112,-0.253,0
27,1,0,0,0,1,1,0,0,13,255,255,8,976.746,_Chun,0,133,-1.119,-0.817,2,-21.232,-80.233,0,0,1,2,1,encounter v,190,76,977.787,99,106,0,111,67,-77.155,70.25,-0.494,0.333,-36.792,-0.107,-16.946,-19.961,-45.305,-6.252,-61.823,17.504,-45.41,15.553,-63.479,35.7,-81.8,0,-100.6,-35.7,-81.8,977.881,-0.63,-20.902,0,0,,0,0,0,3,1,0,0.041,-0.112,0
28,1,0,0,1,1,1,0,0,13,255,255,9,998.867,_Chun,14,120,-1.085,-0.817,2,-426.352,261.197,0,0,1,2,1,encounter v,190,76,999.936,107,122,0,124,81,-52.676,26.7,0.002,0.404,-36.775,-0.251,-16.987,-19.963,-45.87,-6.27,-61.73,17.118,-45.406,14.715,-63.879,35.7,-81.8,0,-100.6,-35.7,-81.8,1000.02,-0.452,-20.447,1002.395,2,Sabo_10,-11.869,-43.002,1,2,1,0,0.083,-0.114,0
29,1,0,0,0,2,1,0,0,10,255,255,10,1036.649,_Chun,13,110,-1.357,-0.441,2,352.963,354.142,0,0,1,3,3,IllilliIIIIllil,174.5,75,1037.572,125,239,34,146,96,-39.056,11.457,0.943,0.36,-36.821,-0.115,-17.029,-20.18,-45.441,-6.315,-61.122,19.093,-47.57,15.047,-64.146,35.7,-81.8,0,-100.6,-35.7,-81.8,1037.645,-0.475,-22.303,1039.7,2,Sabo_10,-11.85,-45.489,0,2,1,0,0.054,-0.013,0
30,2,1,0,0,0,0,0,0,255,255,255,18,1096.613,Pugeuk,3,116,-0.685,-1.008,0,-404.424,0,-0.447,-17.973,1,0,3,ke ro,160,75,0,0,0,0,0,0,0,0,0,0.109,-38.078,-0.168,-17.57,-16.791,-43.274,-10.988,-65.299,19.723,-46.163,15.627,-62.746,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
31,2,1,0,1,0,0,0,0,255,255,255,19,1110.076,Pugeuk,14,111,1.763,-1.638,2,389.949,312.954,0,0,1,0,3,ke ro,160,75,1111.145,121,138,0,132,119,20.203,-31.307,0.508,0.059,-37.6,-0.059,-17.488,-16.843,-42.878,-10.983,-65.299,19.516,-46.234,15.371,-63.034,35.7,-81.8,0,-100.6,-35.7,-81.8,1114.214,43.491,-85.968,1118.513,3,IllilliIIIIllil,1.002,-59.744,0,1,1,0,-0.045,-0.114,0
32,2,1,0,0,1,0,0,0,255,255,255,20,1137.34,Pugeuk,0,136,1.187,0.276,0,45.583,-200,0,0,0,1,5,소솨소솨,170.3,74,0,0,0,0,0,0,0,0,0,0.081,-37.755,-0.084,-17.37,-17.045,-43.076,-11.315,-65.427,20.662,-46.91,15.826,-63.479,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
33,2,1,0,1,1,0,0,0,255,255,255,21,1149.32,Pugeuk,10,116,1.194,-1.958,2,0,400,0,0,1,1,5,소솨소솨,170.3,74,1150.274,111,189,67,145,68,-28.504,-12.436,1,0.003,-37.481,-0.07,-17.44,-17.036,-43.056,-11.295,-65.396,20.713,-46.911,13.807,-64.788,35.7,-81.8,0,-100.6,-35.7,-81.8,1150.395,0.347,-21.541,1153.332,5,mungjungh,7.354,-57.497,0,2,1,0,-0.083,-0.301,2
34,2,1,0,0,2,0,0,0,255,255,255,22,1174.336,Pugeuk,0,135,1.382,0.171,0,-59.111,-200,0,0,0,2,4,-라후이-,179.8,74,0,0,0,0,0,0,0,0,0,0.284,-37.758,-0.068,-17.357,-17.271,-42.526,-11.739,-64.394,21.366,-49.25,15.21,-63.368,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
35,2,1,0,1,2,0,0,0,255,255,255,23,1187.512,Pugeuk,3,117,-0.032,-0.632,0,-454.301,0,0,0,0,2,4,-라후이-,179.8,74,0,0,0,0,0,0,0,0,0,0.274,-37.948,-0.061,-17.348,-17.267,-42.671,-11.784,-64.4,21.341,-49.267,15.218,-63.388,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
36,2,1,0,2,2,0,0,0,255,255,255,24,1198.595,Pugeuk,10,112,-1.54,-0.932,4,68.697,400,-0.219,-17.844,1,2,4,-라후이-,179.8,74,0,0,0,0,0,0,0,0,0,0.212,-38.104,-0.079,-17.676,-17.677,-41.894,-11.674,-64.413,21.338,-49.221,15.185,-63.32,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,1,0,1,0,0,0,0
37,2,1,0,0,2,1,0,0,4,255,255,25,1251.605,Pugeuk,14,112,2.848,-1.525,4,372.299,333.757,0,0,1,3,2,Sabo_10,184.7,74,0,0,0,0,0,0,0,0,0,-0.231,-37.394,0.177,-17.908,-18.691,-41.265,-7.515,-64.285,20.869,-44.328,15.365,-62.274,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
38,2,1,0,1,2,1,0,0,4,255,255,26,1296.913,Pugeuk,0,135,-0.803,0.808,0,3.972,-163.065,0,0,0,3,2,Sabo_10,184.7,74,0,0,0,0,0,0,0,0,0,-0.173,-37.852,-0.365,-17.448,-18.042,-42.559,-9.371,-64.487,20.827,-44.969,15.779,-62.246,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
39,2,1,0,2,2,1,0,0,4,255,255,27,1313.259,Pugeuk,14,111,1.388,-0.371,0,307.68,394.123,0.521,-17.699,0,3,2,Sabo_10,184.7,74,0,0,0,0,0,0,0,0,0,0.2,-38.279,0.474,-17.661,-17.554,-41.735,-10.571,-65.321,20.846,-45.022,16.012,-62.4,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,8
