id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
48,3,1,0,2,1,0,1,0,255,5,255,32,1560.418,Pugeuk,0,131,0.557,0.134,2,75.853,-129.724,0,0,1,1,2,IllilliIIIIllil,174.5,89,1561.463,110,173,117,156,127,52.871,-39.909,0.477,-0.233,-36.928,0.041,-17.472,-19.293,-44.852,-9.863,-62.89,25.012,-48.578,14.253,-64.143,54.272,-76.322,9.535,-102.817,-18.638,-21.32,1568.247,62.685,-101.462,0,0,,0,0,0,4
49,3,1,0,0,1,0,0,0,255,255,255,33,1604.971,Pugeuk,6,107,-0.637,-0.051,0,469.083,67.186,0,0,1,2,3,mochi_2929,184.1,89,0,0,0,0,0,0,0,0,0,-0.063,-38.145,-0.1,-17.17,-19.934,-47.543,-8.974,-63.68,24.667,-48.055,12.198,-65.381,48.289,-87.057,7.105,-105.013,-18.306,-21.594,0,0,0,0,0,,0,0,0,0
50,3,1,0,1,1,0,0,0,255,255,255,34,1621.178,Pugeuk,14,107,1.878,-1.152,1,372.692,321.252,0,0,0,2,3,mochi_2929,184.1,89,0,0,0,0,0,0,0,0,0,0.008,-38.037,0.182,-17.117,-19.852,-48.009,-6.976,-65.007,21.418,-45.156,12.339,-65.35,48.229,-87.081,8.232,-103.612,-18.301,-21.411,0,0,0,0,0,,0,0,0,0
51,3,1,1,1,1,0,0,0,255,255,255,35,1637.6,Pugeuk,6,104,2.398,-0.396,4,413.855,39.447,0,0,1,2,3,mochi_2929,184.1,89,0,0,0,0,0,0,0,0,0,-0.044,-38.103,-0.169,-16.948,-19.859,-47.954,-7.039,-64.936,21.768,-47.71,12.124,-65.399,48.229,-87.088,8.079,-104.056,-18.391,-21.452,0,0,0,0,0,,0,0,0,0
52,3,1,1,2,1,0,0,0,255,255,255,36,1653.577,Pugeuk,0,127,0.453,1.666,2,70.145,-149.133,0,0,1,2,3,mochi_2929,184.1,89,1654.822,111,161,0,141,66,15.99,-0.886,-0.77,-0.026,-37.368,-0.192,-17.258,-19.884,-47.952,-8.066,-65.22,22.956,-47.689,12.059,-65.015,48.222,-87.094,4.585,-104.411,-18.354,-21.427,1657.37,2.41,-60.112,1657.792,5,Slaris,2.46,-60.905,0,2
53,3,1,0,0,2,0,0,0,255,255,255,37,1684.845,Pugeuk,0,88,0.075,-0.081,0,20.738,0,0,0,0,3,4,_Chun,190,89,0,0,0,0,0,0,0,0,0,-0.016,-37.734,0.175,-17.138,-20.979,-48.666,-9.143,-64.101,23.978,-47.736,14.669,-64.358,47.682,-87.39,16.095,-102.067,-1.128,-20.169,0,0,0,0,0,,0,0,0,0
54,3,1,0,1,2,0,0,0,255,255,255,38,1702.886,Pugeuk,0,124,0.034,1.419,4,115.332,-61.01,0,0,0,3,4,_Chun,190,89,0,0,0,0,0,0,0,0,0,-0.093,-37.839,0.486,-17.245,-21.19,-48.811,-9.086,-63.987,22.186,-47.528,13.711,-64.288,47.738,-87.359,4.674,-102.838,-1.262,-20.132,0,0,0,0,0,,0,0,0,0
55,3,1,0,2,2,0,0,0,255,255,255,39,1716.038,Pugeuk,0,125,-0.631,-0.027,2,90.518,-98.367,0,0,0,3,4,_Chun,190,89,1717.008,97,119,0,136,75,12.76,22.233,-0.219,-0.505,-36.904,-0.024,-17.356,-20.969,-48.905,-8.976,-64.073,23.382,-47.766,13.834,-64.77,47.649,-87.409,10.102,-103.73,-1.015,-20.214,1719.147,-12.147,-60.015,1719.38,3,Penguin_iDOL,-11.529,-57.677,0,1
56,3,0,0,0,0,0,0,0,255,255,255,15,1751.339,ゆっち一,0,140,0.233,0.488,0,-50.451,-200,0,0,1,6,7,jdw4469,173.2,89,0,0,0,0,0,0,0,0,0,-0.026,-37.116,-0.063,-16.83,-23.771,-47.509,-11.953,-59.779,22.086,-47.475,15.476,-63.478,36.83,-90.624,0.477,-108.849,-40.066,-83.101,0,0,0,0,0,,0,0,0,0
57,3,0,0,1,0,0,0,0,255,255,255,16,1766.069,ゆっち一,3,129,-3.407,-0.141,4,-383.404,48.159,0,0,1,6,7,jdw4469,173.2,89,0,0,0,0,0,0,0,0,0,-0.151,-37.136,-0.118,-16.787,-23.858,-47.534,-12.108,-60.424,22.026,-47.446,15.607,-63.437,37.032,-92.124,-1.514,-106.489,-39.44,-83.817,0,0,0,0,0,,0,0,0,0
