id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
55,3,0,5,1,1,0,2,0,0,0,255,255,255,24,1748.022,"하루（Haru）",R,27,90,140,-2.051,-1.266,-0.213,1.623,-0.993,0.808,-36.254,1,0,83.152,-105.223,11.472,0,0,0,4,3,L,"눈꽃",162.5,84.906,0.496,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.512,-37.072,0,"HANA_ARASHI",0.086,-17.55,0,"아침땅_",-19.702,-48.18,0,"sano jpn",-11.568,-65.506,0,"_Chun",21.92,-48.478,0,"coder_",12.239,-65.331,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
56,3,0,5,1,2,0,2,0,0,0,255,255,255,25,1761.631,"하루（Haru）",R,10,48,99,-0.64,-0.839,-0.04,1.946,-0.277,1.851,-36.725,2,0,0,385.598,-2.922,0,0,1,4,3,L,"눈꽃",162.5,84.906,0.496,3,39,1762.92,255,206,145,82,71,145,121,25.868,-11.274,0.35,0.054,-0.036,0,0.351,-0.349,-36.907,0,"HANA_ARASHI",-0.044,-17.75,0,"아침땅_",-19.729,-48.001,0,"sano jpn",-11.578,-65.529,0,"_Chun",21.915,-48.446,85,"coder_",12.243,-65.228,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,1766.697,35.681,-118.718,1772.497,5,"coder_",12.741,-80.647,1,0,0,0,0,0,49,2
57,3,0,5,1,0,0,2,0,1,0,255,13,255,26,1802.748,"하루（Haru）",R,34,89,140,0.822,0.092,0.057,1.831,0.266,1.603,-36.278,2,0,70.479,-69.416,9.225,0,0,1,5,0,L,"Sabo_10",190,90,0.599,3,39,1803.864,163,81,112,108,41,145,104,30.053,-19.658,0.91,0.021,-0.05,0,0.442,0.215,-36.816,0,"HANA_ARASHI",-0.034,-17.403,0,"아침땅_",-19.21,-48.315,0,"sano jpn",-3.744,-59.646,0,"_Chun",20.797,-45.958,0,"coder_",14.333,-64.308,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,1807.697,43.571,-95.279,0,0,"",0,0,0,0,0,0,0,0,32,1
58,4,1,5,1,0,0,0,0,0,0,255,255,255,30,1836.085,"Sabo_10",L,10,82,124,1.237,-2.022,-0.364,2.006,0.546,0.776,-36.771,4,0,0,400,-30.359,0.265,-19.416,1,4,4,L,"_Chun",190,80,0.445,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.451,-37.592,0,"Multeinn",-0.07,-16.701,0,"Ayu_Yua",-22.082,-47.834,0,"눈꽃",-6.642,-66.677,0,"Penguin_iDOL",20.892,-45.735,0,"muyang_",15.36,-61.984,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
59,4,1,5,1,0,1,0,0,0,0,255,255,255,31,1848.287,"Sabo_10",L,26,90,140,1.069,-0.445,-0.262,1.991,0.363,1.139,-36.705,2,0,89.259,-200,-46.366,0,0,1,4,4,L,"_Chun",190,80,0.445,3,87,1849.226,255,76,91,59,33,145,104,100.564,77.07,0.91,0.037,-0.086,0,0.141,-0.229,-36.959,0,"Multeinn",0.001,-16.719,0,"Ayu_Yua",-22.024,-47.844,0,"눈꽃",-7.726,-67.269,0,"Penguin_iDOL",20.933,-45.791,0,"muyang_",15.978,-61.67,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,1853.99,73.185,5.883,0,0,"",0,0,0,0,0,0,0,0,32,3
60,4,1,5,1,0,2,0,0,0,0,255,255,255,32,1864.978,"Sabo_10",L,14,76,104,-1.409,-1.947,-0.434,1.874,-0.156,0.957,-36.674,4,0,-224.108,400,-50.23,-0.495,-16.669,1,4,4,L,"_Chun",190,80,0.445,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.413,-37.581,0,"Multeinn",-0.152,-16.608,0,"Ayu_Yua",-22.722,-48.525,0,"눈꽃",-9.813,-66.425,0,"Penguin_iDOL",22.433,-49.396,0,"muyang_",17.187,-63.064,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,16,0,0,0,0,0,0
61,4,1,5,1,0,0,1,0,0,0,255,255,255,33,1891.413,"Sabo_10",L,10,75,117,-1.293,-2.502,-0.597,1.941,-0.547,0.509,-36.725,4,0,0,393.336,-16.652,-0.247,-17.36,0,5,0,R,"하루（Haru）",190,80,0.549,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.578,-37.505,0,"Multeinn",-0.361,-17.342,0,"Ayu_Yua",-22.822,-48.405,0,"눈꽃",-15.564,-63.145,0,"Penguin_iDOL",22.534,-49.278,0,"muyang_",13.575,-64.026,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
62,4,1,5,1,1,0,1,0,0,0,255,255,255,34,1921.12,"Sabo_10",L,26,87,140,0.126,-1.262,-0.374,1.958,-0.079,0.643,-36.733,1,0,109.635,-175.414,-34.183,0.093,-17.136,0,5,0,R,"하루（Haru）",190,80,0.549,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.556,-37.455,0,"Multeinn",-0.126,-17.169,0,"Ayu_Yua",-22.752,-48.412,0,"눈꽃",-14.158,-64.379,0,"Penguin_iDOL",23.106,-50.587,0,"muyang_",13.12,-64.53,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
63,4,1,5,1,2,0,1,0,0,0,255,255,255,35,1937.071,"Sabo_10",L,26,82,134,1.171,-0.843,-0.265,1.941,0.351,0.922,-36.688,0,0,131.705,-152.868,-54.007,0,0,0,5,0,R,"하루（Haru）",190,80,0.549,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.397,-37.597,0,"Multeinn",-0.109,-17.103,0,"Ayu_Yua",-22.78,-48.426,0,"눈꽃",-14.198,-63.844,0,"Penguin_iDOL",23.096,-50.47,0,"muyang_",13.472,-64.547,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
64,4,1,5,1,2,1,1,0,0,0,255,255,255,36,1951.313,"Sabo_10",L,12,75,125,0.317,-0.595,-0.489,2.138,0.151,1.293,-36.871,0,0,0,72.919,-10.778,0.241,-14.936,0,5,0,R,"하루（Haru）",190,80,0.549,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,-37.673,0,"Multeinn",0.019,-16.976,0,"Ayu_Yua",-22.794,-48.393,0,"눈꽃",-14.718,-63.596,0,"Penguin_iDOL",23.075,-50.71,0,"muyang_",12.847,-64.503,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
