id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
138,5,0,3,9,0,2,2,0,0,0,255,255,255,68,4393.127,甲斐野柊太,R,0,111,0.902,2.382,1,0,0,0,0,0,5,2,R,Gonyong,190,90,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,-37.013,-0.053,-16.946,-21.052,-45.963,-13.147,-63.091,18.516,-48.706,11.575,-64.972,40.64,-86.198,1.138,-110.111,-45.345,-88.717,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
139,5,0,3,9,1,2,2,0,0,0,255,255,255,69,4409.553,甲斐野柊太,R,0,127,-0.943,-2.529,1,0.037,45.655,-0.162,-22.686,0,5,2,R,Gonyong,190,90,0,0,0,0,0,0,0,0,0,0,0,0,-0.222,-37,-0.117,-17.358,-21.19,-45.777,-13.579,-64.63,17.482,-47.274,11.587,-65.35,43.214,-90.056,1.184,-109.811,-45.829,-89.475,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
140,5,0,3,9,2,2,2,0,0,0,255,255,255,70,4430.45,甲斐野柊太,R,0,134,0.601,-0.078,2,0,0,0,0,1,5,2,R,Gonyong,190,90,4431.497,133,176,38,142,129,35.104,48.138,0.36,-0.102,-0.066,0.192,-0.258,-37.079,-0.071,-17.212,-20.555,-45.001,-12.595,-64.357,17.186,-47.53,11.87,-65.497,48.004,-91.247,1.437,-108.626,-48.176,-90.856,4433.011,-91.111,-100.455,0,0,,0,0,0,0,0,0,0,0,0,0
141,5,0,3,9,2,2,2,0,0,0,255,255,255,71,4453.803,甲斐野柊太,R,11,93,0.075,-1.165,4,0,199.121,0,0,1,5,2,R,Gonyong,190,90,0,0,0,0,0,0,0,0,0,0,0,0,-0.262,-36.914,-0.171,-17.975,-18.83,-42.483,-13.173,-64.192,18.506,-48.358,11.831,-65.319,42.604,-90.105,2.112,-111.204,-47.846,-87.178,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
142,6,1,3,9,0,0,0,0,0,0,255,255,255,69,4500.359,하루（Haru）,R,0,125,-0.34,0.672,2,28.918,-32.809,0,0,1,4,4,R,인생최패망자,190,75,4501.476,129,122,0,134,97,44.007,19.71,-0.34,-0.061,-0.065,0.291,-0.352,-36.739,0.023,-17.011,-22.565,-50.549,-13.363,-64.313,13.676,-59.023,23.205,-49.426,41.433,-85.949,-1.376,-110.991,-36.557,-85.154,0,0,0,4502.956,8,Pugeuk,-21.995,-86.869,0,0,0,0,0,0,0,1
143,6,1,3,9,0,0,1,0,0,0,255,255,255,70,4538.916,하루（Haru）,R,10,76,-0.288,-1.02,0,0,349.477,-0.071,-18.438,1,5,7,R,Multeinn,160,49,0,0,0,0,0,0,0,0,0,0,0,0,0.029,-37.161,0.009,-16.995,-18.916,-48.752,-11.088,-65.002,11.552,-60.997,20.711,-50.145,41.134,-86.986,-0.127,-105.275,-37.009,-87.108,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
144,6,1,3,9,0,1,1,0,0,0,255,255,255,71,4552.83,하루（Haru）,R,0,140,1.464,1.21,2,71.653,-102.744,0,0,1,5,7,R,Multeinn,160,49,4553.718,145,37,4,55,55,-85.986,83.919,-0.2,-0.039,-0.016,0,-0.458,-36.742,0.028,-17.111,-18.773,-48.645,-11.127,-65.009,11.571,-61.029,20.302,-49.8,41.111,-86.952,0.084,-105.346,-37.118,-87.005,4549.633,-0.364,-19.002,0,0,,0,0,0,0,0,0,0,0,0,0
145,6,1,3,9,0,2,1,0,0,0,255,255,255,72,4568.634,하루（Haru）,R,10,90,0.451,-1.489,4,-16.337,380.324,0,0,1,5,7,R,Multeinn,160,49,0,0,0,0,0,0,0,0,0,0,0,0,0.067,-37.421,-0.031,-17.016,-19.685,-46.12,-11.763,-63.978,9.225,-58.223,19.684,-48.364,41.113,-86.795,-0.099,-110.496,-36.202,-85.219,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
146,6,1,3,9,0,0,2,0,0,0,255,255,255,73,4592.536,하루（Haru）,R,0,0,0,0,0,0,0,0,0,1,6,3,R,소솨소솨,160,90,4593.421,97,69,1,90,61,-5.562,11.423,-1,-0.105,-0.164,0.166,-0.11,-36.761,0.006,-17.154,-20.016,-45.86,-12.112,-64.777,12.233,-59.895,21.267,-50.394,41.693,-86.16,0.407,-110.437,-36.038,-86.048,4590,0.338,-19.082,4595.233,9,Roslynn,0.195,-38.079,0,0,0,0,0,0,0,3
147,6,1,3,9,0,1,2,0,0,0,255,255,255,74,4603.799,하루（Haru）,R,5,114,0.722,0.642,2,-60.844,0,0,0,1,6,3,R,소솨소솨,160,90,4604.932,159,165,43,145,79,80.774,74.164,-1,-0.041,-0.148,0.564,-0.322,-36.754,-0.028,-17.107,-20.422,-44.471,-11.568,-65.1,11.87,-60.208,23.978,-52.457,41.026,-85.873,0.28,-110.292,-34.527,-85.76,4606.344,-40.924,-31.261,0,0,,0,0,0,0,0,0,0,0,0,0
148,6,1,3,9,0,2,2,0,0,0,255,255,255,75,4622.769,하루（Haru）,R,0,71,0.812,-1.005,2,0,0,0,0,1,6,3,R,소솨소솨,160,90,4623.905,148,204,21,146,79,49.392,50.004,-1,-0.087,-0.175,0.633,-0.21,-36.785,-0.04,-17.153,-20.237,-48.531,-11.74,-64.821,12.78,-61.651,22.346,-48.493,41.095,-85.933,0.931,-104.833,-35.476,-83.964,4624.544,-44.248,-61.387,0,0,,0,0,0,0,0,0,0,0,0,3
149,6,1,3,9,0,2,2,0,0,0,255,255,255,76,4640.811,하루（Haru）,R,0,140,0.632,0.182,2,69.303,-108.598,0,0,1,6,3,R,소솨소솨,160,90,4641.678,144,81,0,123,59,-72.232,28.78,1,-0.097,-0.244,0.303,-0.412,-36.666,-0.011,-17.158,-19.87,-46.922,-12.281,-64.416,10.927,-59.763,25.307,-53.861,41.266,-85.976,-1.43,-100.627,-35.57,-81.684,4637.611,0.017,-18.756,4640.778,0,하루（Haru）,-6.376,-30.513,0,0,0,0,0,0,0,2
150,6,0,3,9,0,0,0,0,0,0,255,255,255,72,4680.405,甲斐野柊太,R,1,94,0.006,-1.276,1,0,0,0,0,0,6,7,R,ke ro,160,90,0,0,0,0,0,0,0,0,0,0,0,0,-0.328,-37.199,-0.069,-17.085,-21.039,-45.606,-16.554,-62.334,18.142,-48.552,12.306,-64.787,37.095,-87.599,5.542,-109.395,-40.084,-80.795,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
151,6,0,3,9,1,0,0,0,0,0,255,255,255,73,4696.957,甲斐野柊太,R,0,138,0.831,0.719,2,0,0,0,0,1,6,7,R,ke ro,160,90,4697.939,119,7,7,39,51,-52.911,-6.686,-0.47,-0.011,-0.043,0,-0.295,-36.943,-0.025,-17.19,-20.822,-45.553,-16.496,-62.43,17.83,-48.663,11.963,-65.175,39.545,-88.838,5.835,-110.146,-41.274,-82.902,4693.889,0.234,-19.208,4696.022,0,甲斐野柊太,1.57,-31.899,0,0,0,0,0,0,0,2
152,6,0,3,9,0,0,1,0,0,0,255,255,255,74,4727.972,甲斐野柊太,R,0,132,-0.077,-0.594,2,0,0,0,0,1,7,5,L,NABIMan,179.9,42,4728.912,209,181,56,152,92,-9.826,-18.296,-0.9,-0.02,-0.078,0.538,-0.123,-36.837,-0.041,-17.062,-20.085,-43.501,-11.607,-64.543,20.726,-45.986,13.224,-64.542,47.314,-97.941,5.51,-109.345,-42.934,-83.514,4725,1.121,-23.014,4727.122,5,coder_,14.564,-56.735,1,0,0,0,0,0,0,2
