id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,219.516,IllilliIIIIllil,R,0,140,-0.803,-0.443,0,11.667,-75.089,0,0,0,1,4,R,Eaglebuter,169.5,95,0.5,110,0,0,0,0,0,0,0,0,0,0,0,0,-0.099,-37.459,-0.049,-17.069,-22.636,-49.114,-15.222,-63.888,22.646,-49.869,12.857,-62.487,35.7,-81.8,-2.314,-110.536,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,232.795,IllilliIIIIllil,R,0,136,0.139,0.572,0,23.823,-192.957,0,0,1,1,4,R,Eaglebuter,169.5,95,0.5,110,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-37.858,-0.062,-16.941,-22.708,-49.153,-15.224,-63.889,22.78,-49.934,13.039,-62.805,35.7,-81.8,-3.31,-109.555,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,246.643,IllilliIIIIllil,R,0,132,0.976,1.151,2,32.414,-135.933,0,0,1,0,4,R,Eaglebuter,169.5,95,0.5,110,247.559,95,73,3,127,74,-57.329,52.382,-0.34,-0.071,-0.07,0.305,-0.033,-37.038,0,-16.887,-20.884,-46.74,-15.222,-63.905,22.577,-49.809,13.032,-62.445,35.7,-81.8,-3.455,-109.338,-35.7,-81.8,247.483,-0.749,-19.221,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,0,2,0,0,0,0,255,255,255,3,262.907,IllilliIIIIllil,R,0,131,0.082,0.348,2,44.782,-103.79,0,0,1,0,4,R,Eaglebuter,169.5,95,0.5,73,263.965,124,55,10,109,98,-52.518,-14.729,0.33,-0.098,-0.125,0.281,0.065,-37.281,-0.004,-17.126,-21.602,-47.443,-14.873,-63.717,24.12,-51.537,11.286,-63.227,35.7,-81.8,-2.674,-109.504,-39.387,-84.28,263.837,0.192,-19.184,266.636,5,_Chun,9.145,-53.357,0,1,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,297.836,IllilliIIIIllil,R,10,128,0.243,-0.017,0,0,400,-0.152,-17.663,1,1,2,R,甲斐野柊太,190,86,0.2,101,0,0,0,0,0,0,0,0,0,0,0,0,-0.155,-38.006,0.06,-17.292,-19.459,-44.697,-12.003,-64.651,23.423,-51.635,11.898,-63.25,35.7,-81.8,-1.71,-110.014,-36.541,-80.38,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,313.74,IllilliIIIIllil,R,10,128,0.288,-1.468,2,0,400,0,0,1,1,2,R,甲斐野柊太,190,86,0.2,29,314.765,190,155,61,148,78,-36.039,-7.982,0.98,0.021,-0.144,0.353,-0.168,-37.468,0.052,-17.159,-19.488,-44.803,-11.996,-64.646,23.457,-51.45,11.84,-63.365,35.7,-81.8,-1.35,-109.681,-36.598,-80.338,314.573,0.135,-21.31,317.365,5,_Chun,6.057,-57.896,0,2,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,345.26,IllilliIIIIllil,R,14,121,0.974,-0.62,0,284.482,394.479,0.388,-17.385,1,2,3,L,눈꽃,175.5,100.309,0.5,97,0,0,0,0,0,0,0,0,0,0,0,0,-0.143,-37.952,0.464,-17.01,-22.547,-47.511,-12.503,-64.764,23.18,-51.134,9.851,-63.471,35.7,-81.8,0.856,-120.459,-37.6,-80.034,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,362.791,IllilliIIIIllil,R,14,119,2.053,-1.378,2,376.508,329.001,0,0,1,2,3,L,눈꽃,175.5,100.309,0.5,97,363.796,98,140,83,134,93,-48.938,-39.704,0.9,0.091,-0.049,0.055,-0.11,-37.051,0.033,-16.916,-22.56,-47.53,-12.535,-64.753,23.174,-51.13,10.238,-63.243,35.7,-81.8,1.368,-120.726,-37.666,-79.598,363.594,0.702,-20.94,366.053,4,schmoneymikey,20.142,-44.528,0,0,0,0,0,0,0,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,482.596,소솨소솨,R,0,134,0,0.924,2,0,0,0,0,1,0,2,L,Pring__,179.7,90.045,0.475,91,483.39,141,114,30,139,83,38.207,-1.443,-0.45,-0.034,-0.052,0.268,-0.382,-37.42,-0.144,-16.281,-17.75,-43.246,-15.068,-63.452,19.087,-43.859,13.021,-64.293,35.7,-81.8,5.755,-107.039,-35.7,-81.8,488.184,1.973,-81.981,489.157,7,Gonyong,2.14,-86.972,1,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,1,0,0,15,255,255,1,522.947,소솨소솨,R,3,103,-0.226,-0.174,0,-405.304,0,0,0,0,1,7,R,인생최패망자,174.5,90,0.45,85,0,0,0,0,0,0,0,0,0,0,0,0,0.034,-37.953,-0.296,-16.368,-18.023,-39.373,-10.337,-60.927,18.844,-43.361,6.935,-64.88,35.7,-81.8,-4.616,-101.564,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
