id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
14,1,1,2,0,0,0,2,0,1,0,255,2,255,13,739.977,Espressο,R,0,81,2.342,-1.725,1,4.038,-17.001,0.698,-17.636,0,5,0,R,Oort__Cloud,190,94,0,0,0,0,0,0,0,0,0,0,0,-0.085,-37.503,-0.025,-17.351,-22.116,-49.574,-12.074,-65.307,20.828,-44.228,12.987,-65.034,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
15,1,1,2,0,1,1,2,0,0,1,255,255,2,14,794.223,Espressο,R,13,119,-1.588,-0.615,4,-355.073,352.028,-0.664,-17.692,1,5,0,R,Oort__Cloud,190,94,0,0,0,0,0,0,0,0,0,0,0,-0.105,-37.297,-0.393,-17.587,-23.327,-50.609,-13.183,-64.738,17.879,-44.357,11.766,-62.71,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
16,1,1,2,0,1,2,2,0,0,1,255,255,2,15,812.23,Espressο,R,10,115,-0.794,-2.529,2,0,400,-0.144,-20.591,1,5,0,R,Oort__Cloud,190,94,813.363,103,237,31,144,100,2.542,2.266,0.916,-0.087,-0.065,-0.393,-36.818,-0.025,-17.538,-23.415,-50.715,-13.213,-64.74,18.405,-42.382,12.796,-64.288,35.702,-81.801,0,-100.602,-35.702,-81.801,816.952,-0.828,-91.304,816.949,-1,AI,-0.827,-90.952,1,0,0
17,1,1,3,0,0,0,2,1,0,0,0,255,255,16,866.805,Espressο,R,10,122,0.145,-2.529,2,0,400,-0.125,-20.003,1,0,1,L,NABIMan,190,44,867.786,110,124,0,131,86,-59.26,31.547,0.946,0.051,0.069,-0.281,-37.034,0.038,-17.547,-17.773,-42.766,-12.644,-64.335,19.613,-46.667,9.273,-66.641,35.702,-81.801,0,-100.602,-35.702,-81.801,867.83,-0.236,-19.823,870.263,2,하루（Haru）,-12.846,-40.363,0,0,2
18,1,0,3,0,0,0,0,0,0,0,255,255,255,0,976.638,Oort__Cloud,R,0,103,-0.303,-0.118,0,0,0,0,0,0,0,2,L,하루（Haru）,179.8,93,0,0,0,0,0,0,0,0,0,0,0,-0.292,-37.575,-0.218,-17.29,-21.307,-51.473,-9.034,-65.725,24.288,-52.98,15.431,-61.206,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
19,1,0,3,0,0,1,0,0,0,0,255,255,255,1,995.994,Oort__Cloud,R,3,74,1.425,-0.895,0,-287.714,0,0,0,1,0,2,L,하루（Haru）,179.8,93,0,0,0,0,0,0,0,0,0,0,0,-0.131,-37.535,0.033,-17.243,-21.288,-51.409,-10.196,-65.892,24.14,-53.271,15.419,-61.218,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
20,1,0,3,0,0,2,0,0,0,0,255,255,255,2,1017.55,Oort__Cloud,R,0,125,-1.113,-0.303,0,24.033,-165.175,0,0,1,0,2,L,하루（Haru）,179.8,93,0,0,0,0,0,0,0,0,0,0,0,-0.009,-38.16,-0.249,-17.546,-21.164,-51.498,-10.371,-66.019,24.21,-53.209,15.525,-61.23,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
21,1,0,3,0,0,0,1,0,0,0,255,255,255,3,1050.309,Oort__Cloud,R,3,83,-0.579,-1.49,1,-377.273,0,-0.338,-17.771,0,1,4,R,Roscosmos,175.2,93,0,0,0,0,0,0,0,0,0,0,0,-0.12,-37.792,-0.012,-17.312,-24.87,-51.081,-12.463,-65.356,23.957,-53.921,15.313,-62.563,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
22,1,0,3,0,1,0,1,0,0,0,255,255,255,4,1068.588,Oort__Cloud,R,0,121,0.849,0.424,2,27.45,-114.401,0,0,1,1,4,R,Roscosmos,175.2,93,1069.457,104,152,0,133,64,24.534,-39.714,-0.952,-0.079,-0.154,-0.144,-36.9,0.068,-17.487,-24.801,-51.065,-13.198,-65.132,23.873,-53.987,15.34,-62.642,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,1072.352,4,Apple_Sherbet,22.308,-47.406,0,0,1
23,1,0,3,0,0,0,2,0,0,0,255,255,255,5,1090.122,Oort__Cloud,R,0,110,0.818,-0.133,2,-0.773,0,0,0,1,2,1,R,Dοpi,190,93,1090.957,109,198,64,148,91,34.402,32.842,-0.077,-0.052,-0.059,-0.12,-37.093,-0.068,-17.357,-22.815,-49.067,-11.249,-65.979,23.992,-53.453,14.998,-61.569,35.7,-81.8,0,-100.6,-35.7,-81.8,1095.763,-47.823,-74.926,0,0,,0,0,0,0,1
24,2,1,3,0,0,0,0,0,0,0,255,255,255,17,1140.393,Espressο,R,0,139,0.339,-2.529,4,104.429,-200,0.062,-20.514,1,1,5,R,Gonyong,190,93,0,0,0,0,0,0,0,0,0,0,0,0.156,-37.592,-0.068,-17.438,-22.075,-48.5,-13.336,-61.055,20.145,-46.804,12.945,-63.729,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
