id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
132,6,1,3,7,0,0,2,0,1,0,255,5,255,69,3983.41,WhiteMountain,R,2,112,-3.283,0.738,0.158,1.566,-36.747,4,0,-361.577,-345.344,-8.561,0,0,1,5,0,R,소솨소솨,190,95,0.5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28,-37.217,vovopo 보보포,0.133,-16.918,인생최패망자,-17.563,-44.351,Kr_Luna,-16.159,-59.874,Pring__,17.015,-40.054,Pugeuk,2.538,-62.34,AI,35.7,-81.8,AI,0,-100.6,Yaksok~,-40.425,-83.897,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
133,6,1,4,7,0,1,2,0,0,0,255,255,255,70,4037.369,WhiteMountain,R,15,103,-0.665,1.344,0.183,1.706,-36.77,2,0,-127.583,-400,-19.605,0,0,1,5,0,R,소솨소솨,190,95,0.5,2,61,4038.367,255,24,135,103,66,255,150,98,90.55,-89.229,-0.46,0.017,-0.069,0.107,0,-0.258,-36.843,vovopo 보보포,0.002,-16.656,인생최패망자,-19.497,-46.109,Kr_Luna,-12.573,-63.514,Pring__,22.704,-47.083,Pugeuk,12.861,-58.51,AI,35.7,-81.8,AI,0,-100.6,Yaksok~,-41.785,-84.784,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
134,6,1,4,7,0,2,2,0,0,0,255,255,255,71,4056.384,WhiteMountain,R,11,121,-0.707,-1.654,0.128,1.584,-36.605,1,0,0,179.403,12.823,-0.171,-17.876,0,5,0,R,소솨소솨,190,95,0.5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.461,-37.698,vovopo 보보포,-0.272,-16.693,인생최패망자,-9.639,-35.408,Kr_Luna,-15.003,-63.757,Pring__,12.434,-36.487,Pugeuk,6.885,-40.328,AI,35.7,-81.8,AI,0,-100.6,Yaksok~,-41.847,-84.213,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
135,6,1,4,7,1,2,2,0,0,0,255,255,255,72,4078.925,WhiteMountain,R,34,128,-1.355,-0.628,0.106,1.7,-36.687,2,0,90.983,-57.435,0.06,0,0,1,5,0,R,소솨소솨,190,95,0.5,2,61,4080.019,174,18,141,88,31,255,150,128,108.79,-67.355,0.48,-0.046,-0.124,0.169,0,-0.237,-36.709,vovopo 보보포,0.067,-16.582,인생최패망자,-10.104,-35.815,Kr_Luna,-14.941,-63.61,Pring__,12.613,-36.921,Pugeuk,8.085,-50.439,AI,35.7,-81.8,AI,0,-100.6,Yaksok~,-41.861,-83.726,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
136,6,1,4,7,1,2,2,0,0,0,255,255,255,73,4097.354,WhiteMountain,R,0,125,12.834,0.678,0.095,1.721,-36.85,2,0,-9.091,0,4.183,0,0,1,5,0,R,소솨소솨,190,95,0.5,2,61,4098.254,255,14,165,30,20,255,150,96,-3.751,32.862,-0.44,-0.022,-0.146,0.316,0,-0.836,-37.011,vovopo 보보포,-0.14,-16.306,인생최패망자,-18.904,-45.366,Kr_Luna,-4.601,-35.573,Pring__,13.326,-45.928,Pugeuk,11.784,-59.026,AI,35.7,-81.8,AI,0,-100.6,Yaksok~,-43.198,-85.162,4098.503,-4.895,-26.829,4099.704,2,인생최패망자,-15.158,-41.881,0,0,0,0,0,0,0,2
137,6,0,4,7,0,0,0,0,0,0,255,255,255,62,4165.676,coder_,R,38,74,0.94,-1.013,0.208,1.564,-36.788,0,0,-2.074,-4.043,-0.458,0,0,1,2,5,R,Pugeuk,160,90.629,0.547,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.776,-34.944,Sabo_10,0.029,-16.854,encounter v,-17.684,-42.412,Multeinn,-15.341,-46.722,소솨소솨,4.683,-27.695,Oort__Cloud,14.648,-63.624,AI,35.7,-81.8,AI,0,-100.6,甲斐野柊太,-37.743,-84.919,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
138,6,0,4,7,0,1,0,0,0,0,255,255,255,63,4187.047,coder_,R,26,124,-2.254,2.077,0.208,1.564,-36.788,2,0,-73.63,-200,14.318,0,0,1,2,5,R,Pugeuk,160,90.629,0.547,3,33,4188.075,128,15,87,47,17,120,139,93,29.913,28.34,0.95,0.029,0.099,0.256,0,-0.217,-36.985,Sabo_10,0.07,-16.929,encounter v,-21.011,-47.013,Multeinn,-12.454,-57.964,소솨소솨,12.346,-35.797,Oort__Cloud,14.637,-63.523,AI,35.7,-81.8,AI,0,-100.6,甲斐野柊太,-37.49,-85.461,4192.687,-29.812,-93.226,4192.92,8,甲斐野柊太,-29.043,-90.992,0,0,0,0,0,0,0,1
139,6,0,4,7,0,0,1,0,0,0,255,255,255,64,4225.214,coder_,R,6,91,3.169,0.219,0.231,1.82,-36.711,4,0,279.736,0,-12.906,0,0,1,3,4,L,Pring__,179.5,95,0.401,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,-37.028,Sabo_10,1.175,-17.847,encounter v,-21.879,-48.074,Multeinn,-12.469,-58.537,소솨소솨,15.024,-40.635,Oort__Cloud,15.582,-63.21,AI,35.7,-81.8,AI,0,-100.6,甲斐野柊太,-33.694,-87.785,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
140,6,0,4,7,0,1,1,0,0,0,255,255,255,65,4240.91,coder_,R,10,118,-0.649,-2.642,-0.06,1.415,-36.597,4,0,0,400,13.485,-0.119,-20.852,1,3,4,L,Pring__,179.5,95,0.401,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112,-37.206,Sabo_10,-0.032,-17.159,encounter v,-21.775,-47.8,Multeinn,-12.163,-53.146,소솨소솨,11.401,-35.369,Oort__Cloud,15.458,-63.302,AI,35.7,-81.8,AI,0,-100.6,甲斐野柊太,-33.787,-87.795,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
141,6,0,4,7,0,2,1,0,0,0,255,255,255,66,4258.183,coder_,R,6,108,3.163,-0.571,0.121,1.663,-36.605,4,0,426.196,0,-14.231,0,0,1,3,4,L,Pring__,179.5,95,0.401,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286,-36.669,Sabo_10,0.633,-17.54,encounter v,-22.459,-45.783,Multeinn,-15.377,-55.42,소솨소솨,18.07,-44.004,Oort__Cloud,15.607,-63.159,AI,35.7,-81.8,AI,0,-100.6,甲斐野柊太,-33.849,-87.816,0,0,0,0,0,,0,0,0,8,0,0,0,0,0,0
