id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
149,6,0,4,8,0,0,0,1,0,1,15,255,16,73,4916.746,하루（Haru）,R,28,137,-1.155,-0.085,-0.12,1.803,-36.488,0,0,48.382,-54.556,3.698,-0.638,-16.701,1,8,8,R,yaki_marimo,163.1,87.589,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-37.618,Pugeuk,-0.07,-16.887,Pring__,-20.496,-42.842,Fresh825,-11.706,-65.538,눈꽃,18.25,-40.98,Espressο,16.621,-61.871,AI,35.7,-81.8,Yaksok~,-1.611,-111.113,HANA_ARASHI,-45.442,-95.452,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
150,6,0,4,8,0,1,0,1,0,1,15,255,16,74,4935.084,하루（Haru）,R,1,93,-0.458,-1.577,0.125,1.774,-36.763,4,0,0,0,1.496,0,0,1,8,8,R,yaki_marimo,163.1,87.589,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,-37.63,Pugeuk,-0.178,-16.672,Pring__,-20.286,-41.553,Fresh825,-11.797,-65.555,눈꽃,18.744,-41.167,Espressο,15.21,-62.81,AI,35.7,-81.8,Yaksok~,-3.622,-113.185,HANA_ARASHI,-43.618,-94.934,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
151,6,0,4,8,0,2,0,1,0,1,15,255,16,75,4957.119,하루（Haru）,R,1,91,-3.198,-1.943,0.121,1.721,-36.719,1,0,0,0,0.768,0,0,0,8,8,R,yaki_marimo,163.1,87.589,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.941,-39.853,Pugeuk,-0.709,-17.929,Pring__,-20.506,-40.397,Fresh825,-3.363,-63.799,눈꽃,19.102,-41.612,Espressο,15.214,-62.847,AI,35.7,-81.8,Yaksok~,-2.623,-109.764,HANA_ARASHI,-45.068,-95.708,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
152,6,0,4,8,1,2,0,0,1,1,255,15,16,76,4980.476,하루（Haru）,R,28,133,-1.463,0.881,-0.157,1.93,-36.636,2,0,68.983,-89.768,9.861,0,0,1,8,8,R,yaki_marimo,163.1,87.589,0.2,3,22,4981.681,203,16,79,59,34,67,141,111,-30,47.262,0.85,-0.041,-0.025,0.068,0,-0.058,-37.33,Pugeuk,-0.146,-16.372,Pring__,-20.322,-40.638,Fresh825,-13.892,-63.588,눈꽃,17.533,-42.011,Espressο,14.975,-62.852,AI,35.7,-81.8,Yaksok~,-5.138,-111.663,HANA_ARASHI,-45.329,-92.397,4981.686,-2.31,-18.307,0,0,,0,0,0,0,0,0,0,0,0,3
153,6,0,4,8,1,2,0,0,1,1,255,15,16,77,5006.373,하루（Haru）,R,1,100,-0.639,-1.894,0.083,1.988,-36.814,4,0,0,0,10.487,-0.136,-18.932,1,8,8,R,yaki_marimo,163.1,87.589,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42,-37.437,Pugeuk,-0.033,-16.658,Pring__,-21.377,-45.124,Fresh825,-14.591,-64.273,눈꽃,19.191,-39.988,Espressο,15.976,-62.409,AI,35.7,-81.8,Yaksok~,-5.698,-108.382,HANA_ARASHI,-48.173,-96.781,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
154,6,0,4,8,0,0,1,0,1,1,255,15,16,78,5037.201,하루（Haru）,R,28,130,1.71,0.471,0.135,1.908,-36.581,4,0,72.306,-92.843,7.17,0.292,-21.084,1,0,1,R,NABIMan,190,95,0.55,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239,-38.068,Pugeuk,0.345,-17.201,Pring__,-20.588,-43.45,Fresh825,-13.719,-64.433,눈꽃,19.039,-40.035,Espressο,16.623,-62.503,AI,35.7,-81.8,Yaksok~,-7.676,-112.746,HANA_ARASHI,-45.803,-95.197,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
155,6,0,4,8,0,1,1,0,1,1,255,15,16,79,5060.804,하루（Haru）,R,27,123,0.667,1.459,0.213,2.23,-36.872,2,0,90.299,-144.363,8.81,0,0,1,0,1,R,NABIMan,190,95,0.55,3,82,5061.823,223,25,102,47,13,127,146,104,105.239,-64.953,-0.17,-0.046,-0.034,0.038,0,-0.283,-37.284,Pugeuk,-0.038,-16.405,Pring__,-19.804,-42.888,Fresh825,-13.516,-64.782,눈꽃,17.789,-42.153,Espressο,15.68,-61.65,AI,35.7,-81.8,Yaksok~,-8.458,-112.125,HANA_ARASHI,-47.14,-94.338,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
156,6,0,4,8,0,2,1,0,1,1,255,15,16,80,5084.084,하루（Haru）,R,28,111,1.434,-0.544,0.136,1.871,-36.717,2,0,42.395,-77.647,6.619,0,0,1,0,1,R,NABIMan,190,95,0.55,3,37,5085.082,141,16,101,80,40,99,150,103,-4.571,-13.113,-0.17,-0.084,-0.074,0.124,0,-0.171,-36.961,Pugeuk,-0.009,-16.334,Pring__,-20.948,-44.71,Fresh825,-13.052,-64.384,눈꽃,17.447,-42.232,Espressο,15.773,-63.334,AI,35.7,-81.8,Yaksok~,-7.311,-112.846,HANA_ARASHI,-45.029,-94.543,5085.241,1.903,-28.968,0,0,,0,0,1,0,0,0,0,0,0,2
157,6,0,4,8,0,0,1,1,0,1,10,255,15,81,5126.349,하루（Haru）,R,34,132,-0.222,-0.284,-0.048,1.77,-36.499,0,0,90.947,-72.801,7.849,0,0,0,1,5,L,vovopo 보보포,160,94,0.599,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,-37.499,Pugeuk,-0.016,-16.62,Pring__,-20.928,-43.033,Fresh825,-8.034,-63.97,눈꽃,19.197,-41.516,Espressο,15.347,-62.841,AI,35.7,-81.8,Yaksok~,-2.697,-113.04,HANA_ARASHI,-44.753,-94.867,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
158,6,0,4,8,0,1,1,1,0,1,10,255,15,82,5144.103,하루（Haru）,R,3,108,-2.174,-0.487,0.318,1.864,-36.852,4,0,-306.659,0,9.939,0.093,-20.075,1,1,5,L,vovopo 보보포,160,94,0.599,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.657,-37.679,Pugeuk,0.108,-18.093,Pring__,-20.629,-42.981,Fresh825,-1.183,-61.887,눈꽃,19.362,-41.185,Espressο,15.068,-62.769,AI,35.7,-81.8,Yaksok~,3.463,-113.698,HANA_ARASHI,-45.448,-93.638,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
