id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
31,6,0,2,6,0,2,0,0,0,0,255,255,255,66,4111.657,NABIMan,R,0,81,0.406,0.42,2,0,0,0,0,1,4,6,L,schmoneymikey,190,100,0.6,49,4112.865,207,111,0,140,89,24.838,35.385,-0.24,0.026,-0.089,0.344,-0.257,-36.892,0.035,-17.223,-23.34,-52.808,-12.636,-63.182,21.584,-48.662,13.541,-64.721,37.434,-88.822,0,-100.6,-36.086,-82.196,4117.002,-49.374,-71.736,4124.769,8,Saƅer,-70.377,-87.791,1,0,0,0,0,0,0,2
32,6,0,2,6,0,0,0,0,0,1,255,255,15,67,4196.972,NABIMan,R,0,140,-1.713,-1.988,1,133.741,-127.188,-0.335,-18.76,0,5,1,R,소솨소솨,190,89.643,0.4,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.102,-37.855,0.046,-17.276,-22.766,-52.548,-13.749,-63.086,19.853,-43.26,11.563,-60.174,37.103,-86.667,0,-100.6,-43.595,-86.86,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
33,6,0,2,6,1,0,0,0,0,1,255,255,15,68,4208.919,NABIMan,R,13,105,-2.287,-0.213,1,-297.786,390.739,0,0,0,5,1,R,소솨소솨,190,89.643,0.4,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.266,-38.132,0.071,-17.254,-23.112,-52.396,-13.769,-63.079,19.641,-41.772,12.899,-64.263,36.979,-86.745,0,-100.6,-42.398,-86.697,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
34,6,0,2,6,2,0,0,0,0,1,255,255,15,69,4221.897,NABIMan,R,0,121,1.65,0.385,1,245.539,-200,0,0,0,5,1,R,소솨소솨,190,89.643,0.4,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.693,0.173,-17.242,-22.702,-52.15,-13.727,-62.999,20.054,-42.021,12.913,-64.312,36.792,-86.453,0,-100.6,-42.229,-86.755,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
35,6,0,2,6,3,0,0,0,0,1,255,255,15,70,4236.159,NABIMan,R,0,123,-0.001,-0.044,0,98.312,-141.978,0,0,0,5,1,R,소솨소솨,190,89.643,0.4,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.171,-37.691,0.049,-17.235,-22.72,-49.657,-13.907,-63.29,20.416,-43.286,12.475,-64.316,37.483,-87.358,0,-100.6,-43.753,-86.545,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
36,6,0,2,6,3,1,0,0,0,1,255,255,15,71,4247.886,NABIMan,R,0,140,0.497,-0.225,2,48.351,-77.235,0,0,1,5,1,R,소솨소솨,190,89.643,0.4,88,4248.91,108,97,86,135,108,-4.1,-28.95,0.16,-0.114,-0.208,0.159,-0.381,-36.743,0.054,-17.27,-19.617,-48.335,-13.791,-63.287,19.306,-43.504,12.433,-64.214,37.471,-87.337,0,-100.6,-43.641,-86.565,4249.235,5,-29.865,4252.213,6,Eaglebuter,32.771,-79.607,1,0,0,0,0,0,0,2
37,6,0,2,7,0,0,0,1,0,0,10,255,255,72,4273.119,NABIMan,R,11,109,1.171,-2.419,4,-52.049,216.043,0.208,-19.587,1,6,3,R,Oort__Cloud,160,90,0.3,88,0,0,0,0,0,0,0,0,0,0,0,0,0.16,-37.614,0.102,-17.291,-18.857,-43.192,-13.819,-63.292,20.567,-46.32,11.558,-62.934,41.216,-90.313,0,-100.6,-43.772,-86.653,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
38,6,0,2,7,0,1,0,1,0,0,10,255,255,73,4286.075,NABIMan,R,13,109,-0.033,-0.637,2,-386.885,312.348,0,0,1,6,3,R,Oort__Cloud,160,90,0.3,88,4287.251,157,108,8,138,116,-18.43,32.287,0.72,-0.069,-0.074,0.528,-0.221,-37.041,0.061,-17.278,-19.449,-41.307,-13.912,-62.846,21.57,-47.02,11.719,-64.453,41.511,-90.4,0,-100.6,-43.759,-86.685,4287.18,-1.106,-21.527,4290.624,8,Saƅer,-35.826,-77.808,1,0,0,0,0,0,0,2
39,6,0,2,7,0,0,0,1,1,0,12,10,255,74,4318.568,NABIMan,R,0,140,-0.836,-0.676,0,111.88,-93.413,0,0,0,7,4,L,_Chun,190,95.143,0.502,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.277,-37.877,0.089,-17.271,-19.56,-43.354,-7.855,-62.432,20.754,-46.377,13.379,-64.076,41.901,-87.742,0,-100.6,-39.525,-83.213,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
40,6,0,2,7,0,1,0,1,1,0,12,10,255,75,4329.959,NABIMan,R,0,137,-0.505,-1.225,2,76.56,-81.675,0,0,0,7,4,L,_Chun,190,95.143,0.502,88,4330.867,180,102,18,139,129,-1.369,13.529,0.42,0.128,-0.115,0.335,-0.699,-36.793,0.033,-17.263,-19.324,-40.464,-5.556,-62.943,20.398,-47.658,13.36,-64.036,41.675,-87.837,0,-100.6,-39.904,-83.525,4331.035,-3.031,-32.689,4332.491,3,encounter v,-10.18,-59.868,1,0,0,0,0,0,0,2
41,6,0,2,7,0,0,1,1,1,0,13,10,255,76,4353.331,NABIMan,R,0,140,0.979,-0.486,0,110.434,-141.332,0,0,0,0,5,R,sano jpn,170.3,95.023,0.326,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.338,-37.992,-0.073,-17.361,-18.492,-44.015,-12.681,-63.898,20.904,-46.536,12.857,-62.531,40.386,-89.601,0,-100.6,-40.875,-83.244,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
42,6,0,2,7,0,1,1,1,1,0,13,10,255,77,4363.185,NABIMan,R,13,110,-2.318,-0.854,4,-252.231,270.245,0,0,1,0,5,R,sano jpn,170.3,95.023,0.326,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.049,-37.648,-0.062,-17.359,-19.091,-41.891,-11.353,-63.8,20.936,-46.843,13.59,-63.799,40.333,-89.632,0,-100.6,-41.213,-83.175,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
43,6,0,2,7,0,2,1,1,1,0,13,10,255,78,4375.191,NABIMan,R,3,102,-0.12,0.559,2,-463.636,0,0,0,1,0,5,R,sano jpn,170.3,95.023,0.326,88,4376.378,137,44,17,100,87,98.528,-69.823,0.27,-0.065,-0.056,0.104,-0.055,-37.001,0.075,-17.359,-19.006,-41.762,-12.379,-63.156,18.714,-46.929,12.3,-64.654,40.334,-89.627,0,-100.6,-41.014,-83.338,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
44,6,0,2,7,0,2,1,1,1,0,13,10,255,79,4389.932,NABIMan,R,0,140,-0.873,-2.365,1,53.919,-153.978,-0.157,-19.367,0,0,5,R,sano jpn,170.3,95.023,0.326,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.14,-37.88,0.067,-17.285,-19.094,-41.956,-10.839,-61.588,20.084,-45.004,14.4,-63.858,42.252,-89.231,0,-100.6,-37.836,-84.562,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
45,6,0,2,7,1,2,1,1,1,0,13,10,255,80,4400.989,NABIMan,R,10,108,0.237,-1.089,2,-115.928,334.445,0,0,1,0,5,R,sano jpn,170.3,95.023,0.326,88,4402.136,130,52,21,119,111,19.176,17.352,0.62,-0.037,-0.078,0.23,-0.343,-36.804,0.068,-17.259,-18.949,-43.877,-7.998,-63.32,19.251,-45.469,13.455,-63.693,42.535,-89.994,0,-100.6,-37.568,-84.657,4409.891,-29.416,-114.138,4410.302,8,Saƅer,-29.154,-113.973,1,0,0,0,0,0,0,0
46,6,0,2,8,0,0,1,0,1,1,255,14,255,81,4433.467,NABIMan,R,3,101,-0.194,0.66,0,-459.091,0,0,0,0,1,7,R,Yaksok~,165.6,93.281,0.397,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.134,-37.829,0.02,-17.387,-20.984,-49.662,-13.672,-63.546,19.518,-42.644,5.855,-61.972,41.745,-90.29,0,-100.6,-39.547,-85.134,0,0,0,0,0,,0,0,0,128,0,0,0,0,0,0
47,6,0,2,8,0,1,2,0,0,1,255,255,14,82,4472.412,NABIMan,R,0,140,-1.84,-2.849,2,98.358,-118.481,-0.316,-20.381,1,1,7,R,Yaksok~,165.6,93.281,0.397,64,4473.155,147,130,17,140,121,-5.408,12.899,0.65,-0.086,-0.178,0.304,-0.609,-36.955,0.042,-17.197,-21.206,-51.921,-12.433,-63.12,20.335,-46.334,12.857,-64.406,42.549,-90.18,0,-100.6,-37.956,-84.747,4473.491,-2.682,-31.51,4474.958,3,encounter v,-8.736,-60.501,0,0,0,0,0,0,0,2
48,7,1,2,8,0,0,0,0,0,0,255,255,255,66,4524.615,Pring__,R,14,98,1.472,-0.522,2,315.128,353.392,0,0,1,0,4,R,magimari,190,90,0.502,45,4525.803,182,120,32,144,119,36.048,-20.611,0.82,-0.039,-0.061,0.284,0.055,-37.125,-0.026,-17.435,-20.668,-46.583,-13.28,-64.669,22.566,-48.152,12.986,-64.876,40.681,-85.463,-0.265,-103.057,-35.7,-81.8,4531.369,38.081,-116.88,4535.157,6,schmoneymikey,29.093,-113.429,1,0,0,0,0,0,0,2
49,7,1,2,8,0,0,0,0,1,0,255,4,255,67,4564.674,Pring__,R,13,103,0.976,-0.852,0,-301.982,382.087,0.065,-18.025,0,1,2,R,Roslynn,190,107,0.719,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.253,-37.925,0.157,-17.249,-19.239,-44.961,-12.565,-64.977,21.901,-48.692,7.864,-61.676,45.527,-87.729,1.654,-107.763,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
50,7,1,2,8,0,1,0,0,1,0,255,4,255,68,4584.305,Pring__,R,3,99,-1.178,-0.108,0,-399.54,0,0,0,1,1,2,R,Roslynn,190,107,0.719,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.345,-37.9,-0.438,-17.139,-19.799,-41.641,-12.595,-64.93,21.834,-48.763,5.511,-61.482,47.266,-89.544,1.639,-108.096,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
