id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
77,3,0,6,4,1,1,0,0,0,0,255,255,255,36,2991.826,encounter v,13,118,1.692,0.696,1,-371.662,334.466,0,0,0,2,6,Roscosmos,174.6,51,0,0,0,0,0,0,0,0,0,0,0,0.301,-37.334,0.071,-17.306,-22.909,-47.549,-12.579,-64.547,17.631,-43.372,14.53,-62.021,36.931,-86.992,-11.573,-112.813,-48.296,-86.259,0,0,0,0,0,,0,0,0,0,0
78,3,0,6,4,2,1,0,0,0,0,255,255,255,37,3004.453,encounter v,0,140,-1.193,-1.673,2,34.119,-73.74,0,0,1,2,6,Roscosmos,174.6,51,3005.286,113,138,0,157,122,-7.248,-24.83,0.853,-0.089,-0.164,-0.308,-36.937,0.034,-17.336,-22.904,-47.568,-12.529,-64.459,18.217,-42.912,14.585,-61.995,36.994,-86.931,-11.483,-112.876,-48.326,-86.298,3005.409,0.945,-22.914,3008.567,6,ʚneul_ɞ,31.199,-89.585,1,0,2
79,3,0,6,4,0,0,0,1,0,0,9,255,255,38,3034.899,encounter v,0,133,-1.037,-0.317,0,19.405,-166.636,0,0,0,3,1,ByeolBam,175.3,67,0,0,0,0,0,0,0,0,0,0,0,-0.16,-37.151,0.006,-17.402,-18.874,-40.664,-10.155,-64.369,16.389,-44.508,16.041,-59.507,38.422,-88.45,-5.419,-101.709,-51.392,-88.414,0,0,0,0,0,,0,0,0,0,0
80,3,0,6,4,0,1,0,1,0,0,9,255,255,39,3047.507,encounter v,10,124,-0.296,-0.068,2,-59.052,265.779,0,0,1,3,1,ByeolBam,175.3,67,3048.419,127,206,75,176,129,-18.286,-2.816,0.674,-0.075,-0.141,-0.408,-37.105,0.018,-17.425,-18.978,-39.623,-12.428,-64.576,17.167,-45.349,16.029,-60.922,38.443,-88.433,-7.699,-106.999,-51.424,-88.385,3048.523,0.062,-22.713,3056.198,7,SOM_candy,9.438,-121.607,1,0,2
81,3,0,6,4,0,0,0,0,1,1,255,10,15,40,3083.318,encounter v,0,140,-1.098,0.04,2,19.394,-91.531,0,0,1,4,2,소솨소솨,190,46,3084.346,110,194,38,167,110,-19.815,24.189,0.814,-0.06,-0.259,-0.181,-37.143,-0.013,-17.3,-21.845,-48.877,-12.465,-64.742,15.438,-41.092,15.514,-60.383,35.256,-87.66,-8.014,-120.809,-48.732,-85.717,3084.464,-1.346,-22.606,3086.372,3,IllilliIIIIllil,-14.397,-59.688,1,0,2
82,3,0,6,7,0,0,0,0,0,0,255,255,255,41,3158.39,encounter v,3,117,3.111,1.741,1,-396.282,0,0,0,0,5,3,_앰프_,170.6,38,0,0,0,0,0,0,0,0,0,0,0,0.212,-37.445,0.07,-17.409,-21.653,-46.306,-11.452,-65.033,16.839,-43.691,14.731,-54.251,38.448,-84.525,-9.055,-111.31,-48.939,-88.196,0,0,0,0,0,,0,0,0,0,0
83,3,0,6,7,1,0,0,0,0,0,255,255,255,42,3173.083,encounter v,0,140,-0.722,-0.149,0,67.871,-72.66,0,0,0,5,3,_앰프_,170.6,38,0,0,0,0,0,0,0,0,0,0,0,-0.081,-37.133,0.045,-17.273,-20.131,-44.229,-11.162,-65.156,16.229,-43.045,16.386,-56.27,38.455,-84.516,-7.065,-106.528,-49.073,-88.333,0,0,0,0,0,,0,0,0,0,0
84,3,0,6,7,1,1,0,0,0,0,255,255,255,43,3190.032,encounter v,15,102,-0.928,1.669,4,0,-400,0,0,1,5,3,_앰프_,170.6,38,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.343,0.002,-17.177,-21.955,-46.817,-11.307,-65.199,16.615,-43.234,15.059,-56.251,38.607,-84.377,-6.567,-102.093,-49.744,-87.652,0,0,0,0,0,,0,0,0,0,0
85,3,0,6,7,1,2,0,0,0,0,255,255,255,44,3205.078,encounter v,13,124,-0.365,0.618,2,-204.925,400,0,0,1,5,3,_앰프_,170.6,67,3206.16,92,112,6,132,70,1.349,-3.642,-0.262,-0.04,-0.049,-0.424,-36.922,0.031,-17.296,-21.842,-46.904,-11.365,-65.136,16.93,-42.658,15.674,-56.547,38.493,-84.252,-7.819,-101.725,-49.773,-87.681,3206.851,0.679,-33.177,3207.392,0,encounter v,0.89,-37.043,0,0,2
86,3,0,6,7,0,0,1,0,0,0,255,255,255,45,3233.568,encounter v,13,116,1.418,0.532,0,-373.375,332.552,0,0,0,6,4,DoYaGee,190,67,0,0,0,0,0,0,0,0,0,0,0,0.221,-37.188,-0.019,-17.277,-21.219,-44.591,-11.688,-64.936,16.949,-44.132,13.083,-56.061,37.236,-85.367,-12.65,-107.683,-49.39,-87.258,0,0,0,0,0,,0,0,0,0,0
87,3,0,6,7,0,1,1,0,0,0,255,255,255,46,3247.923,encounter v,2,108,-0.685,1.547,2,-224.571,-400,0,0,1,6,4,DoYaGee,190,51,3249.104,117,181,74,172,113,55.62,2.195,0.947,-0.136,-0.109,-0.151,-37.086,-0.003,-17.366,-20.796,-46.327,-11.791,-64.881,16.569,-43.99,15.671,-60.446,37.525,-87.124,-11.339,-108.797,-49.714,-87.594,3256.049,-12.255,-94.934,3256.332,7,SOM_candy,-12.194,-94.615,1,0,2
88,3,0,6,7,0,0,1,1,0,0,9,255,255,47,3282.977,encounter v,13,127,-3.247,-2.135,1,-225.734,400,-0.669,-19.142,0,7,7,crani,174.5,67,0,0,0,0,0,0,0,0,0,0,0,-0.323,-37.318,0.022,-17.301,-18.993,-41.038,-9.634,-64.512,17.104,-43.481,13.981,-59.836,36.624,-84.377,-9.449,-106.114,-47.8,-84.765,0,0,0,0,0,,0,0,0,0,0
89,3,0,6,7,1,0,1,1,0,0,9,255,255,48,3297.588,encounter v,0,133,2.386,1.478,4,133.375,-126.952,0.918,-5.728,1,7,7,crani,174.5,44,0,0,0,0,0,0,0,0,0,0,0,0.005,-37.129,-0.359,-14.903,-19.295,-40.981,-10.453,-64.025,17.584,-42.562,13.669,-60.642,36.624,-85.37,-10.614,-108.123,-47.591,-84.553,0,0,0,0,0,,0,0,0,64,0
90,3,0,6,7,1,1,2,0,0,0,255,255,255,49,3321.235,encounter v,15,101,0.82,1.059,0,-19.868,-400,0,0,0,7,7,crani,174.5,44,0,0,0,0,0,0,0,0,0,0,0,0.04,-37.255,-0.025,-17.314,-21.018,-47.041,-12.653,-65.079,16.623,-44.097,14.586,-58.3,36.608,-85.351,-10.696,-101.341,-47.961,-84.736,0,0,0,0,0,,0,0,0,0,0
91,3,0,6,7,1,2,2,0,0,0,255,255,255,50,3337.368,encounter v,0,136,-0.578,1.305,4,42.96,-125.896,0,0,1,7,7,crani,174.5,44,0,0,0,0,0,0,0,0,0,0,0,-0.403,-36.885,-0.016,-17.292,-20.648,-45.479,-12.526,-64.159,17.429,-44.718,12.423,-60.711,36.772,-86.259,-9.71,-104.689,-47.728,-84.605,0,0,0,0,0,,0,0,0,0,0
92,4,1,6,7,0,0,0,0,0,0,255,255,255,40,3399.458,Oort__Cloud,0,140,1.97,0.339,1,130.012,-91.741,0,0,0,8,7,SOM_candy,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.294,-37.005,0.324,-17.145,-21.404,-46.434,-15.928,-61.331,22.464,-47.18,15.233,-61.763,39.787,-81.047,0.845,-103.66,-36.983,-86.003,0,0,0,0,0,,0,0,0,0,0
93,4,1,6,7,1,0,0,0,0,0,255,255,255,41,3418.25,Oort__Cloud,0,140,-0.65,0.973,4,66.716,-106.956,0,0,1,8,7,SOM_candy,190,47,0,0,0,0,0,0,0,0,0,0,0,-0.234,-37.022,-0.373,-17.221,-21.842,-47.096,-16.413,-61.535,22.195,-47.532,15.311,-61.858,39.748,-81.064,0.817,-103.69,-36.962,-85.983,0,0,0,0,0,,0,0,0,0,0
94,4,1,6,7,1,1,0,0,0,0,255,255,255,42,3437.944,Oort__Cloud,0,140,-1.199,0.185,2,104.84,-168.539,0,0,1,8,7,SOM_candy,190,47,3438.807,103,67,0,73,67,-50.767,10.258,0.947,-0.085,-0.005,-0.766,-36.915,-0.126,-17.366,-22.857,-46.762,-16.754,-61.211,21.691,-47.552,14.36,-62.298,39.654,-80.985,0.864,-104.204,-36.704,-86.099,3438.833,0.048,-19.062,3440.608,0,Oort__Cloud,-2.611,-33.721,0,0,2
95,4,1,6,7,0,0,1,0,0,0,255,255,255,43,3468.417,Oort__Cloud,0,134,1.841,0.824,1,91.385,-141.353,0,0,0,0,8,아침땅_,169.9,67,0,0,0,0,0,0,0,0,0,0,0,-0.356,-37.417,0.127,-17.347,-19.658,-43.093,-17.516,-60.782,20.365,-44.388,12.794,-62.505,33.516,-78.176,1.099,-106.487,-39.251,-84.42,0,0,0,0,0,,0,0,0,0,0
96,4,1,6,7,1,0,1,0,0,0,255,255,255,44,3486.539,Oort__Cloud,3,117,1.103,-1.309,1,-264.97,0,0,0,0,0,8,아침땅_,169.9,67,0,0,0,0,0,0,0,0,0,0,0,-0.312,-37.409,0.168,-17.307,-20.032,-44.539,-17.922,-60.713,18.424,-46.548,12.866,-62.594,33.446,-78.261,1.1,-106.439,-39.236,-84.397,0,0,0,0,0,,0,0,0,0,0
97,4,1,6,7,2,0,1,0,0,0,255,255,255,45,3504.457,Oort__Cloud,0,140,0.206,1.57,1,71.259,-135.273,0,0,0,0,8,아침땅_,169.9,67,0,0,0,0,0,0,0,0,0,0,0,-0.331,-37.315,0.207,-17.235,-20.613,-44.947,-18.174,-60.198,20.309,-45.873,12.958,-62.669,33.458,-78.181,1.066,-106.414,-39.978,-84.321,0,0,0,0,0,,0,0,0,0,0
98,4,1,6,7,3,0,1,0,0,0,255,255,255,46,3521.412,Oort__Cloud,0,126,2.032,1.659,1,44.92,-69.556,0,0,0,0,8,아침땅_,169.9,67,0,0,0,0,0,0,0,0,0,0,0,-0.242,-36.741,0.173,-17.295,-21.987,-46.361,-18.185,-60.088,19.733,-47.058,12.698,-62.628,33.382,-78.27,1.14,-106.416,-39.98,-84.313,0,0,0,0,0,,0,0,0,1,5
99,4,1,6,7,0,0,1,0,0,0,255,255,255,47,3583.407,Oort__Cloud,0,140,-0.891,-0.184,0,139.15,-130.131,0,0,1,1,6,ʚneul_ɞ,160,66,0,0,0,0,0,0,0,0,0,0,0,-0.246,-37.193,0.168,-17.204,-21.075,-46.452,-16.359,-59.843,19.934,-46.1,12.512,-64.04,32.579,-81.878,0.831,-99.407,-37.167,-81.426,0,0,0,0,0,,0,0,0,0,0
100,4,1,6,7,0,1,1,0,0,0,255,255,255,48,3601.492,Oort__Cloud,0,140,1.366,1.394,4,56.328,-97.937,0,0,1,1,6,ʚneul_ɞ,160,66,0,0,0,0,0,0,0,0,0,0,0,-0.26,-37.127,0.065,-17.258,-22.562,-47.117,-16.529,-59.807,19.736,-47.04,10.965,-64.769,34.722,-81.976,0.735,-99.304,-41.753,-82.428,0,0,0,0,0,,0,0,0,0,0
101,4,1,6,7,0,2,1,0,0,0,255,255,255,49,3619.226,Oort__Cloud,3,111,-0.073,-0.208,2,-402.031,0,0,0,1,1,6,ʚneul_ɞ,160,66,3620.165,141,140,4,161,104,35.025,45.989,-0.004,-0.049,-0.053,0.151,-36.815,0.028,-17.468,-22.402,-46.835,-16.875,-59.979,19.773,-48.296,11.682,-64,32.176,-78.556,0.852,-99.403,-41.611,-82.444,3624.884,-50.319,-92.584,3630.159,8,ʚmingɞ,-46.583,-98.179,1,0,2
102,4,1,6,7,0,0,1,0,0,1,255,255,6,50,3684.192,Oort__Cloud,0,128,2.055,0.397,2,44.007,-51.757,0,0,1,2,9,Slaris,174.6,66,3685.109,115,179,45,167,130,36.952,13.699,0.43,-0.044,-0.013,-0.261,-36.981,0.038,-17.28,-22.134,-46.542,-14.998,-59.852,19.636,-44.094,12.766,-62.474,32.135,-75.481,1.541,-99.378,-46.06,-85.816,3691.481,-48.325,-125.419,0,0,,0,0,0,0,4
103,4,1,8,7,0,0,1,0,0,0,255,255,255,51,3734.715,Oort__Cloud,22,112,-0.028,1.826,1,-184.16,235.304,0.343,-17.789,0,3,1,Kr_Luna,190,66,0,0,0,0,0,0,0,0,0,0,0,-0.599,-37.104,0.094,-16.976,-21.821,-46.498,-15.998,-58.034,22.445,-45.938,15.712,-61.52,40.229,-91.422,1.142,-101.775,-45.253,-84.995,0,0,0,0,0,,0,0,0,0,0
104,4,1,8,7,1,0,1,0,0,0,255,255,255,52,3752.166,Oort__Cloud,0,118,0.939,0.913,0,0,0,0,0,0,3,1,Kr_Luna,190,66,0,0,0,0,0,0,0,0,0,0,0,-0.331,-37.157,0.042,-17.21,-21.283,-46.541,-16.451,-58.233,21.817,-46.211,15.492,-61.719,40.239,-91.461,1.168,-101.776,-45.271,-85.005,0,0,0,0,0,,0,0,0,0,0
