id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
33,2,0,1,0,0,0,1,0,255,11,255,13,1672.641,Dοpi,0,130,-0.795,0.329,0,78.985,-122.095,0,0,0,4,8,아침땅_,175.4,37,0,0,0,0,0,0,0,0,0,-0.019,-37.104,-0.194,-17.048,-21.216,-45.645,-5.997,-65.215,18.055,-43.785,13.658,-61.864,30.417,-83.034,-2.124,-99.524,-34.567,-72.91,0,0,0,0,0,,0,0,0,0
34,2,0,1,1,0,0,1,0,255,11,255,14,1688.686,Dοpi,13,98,-0.879,0.055,0,-337.639,326.148,0,0,0,4,8,아침땅_,175.4,37,0,0,0,0,0,0,0,0,0,-0.036,-37.379,-0.247,-16.941,-21.209,-45.651,-5.916,-63.865,19.844,-42.862,14.194,-61.46,29.878,-84.691,-3.419,-102.121,-35.662,-74.38,0,0,0,0,0,,0,0,0,0
35,2,0,1,2,0,0,1,0,255,11,255,15,1705.27,Dοpi,0,116,0.246,1.128,2,37.728,-79.275,0,0,1,4,8,아침땅_,175.4,37,1706.312,76,128,18,105,64,21.875,32.579,-0.323,-0.248,-37.025,-0.049,-16.706,-20.492,-45.083,-1.644,-62.51,23.723,-45.984,14.197,-61.489,28.976,-82.857,0.678,-102.006,-35.671,-74.39,0,0,0,1709.051,2,WhiteMountain,-18.265,-48.315,0,1
36,2,0,1,2,1,0,1,0,255,11,255,16,1778.397,Dοpi,0,125,-1.289,-0.784,0,65.897,-168.774,0,0,0,4,8,아침땅_,175.4,55,0,0,0,0,0,0,0,0,0,-0.127,-37.394,-0.227,-16.86,-21.314,-46.5,-9.665,-65.219,17.928,-43.305,14.763,-62.8,31.994,-86.459,-4.768,-96.637,-37.504,-74.105,0,0,0,0,0,,0,0,0,0
37,2,0,0,0,1,0,0,1,255,255,11,17,1832.143,Dοpi,0,121,-0.108,0.101,0,46.829,-124.426,0,0,0,5,4,버블붐_Bubbleboom,174.9,72,0,0,0,0,0,0,0,0,0,-0.429,-37.598,-0.092,-17.017,-21.367,-45.893,-10.424,-63.995,17.589,-44.912,16.585,-61.564,29.321,-82.546,-1.5,-98.962,-43.534,-80.457,0,0,0,0,0,,0,0,0,0
38,2,0,0,1,1,0,0,1,255,255,11,18,1851.298,Dοpi,10,113,-0.522,-1.225,2,0,400,0,0,1,5,4,버블붐_Bubbleboom,174.9,72,1852.282,110,171,68,152,76,-67.117,53.236,1,-0.312,-37.156,-0.037,-16.733,-21.349,-45.859,-12.172,-64.688,18.08,-44.39,15.332,-61.608,31.216,-83.305,0.111,-100.869,-43.486,-80.761,1852.385,-0.391,-20.944,1855.601,2,WhiteMountain,-23.37,-38.168,0,2
39,2,0,0,2,1,0,0,1,255,255,11,19,1875.488,Dοpi,0,126,0.29,1.198,2,75.468,-127.523,0,0,1,5,4,버블붐_Bubbleboom,174.9,55,1876.472,71,92,59,90,64,48.336,9.709,-0.544,-0.203,-36.915,-0.064,-16.668,-20.842,-45.687,-11.365,-65.03,19.389,-42.885,13.685,-62.806,29.628,-83.429,-0.455,-98.981,-40.128,-74.93,1881.268,-7.551,-59.422,1881.418,3,IllilliIIIIllil,-7.316,-58.192,0,1
40,2,0,0,0,2,0,0,1,255,255,11,20,1908.216,Dοpi,0,137,-0.014,0.051,0,84.014,-130.982,0,0,0,6,7,crani,175.2,55,0,0,0,0,0,0,0,0,0,-0.198,-36.95,-0.072,-17.001,-20.913,-46.103,-11.5,-64.664,19.409,-43.255,12.498,-63.731,30.442,-87.057,-0.216,-96.157,-39.551,-74.745,0,0,0,0,0,,0,0,0,0
41,2,0,0,1,2,0,0,1,255,255,11,21,1925.88,Dοpi,14,103,-0.769,-0.404,2,391.16,274.755,0,0,1,6,7,crani,175.2,55,1926.957,125,141,93,155,85,-1.913,-17.061,0.984,0.264,-36.957,-0.039,-16.823,-20.935,-46.078,-11.51,-64.747,20.552,-44.473,12.52,-63.739,29.937,-86.357,0.378,-98.885,-39.536,-74.703,1927.418,2.67,-30.012,1930.651,6,Roscosmos,20.629,-78.461,1,2
42,2,0,0,0,2,1,0,0,16,255,255,22,2073.822,Dοpi,0,122,0.394,1.462,1,46.314,-88.223,0,0,0,7,3,_앰프_,171.3,55,0,0,0,0,0,0,0,0,0,0.105,-37.425,-0.027,-16.987,-20.987,-44.89,-10.096,-65.626,17.92,-42.935,13.11,-63.814,31.471,-87.365,1.618,-103.033,-47.109,-78.692,0,0,0,0,0,,0,0,0,0
